,what,collection,does,the,v,&,a,theatre,&,performance,galleries,hold,?
they,0.4431931674480438,0.16017547249794006,0.34390902519226074,0.49925389885902405,0.2006511688232422,0.14913681149482727,0.3528250455856323,0.19280193746089935,0.14913681149482727,0.19390060007572174,0.2302398830652237,0.31012141704559326,0.2753053903579712
hold,0.20790280401706696,0.25499990582466125,0.24022597074508667,0.3067915439605713,0.12818080186843872,0.08241256326436996,0.2822398841381073,0.031375739723443985,0.08241256326436996,0.1699308305978775,0.2512156665325165,1.0,0.18586084246635437
the,0.42745697498321533,0.25281965732574463,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.14992168545722961,0.260756254196167,0.27603694796562195,0.3067915439605713,0.22068053483963013
uk,0.17163191735744476,0.14746689796447754,0.1707082986831665,0.2143084555864334,0.12703083455562592,0.1643190234899521,0.19665123522281647,0.1709441989660263,0.1643190234899521,0.12816567718982697,0.22856657207012177,0.158402681350708,0.20222434401512146
's,0.02692362666130066,0.003388406243175268,-0.02895052544772625,-0.01540423184633255,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,0.041160330176353455,-0.02038128487765789,0.05389726907014847,-0.07497011125087738,0.05379863828420639,-0.023395681753754616
biggest,0.1501782387495041,0.19163857400417328,0.14933708310127258,0.3799763321876526,0.05920441821217537,0.12571993470191956,0.24141843616962433,0.17350979149341583,0.12571993470191956,0.1485525220632553,0.19277364015579224,0.20319774746894836,0.11438456177711487
national,0.16882304847240448,0.217006117105484,0.16890141367912292,0.32739606499671936,0.10848595201969147,0.1480441838502884,0.27889734506607056,0.2042434811592102,0.1480441838502884,0.17002980411052704,0.24120312929153442,0.16701343655586243,0.15643028914928436
collection,0.215459942817688,0.9999998807907104,0.10356780141592026,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.19095660746097565,0.18749947845935822,0.15967094898223877,0.44320929050445557,0.25499990582466125,0.20069393515586853
of,0.33290785551071167,0.2915455996990204,0.3119818866252899,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.19807180762290955,0.19900451600551605,0.18957610428333282,0.24172402918338776,0.2465030699968338,0.1826142966747284
material,0.2591213285923004,0.30830851197242737,0.24026361107826233,0.26762521266937256,0.1259491890668869,0.04940580949187279,0.28408434987068176,0.08488428592681885,0.04940580949187279,0.17565512657165527,0.21628941595554352,0.26602408289909363,0.18117131292819977
about,0.47976887226104736,0.19907724857330322,0.26877498626708984,0.37995871901512146,0.10205088555812836,0.1364048421382904,0.34171196818351746,0.15282493829727173,0.1364048421382904,0.15087789297103882,0.24688321352005005,0.18589375913143158,0.302409827709198
