,which,proctor,and,gamble,produced,soap,opera,did,abc,air,?
abc,0.1991286277770996,0.2386830747127533,0.16453155875205994,0.2736714780330658,0.2414293736219406,0.30289196968078613,0.28884679079055786,0.13353709876537323,1.0000001192092896,0.17400608956813812,0.19065172970294952
also,0.6566565632820129,0.23110142350196838,0.5755972862243652,0.2012791484594345,0.28534018993377686,0.2823120951652527,0.1800607591867447,0.39334940910339355,0.2030053734779358,0.23115737736225128,0.21848613023757935
aired,0.2307283580303192,0.23509542644023895,0.2092604786157608,0.21891269087791443,0.4013926684856415,0.29752445220947266,0.28697147965431213,0.1378907710313797,0.5025622844696045,0.2867067754268646,0.22283338010311127
the,0.6521818041801453,0.20903213322162628,0.5171257257461548,0.17621295154094696,0.22045251727104187,0.19385820627212524,0.21712259948253632,0.34736719727516174,0.2068762183189392,0.2877824306488037,0.22068053483963013
last,0.2768070101737976,0.11319799721240997,0.25967320799827576,0.11326215416193008,0.18638165295124054,0.12961852550506592,0.18934255838394165,0.30895525217056274,0.1956353634595871,0.10950960963964462,0.22371746599674225
nine,0.31342917680740356,0.07775191962718964,0.3451005816459656,0.08919639885425568,0.1446632742881775,0.09529756009578705,0.11720886081457138,0.16091835498809814,0.11508515477180481,0.17244625091552734,0.13964155316352844
years,0.23232990503311157,0.11801604926586151,0.300204873085022,0.22607195377349854,0.1589319407939911,0.11786267161369324,0.1655905842781067,0.2695724070072174,0.2423967868089676,0.13811910152435303,0.1914375126361847
of,0.5011631846427917,0.17959417402744293,0.5116966962814331,0.2270197570323944,0.18961067497730255,0.20267286896705627,0.2148524820804596,0.2513895630836487,0.14607268571853638,0.24196814000606537,0.1826142966747284
the,0.6521818041801453,0.20903213322162628,0.5171257257461548,0.17621295154094696,0.22045251727104187,0.19385820627212524,0.21712259948253632,0.34736719727516174,0.2068762183189392,0.2877824306488037,0.22068053483963013
procter,0.20704413950443268,0.7513294219970703,0.27146458625793457,0.4703354239463806,0.32717299461364746,0.2670665383338928,0.15913572907447815,0.1849835216999054,0.3356185853481293,0.18011978268623352,0.22156471014022827
&,0.16294614970684052,0.25405287742614746,0.34093084931373596,0.19339555501937866,0.1529259979724884,0.021745478734374046,0.07002030313014984,0.160298690199852,0.1936885565519333,0.05669045448303223,0.12596383690834045
gamble-produced,0.4060210883617401,0.35222378373146057,0.32879114151000977,0.6356642246246338,0.7367373108863831,0.2259061187505722,0.22793006896972656,0.22371108829975128,0.3260573446750641,0.20073728263378143,0.21601203083992004
soap,0.20322954654693604,0.154063418507576,0.1829628199338913,0.18259058892726898,0.19001801311969757,0.9999999403953552,0.5105682015419006,0.12407860159873962,0.30289196968078613,0.2522575557231903,0.1800997406244278
the,0.6521818041801453,0.20903213322162628,0.5171257257461548,0.17621295154094696,0.22045251727104187,0.19385820627212524,0.21712259948253632,0.34736719727516174,0.2068762183189392,0.2877824306488037,0.22068053483963013
edge,0.3031310737133026,0.20223669707775116,0.2609935402870178,0.07457951456308365,0.16191968321800232,0.18203844130039215,0.06289901584386826,0.09296902269124985,0.16510353982448578,0.13566483557224274,0.06842754781246185
of,0.5011631846427917,0.17959417402744293,0.5116966962814331,0.2270197570323944,0.18961067497730255,0.20267286896705627,0.2148524820804596,0.2513895630836487,0.14607268571853638,0.24196814000606537,0.1826142966747284
night,0.24596846103668213,0.182170569896698,0.2350444346666336,0.21407967805862427,0.17264512181282043,0.2023719996213913,0.19350223243236542,0.22770699858665466,0.21145369112491608,0.205492302775383,0.13794848322868347
",",0.3658004403114319,0.33833473920822144,0.6633074283599854,0.2885783314704895,0.22260788083076477,0.18956468999385834,0.26272621750831604,0.3015086054801941,0.2097204476594925,0.24731357395648956,0.31091248989105225
following,0.342348575592041,0.061651214957237244,0.2696467339992523,0.0614941380918026,0.08944403380155563,0.1113658994436264,0.17058907449245453,0.28040066361427307,0.1467348337173462,0.1007479727268219,0.1555173695087433
its,0.5154205560684204,0.14127936959266663,0.3841775357723236,0.11208132654428482,0.19729402661323547,0.19110740721225739,0.17288361489772797,0.19922670722007751,0.19045390188694,0.2321513295173645,0.15103481709957123
cancellation,0.2831583321094513,0.19614356756210327,0.1883220672607422,0.1818610578775406,0.17843082547187805,0.17812901735305786,0.18865570425987244,0.2875393033027649,0.2773326337337494,0.2944222688674927,0.1732192039489746
by,0.40543368458747864,0.20900268852710724,0.4289871156215668,0.16512446105480194,0.4647648334503174,0.11339125037193298,0.16073735058307648,0.18574509024620056,0.17600902915000916,0.19110813736915588,0.17966607213020325
cbs,0.18413257598876953,0.2783854305744171,0.2054297775030136,0.2567666471004486,0.23608866333961487,0.3085688650608063,0.2691096365451813,0.15259867906570435,0.636570394039154,0.2180606722831726,0.14594407379627228
in,0.4840516746044159,0.17252938449382782,0.4954058527946472,0.21576806902885437,0.2542861998081207,0.27619147300720215,0.27592000365257263,0.2593238651752472,0.1697147786617279,0.22172939777374268,0.20430970191955566
1975,0.25342631340026855,0.15052779018878937,0.3077165186405182,0.1888180673122406,0.09734959900379181,0.1755152940750122,0.18378974497318268,0.1641349047422409,0.23127016425132751,0.07656852900981903,0.19593262672424316
.,0.45942068099975586,0.22569607198238373,0.588965117931366,0.18975117802619934,0.2634154260158539,0.22153060138225555,0.2488829344511032,0.35288307070732117,0.2567209303379059,0.2759295105934143,0.4130953550338745
