,what,inventor,built,on,to,the,findings,of,philo,of,byzantium,?
many,0.36131182312965393,0.13198302686214447,0.2692042291164398,0.32520127296447754,0.40243685245513916,0.4335206151008606,0.30221450328826904,0.37253960967063904,0.15265507996082306,0.37253960967063904,0.13999232649803162,0.2124512493610382
centuries,0.18983326852321625,0.13565108180046082,0.350546270608902,0.11393041163682938,0.2275104820728302,0.32166481018066406,0.19730116426944733,0.2695758044719696,0.21490179002285004,0.2695758044719696,0.3995274603366852,0.13179439306259155
later,0.2517229914665222,0.16229033470153809,0.2880714535713196,0.30872204899787903,0.393297016620636,0.4060266613960266,0.15208810567855835,0.3458743393421173,0.22334523499011993,0.3458743393421173,0.23307929933071136,0.1417175978422165
leonardo,0.18840909004211426,0.21692343056201935,0.1414201706647873,0.12033937871456146,0.2025996595621109,0.19745118916034698,0.08926273137331009,0.1976044476032257,0.19257333874702454,0.1976044476032257,0.1878485530614853,0.15631547570228577
da,0.17252732813358307,0.12358419597148895,0.1471230536699295,0.14319203794002533,0.13412535190582275,0.16199231147766113,0.06102452799677849,0.15832912921905518,0.11932220309972763,0.15832912921905518,0.20326173305511475,0.17175890505313873
vinci,0.20530982315540314,0.2798929214477539,0.19587399065494537,0.16931235790252686,0.16718855500221252,0.22639796137809753,0.09329818934202194,0.21501000225543976,0.2104751169681549,0.21501000225543976,0.2531343698501587,0.2132018506526947
built,0.1554843783378601,0.26978349685668945,1.0000001192092896,0.1758279800415039,0.2183011770248413,0.2950156033039093,0.11833876371383667,0.23442776501178741,0.15502481162548065,0.23442776501178741,0.22393013536930084,0.09449632465839386
on,0.34226128458976746,0.14860500395298004,0.1758279800415039,0.9999999403953552,0.41031414270401,0.5107308030128479,0.2595383822917938,0.3966929316520691,0.13308946788311005,0.3966929316520691,0.10874296724796295,0.2714994251728058
philo,0.14625145494937897,0.22847673296928406,0.15502481162548065,0.13308946788311005,0.13563112914562225,0.11827199906110764,0.19743017852306366,0.11807307600975037,1.0000001192092896,0.11807307600975037,0.3577951192855835,0.13684967160224915
's,0.02692362666130066,-0.015085517428815365,0.09241583198308945,0.0026888418942689896,0.03782717138528824,-0.01540423184633255,-0.013285183347761631,-0.03817026689648628,0.03054623305797577,-0.03817026689648628,0.0005873594200238585,-0.023395681753754616
work,0.3762225806713104,0.23283414542675018,0.23994649946689606,0.26663315296173096,0.3482864499092102,0.2704800069332123,0.35414552688598633,0.23473061621189117,0.2021644562482834,0.23473061621189117,0.12818308174610138,0.2621155381202698
by,0.2455483376979828,0.15661834180355072,0.22056880593299866,0.33887791633605957,0.33534231781959534,0.4408751428127289,0.22770309448242188,0.3646814823150635,0.17263861000537872,0.3646814823150635,0.1715516448020935,0.17966607213020325
observing,0.31068339943885803,0.16163456439971924,0.18937857449054718,0.27948933839797974,0.27352622151374817,0.26581305265426636,0.31311631202697754,0.27750861644744873,0.1263490617275238,0.27750861644744873,0.15160433948040009,0.17418181896209717
that,0.6297725439071655,0.17104795575141907,0.2532336115837097,0.42569106817245483,0.5436353087425232,0.5473989248275757,0.36972561478614807,0.41498205065727234,0.1806609034538269,0.41498205065727234,0.19811536371707916,0.32716336846351624
a,0.3320399522781372,0.27090972661972046,0.23064446449279785,0.3848365545272827,0.45503583550453186,0.5829201340675354,0.1875147819519043,0.5052502155303955,0.13571318984031677,0.5052502155303955,0.13512501120567322,0.23916715383529663
portion,0.287394255399704,0.07635106891393661,0.09435292333364487,0.245950385928154,0.3284904956817627,0.42017096281051636,0.20461112260818481,0.31845465302467346,0.06162118911743164,0.31845465302467346,0.13187891244888306,0.11719609797000885
of,0.33290785551071167,0.14933325350284576,0.23442776501178741,0.3966929316520691,0.41548454761505127,0.733189046382904,0.25754475593566895,1.0,0.11807307600975037,1.0,0.18282687664031982,0.1826142966747284
air,0.10361403971910477,0.14253680408000946,0.21537120640277863,0.20020021498203278,0.24103909730911255,0.2877824306488037,0.10056587308645248,0.24196814000606537,0.09146284312009811,0.24196814000606537,0.13650138676166534,0.1491677612066269
is,0.28837618231773376,0.17402730882167816,0.17778918147087097,0.3635730445384979,0.42745086550712585,0.5823672413825989,0.23744268715381622,0.4854315221309662,0.09467869997024536,0.4854315221309662,0.14093998074531555,0.22961433231830597
consumed,0.20357352495193481,0.13037902116775513,0.17821121215820312,0.2066115140914917,0.2738843262195587,0.2465425431728363,0.18726713955402374,0.2031918317079544,0.018265582621097565,0.2031918317079544,0.14395619928836823,0.2024012953042984
during,0.24137552082538605,0.189276322722435,0.2613257169723511,0.3347817361354828,0.2828781306743622,0.4838213622570038,0.1836036592721939,0.3869180977344513,0.08022470027208328,0.3869180977344513,0.12739290297031403,0.1325719803571701
combustion,0.2678600549697876,0.35962995886802673,0.2815614640712738,0.1549367755651474,0.21775685250759125,0.2447446882724762,0.19759699702262878,0.25126782059669495,0.12451514601707458,0.25126782059669495,0.15729564428329468,0.2177530825138092
and,0.31309178471565247,0.1455620676279068,0.2814858853816986,0.4077630043029785,0.48971283435821533,0.5171257257461548,0.27312272787094116,0.5116966962814331,0.1622416079044342,0.5116966962814331,0.21811822056770325,0.20544172823429108
respiration,0.23671798408031464,0.23899298906326294,0.11693688482046127,0.19081667065620422,0.2922604978084564,0.29438328742980957,0.28520333766937256,0.2836471498012543,0.07785019278526306,0.2836471498012543,0.09257041662931442,0.17575538158416748
.,0.3567904531955719,0.20599165558815002,0.2374027520418167,0.49257001280784607,0.4645031690597534,0.5934505462646484,0.28905197978019714,0.5352458953857422,0.1658102124929428,0.5352458953857422,0.23264354467391968,0.4130953550338745
