,a,decision,made,by,what,entity,restored,tesla,'s,patents,?
in,0.539380669593811,0.2212151288986206,0.25271502137184143,0.370934396982193,0.30808621644973755,0.22507517039775848,0.22816066443920135,0.17097744345664978,-0.037580832839012146,0.20229753851890564,0.20430970191955566
1943,0.0022236425429582596,0.09226980805397034,-0.06118244305253029,-0.01281033456325531,-0.007620702963322401,0.02389748953282833,-0.05688612163066864,-0.028515523299574852,-0.013914006762206554,0.05465368553996086,-0.08025530725717545
",",0.427140474319458,0.2818170189857483,0.32507219910621643,0.3680937886238098,0.3087472915649414,0.19129666686058044,0.24934202432632446,0.20599327981472015,-0.0016132977325469255,0.22191748023033142,0.31091248989105225
a,1.0,0.24091263115406036,0.3180864453315735,0.32094135880470276,0.3320399522781372,0.2841722071170807,0.17521679401397705,0.2211925983428955,0.04866964742541313,0.2283138483762741,0.23916715383529663
supreme,0.19796480238437653,0.5080515742301941,0.17275312542915344,0.19502080976963043,0.25469252467155457,0.23262138664722443,0.20994660258293152,0.19380244612693787,-0.08114141970872879,0.20419448614120483,0.20777292549610138
court,0.23624834418296814,0.5046883225440979,0.1495923101902008,0.21938012540340424,0.23440583050251007,0.17786403000354767,0.20648129284381866,0.13535183668136597,-0.0831713154911995,0.2020716369152069,0.17100423574447632
of,0.5052502155303955,0.2331373691558838,0.33167365193367004,0.3646814823150635,0.33290785551071167,0.21258564293384552,0.2796242833137512,0.18837453424930573,-0.03817026689648628,0.17704786360263824,0.1826142966747284
the,0.5829201340675354,0.2905151844024658,0.3885267674922943,0.4408751428127289,0.42745697498321533,0.2403784692287445,0.29931989312171936,0.1324402391910553,-0.01540423184633255,0.20236903429031372,0.22068053483963013
united,0.2732578217983246,0.22557225823402405,0.20117242634296417,0.23958808183670044,0.20036718249320984,0.15409940481185913,0.12295259535312653,0.1552019715309143,-0.03853745758533478,0.20469753444194794,0.17266890406608582
states,0.24708621203899384,0.2614414095878601,0.19372312724590302,0.23827408254146576,0.21526020765304565,0.1935424953699112,0.1246294230222702,0.17635658383369446,-0.004298824816942215,0.2388523668050766,0.16272737085819244
decision,0.24091263115406036,1.0,0.21546365320682526,0.28215938806533813,0.32053670287132263,0.2537536919116974,0.22660692036151886,0.1656123399734497,0.04087042436003685,0.1651335060596466,0.2796577215194702
restored,0.17521679401397705,0.22660692036151886,0.2704419493675232,0.2542679011821747,0.23375621438026428,0.2339370995759964,1.0,0.1818307489156723,-0.03046787716448307,0.140064999461174,0.1778445541858673
the,0.5829201340675354,0.2905151844024658,0.3885267674922943,0.4408751428127289,0.42745697498321533,0.2403784692287445,0.29931989312171936,0.1324402391910553,-0.01540423184633255,0.20236903429031372,0.22068053483963013
prior,0.22647660970687866,0.2795926034450531,0.20455904304981232,0.2645944356918335,0.2537507116794586,0.1873593032360077,0.33768221735954285,0.10144809633493423,-0.0369880273938179,0.1951807737350464,0.16978254914283752
patents,0.2283138483762741,0.1651335060596466,0.24384869635105133,0.2412426620721817,0.16317835450172424,0.14373570680618286,0.140064999461174,0.352291464805603,0.011529999785125256,1.0,0.1148110032081604
of,0.5052502155303955,0.2331373691558838,0.33167365193367004,0.3646814823150635,0.33290785551071167,0.21258564293384552,0.2796242833137512,0.18837453424930573,-0.03817026689648628,0.17704786360263824,0.1826142966747284
tesla,0.2211925983428955,0.1656123399734497,0.1893712431192398,0.16513796150684357,0.23221199214458466,0.1416688859462738,0.1818307489156723,0.9999999403953552,0.06449045985937119,0.352291464805603,0.10250775516033173
",",0.427140474319458,0.2818170189857483,0.32507219910621643,0.3680937886238098,0.3087472915649414,0.19129666686058044,0.24934202432632446,0.20599327981472015,-0.0016132977325469255,0.22191748023033142,0.31091248989105225
oliver,0.17395614087581635,0.1476150006055832,0.1846870630979538,0.18978120386600494,0.18301159143447876,0.1121567115187645,0.21602390706539154,0.06917804479598999,0.03277194872498512,0.10006548464298248,0.20260699093341827
lodge,0.20311224460601807,0.12422459572553635,0.19916613399982452,0.1686328947544098,0.14195775985717773,0.07098975777626038,0.2197996973991394,0.1273626834154129,-0.02259167470037937,0.21042564511299133,0.09914698451757431
",",0.427140474319458,0.2818170189857483,0.32507219910621643,0.3680937886238098,0.3087472915649414,0.19129666686058044,0.24934202432632446,0.20599327981472015,-0.0016132977325469255,0.22191748023033142,0.31091248989105225
and,0.3739250600337982,0.20328959822654724,0.34954607486724854,0.4289871156215668,0.31309178471565247,0.20907706022262573,0.25671181082725525,0.19560420513153076,0.06895173341035843,0.15322813391685486,0.20544172823429108
john,0.20638683438301086,0.16913166642189026,0.1695454865694046,0.2502059042453766,0.18237407505512238,0.09426375478506088,0.15453863143920898,0.16234931349754333,-0.1023898646235466,0.1529933214187622,0.13162356615066528
stone,0.2436634749174118,0.13663017749786377,0.1748797744512558,0.18950873613357544,0.1478947550058365,0.07351560145616531,0.1341264396905899,0.15227341651916504,-0.005000283941626549,0.13429312407970428,0.11966012418270111
.,0.50484299659729,0.3103445768356323,0.4032190144062042,0.3936232924461365,0.3567904531955719,0.24862751364707947,0.2842494547367096,0.17949827015399933,-0.003708066651597619,0.21918348968029022,0.4130953550338745
