,on,what,yard,line,did,carolina,begin,with,4:51,left,in,the,game,?
with,0.40749499201774597,0.2464839518070221,0.12714087963104248,0.18698516488075256,0.25472134351730347,0.1565731316804886,0.25770750641822815,0.9999999403953552,0.09120775014162064,0.219827800989151,0.4080928862094879,0.4223487675189972,0.19394829869270325,0.2433311939239502
4:51,0.08508143573999405,0.025887267664074898,0.012828515842556953,0.06723792850971222,0.08738863468170166,0.1535077542066574,-0.013293118216097355,0.09120775014162064,1.0,0.17247337102890015,0.12840983271598816,0.07660811394453049,0.03819094970822334,0.14450648427009583
left,0.30747801065444946,0.2442072629928589,0.16071899235248566,0.14868047833442688,0.27335280179977417,0.1195613220334053,0.199283167719841,0.219827800989151,0.17247337102890015,1.0,0.21139952540397644,0.33113980293273926,0.12498873472213745,0.13251960277557373
in,0.46853652596473694,0.30808621644973755,0.16734865307807922,0.2258777767419815,0.2593238651752472,0.2380082756280899,0.2903634011745453,0.4080928862094879,0.12840983271598816,0.21139952540397644,1.0,0.6662389636039734,0.23986028134822845,0.20430970191955566
regulation,0.21283218264579773,0.24804432690143585,0.1853446662425995,0.13306351006031036,0.2159654051065445,0.13382448256015778,0.198080375790596,0.225722998380661,-0.06194455176591873,0.08854791522026062,0.25001105666160583,0.33589670062065125,0.1833837330341339,0.1690916270017624
",",0.49057599902153015,0.3087472915649414,0.10565341264009476,0.22637072205543518,0.3015086054801941,0.2566046118736267,0.27304404973983765,0.4120737314224243,0.23814080655574799,0.2448868453502655,0.5201468467712402,0.4933079481124878,0.2653886377811432,0.31091248989105225
carolina,0.19547675549983978,0.1956660896539688,0.16821691393852234,0.14648932218551636,0.18489903211593628,1.0000001192092896,0.059019651263952255,0.1565731316804886,0.1535077542066574,0.1195613220334053,0.2380082756280899,0.24749229848384857,0.1679076999425888,0.11847445368766785
got,0.28486916422843933,0.22145941853523254,0.09937194734811783,0.10184694826602936,0.4486267864704132,0.17484834790229797,0.1758691668510437,0.2582400441169739,0.13743551075458527,0.20172128081321716,0.2664507329463959,0.25685515999794006,0.19835898280143738,0.24048802256584167
the,0.5107308030128479,0.42745697498321533,0.22634266316890717,0.29789501428604126,0.34736719727516174,0.24749229848384857,0.34293439984321594,0.4223487675189972,0.07660811394453049,0.33113980293273926,0.6662389636039734,1.0,0.285271555185318,0.22068053483963013
ball,0.1605052351951599,0.19548681378364563,0.2602619230747223,0.2138069123029709,0.11887120455503464,0.11953222006559372,0.09708361327648163,0.1654299646615982,0.07029654830694199,0.13393549621105194,0.1472199559211731,0.18895584344863892,0.34016361832618713,0.1766241192817688
