,when,did,gou,'s,calendar,become,the,official,calendar,of,the,yuan,?
his,0.37120407819747925,0.3546801507472992,0.19720280170440674,0.047556519508361816,0.1314326822757721,0.2702707052230835,0.4394008219242096,0.1634177416563034,0.1314326822757721,0.38364991545677185,0.4394008219242096,0.20877203345298767,0.18075084686279297
calendar,0.19854870438575745,0.1636282205581665,0.13558773696422577,0.04485815763473511,1.0,0.11103404313325882,0.21427585184574127,0.1948275864124298,1.0,0.15737932920455933,0.21427585184574127,0.252644419670105,0.16766934096813202
",",0.36674630641937256,0.3015086054801941,0.264608770608902,-0.0016132977325469255,0.14375944435596466,0.29676204919815063,0.4933079481124878,0.2088543325662613,0.14375944435596466,0.4946078956127167,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,0.24288985133171082,-0.01540423184633255,0.21427585184574127,0.31731709837913513,1.0,0.3133983910083771,0.21427585184574127,0.733189046382904,1.0,0.2548272907733917,0.22068053483963013
shoushi,0.268121600151062,0.18958456814289093,0.2373427301645279,-0.038323067128658295,0.1619422435760498,0.15876227617263794,0.2838849425315857,0.18007324635982513,0.1619422435760498,0.25177401304244995,0.2838849425315857,0.288261741399765,0.22778330743312836
li,0.18981222808361053,0.08404657244682312,0.2700723707675934,-0.03867683187127113,0.21520434319972992,0.09468395262956619,0.1979183703660965,0.11578557640314102,0.21520434319972992,0.14930510520935059,0.1979183703660965,0.4916059076786041,0.17020992934703827
(,0.2459595799446106,0.18979617953300476,0.197951078414917,0.0012731997994706035,0.16621100902557373,0.17883598804473877,0.33289089798927307,0.20883582532405853,0.16621100902557373,0.35032153129577637,0.33289089798927307,0.18021149933338165,0.40561532974243164
授時暦,-0.36425596475601196,-0.27014440298080444,-0.09520842134952545,-0.0019296928076073527,-0.17284977436065674,-0.19222089648246765,-0.3662036657333374,-0.08820752054452896,-0.17284977436065674,-0.2648533582687378,-0.3662036657333374,-0.06601462513208389,-0.17058120667934418
),0.2538422644138336,0.18584993481636047,0.16574272513389587,0.021107977256178856,0.17540256679058075,0.1894923597574234,0.3456730246543884,0.2148369550704956,0.17540256679058075,0.3680361211299896,0.3456730246543884,0.17912885546684265,0.42300865054130554
or,0.417120099067688,0.28211739659309387,0.18340495228767395,0.06871571391820908,0.11007578670978546,0.24585704505443573,0.4174870550632477,0.14948703348636627,0.11007578670978546,0.3792596757411957,0.4174870550632477,0.2459961175918579,0.32389625906944275
calendar,0.19854870438575745,0.1636282205581665,0.13558773696422577,0.04485815763473511,1.0,0.11103404313325882,0.21427585184574127,0.1948275864124298,1.0,0.15737932920455933,0.21427585184574127,0.252644419670105,0.16766934096813202
for,0.43402108550071716,0.318512886762619,0.1724986582994461,-0.07241261005401611,0.16532684862613678,0.3047906458377838,0.4739971458911896,0.2504976987838745,0.16532684862613678,0.4185989499092102,0.4739971458911896,0.12319284677505493,0.264628142118454
fixing,0.26825523376464844,0.1973334550857544,0.15057571232318878,-0.02449236810207367,0.19273494184017181,0.09334225207567215,0.24690976738929749,0.030247928574681282,0.19273494184017181,0.15681946277618408,0.24690976738929749,0.19254156947135925,0.30330368876457214
the,0.5091903209686279,0.34736719727516174,0.24288985133171082,-0.01540423184633255,0.21427585184574127,0.31731709837913513,1.0,0.3133983910083771,0.21427585184574127,0.733189046382904,1.0,0.2548272907733917,0.22068053483963013
