,where,was,the,rhine,regulated,with,an,upper,canal,?
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.18604598939418793,0.3783375024795532,0.44552403688430786,0.26226839423179626,0.1656898409128189,0.23916715383529663
regulation,0.1933130919933319,0.1876436173915863,0.33589670062065125,0.16062843799591064,0.8219654560089111,0.225722998380661,0.21746115386486053,0.1275290697813034,0.166695699095726,0.1690916270017624
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.2548927664756775,0.2244439423084259,0.41827285289764404,0.32280945777893066,0.25818127393722534,0.18671196699142456,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.4223487675189972,0.4207492768764496,0.35289278626441956,0.26047348976135254,0.22068053483963013
rhine,0.2007746696472168,0.18681856989860535,0.30735138058662415,1.0,0.17491890490055084,0.18184249103069305,0.07200640439987183,0.27324220538139343,0.3058634102344513,0.13754533231258392
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.18681856989860535,0.19747138023376465,0.27411898970603943,0.3694365322589874,0.16268539428710938,0.19834820926189423,0.18412111699581146
called,0.3857341706752777,0.33927658200263977,0.489897221326828,0.14562174677848816,0.28937599062919617,0.3139074146747589,0.2858632802963257,0.19935820996761322,0.1609506458044052,0.18963319063186646
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.1584572196006775,0.22951747477054596,0.39140474796295166,0.3236706852912903,0.12166716158390045,0.1589493304491043,0.264628142118454
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18714715540409088,0.4120737314224243,0.3581022024154663,0.22235287725925446,0.21654076874256134,0.31091248989105225
with,0.4142743945121765,0.27411898970603943,0.4223487675189972,0.18184249103069305,0.21865393221378326,0.9999999403953552,0.2730048894882202,0.1428503692150116,0.16234824061393738,0.2433311939239502
an,0.24824833869934082,0.3694365322589874,0.4207492768764496,0.07200640439987183,0.2102651596069336,0.2730048894882202,1.0,0.12120983749628067,0.11223308742046356,0.19793890416622162
upper,0.23894330859184265,0.16268539428710938,0.35289278626441956,0.27324220538139343,0.15075896680355072,0.1428503692150116,0.12120983749628067,1.0000001192092896,0.22199103236198425,0.051342256367206573
canal,0.18127882480621338,0.19834820926189423,0.26047348976135254,0.3058634102344513,0.18000197410583496,0.16234824061393738,0.11223308742046356,0.22199103236198425,1.0,0.1123519018292427
near,0.4188554286956787,0.1933041363954544,0.2879819869995117,0.2615382969379425,0.08504171669483185,0.21191000938415527,0.1648338884115219,0.2751629650592804,0.2897687554359436,0.10734958201646805
diepoldsau,0.24230194091796875,0.2856166660785675,0.3156484365463257,0.5631630420684814,0.22867411375045776,0.24417224526405334,0.20178541541099548,0.31362318992614746,0.2711063623428345,0.2717871367931366
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.23976443707942963,0.5477725267410278,0.2838519215583801,0.2172592729330063,0.22985301911830902,0.20544172823429108
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.18604598939418793,0.3783375024795532,0.44552403688430786,0.26226839423179626,0.1656898409128189,0.23916715383529663
lower,0.23795399069786072,0.1138346716761589,0.3463275134563446,0.28043457865715027,0.23092065751552582,0.1784515678882599,0.0962325856089592,0.7553458213806152,0.20390339195728302,0.08471795171499252
canal,0.18127882480621338,0.19834820926189423,0.26047348976135254,0.3058634102344513,0.18000197410583496,0.16234824061393738,0.11223308742046356,0.22199103236198425,1.0,0.1123519018292427
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.19469857215881348,0.15156717598438263,0.29126521944999695,0.2446778565645218,0.21318504214286804,0.13170094788074493,0.21978627145290375
fußach,0.17732301354408264,0.1753644496202469,0.2364002913236618,0.42945370078086853,0.14653976261615753,0.24374793469905853,0.09374731779098511,0.2625758647918701,0.1825256496667862,0.2205822467803955
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18714715540409088,0.4120737314224243,0.3581022024154663,0.22235287725925446,0.21654076874256134,0.31091248989105225
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.1877955198287964,0.4080928862094879,0.2605783939361572,0.27419501543045044,0.25331923365592957,0.20430970191955566
order,0.16017383337020874,0.16897162795066833,0.3284194767475128,0.12970411777496338,0.19530142843723297,0.16471563279628754,0.14927062392234802,0.12031252682209015,0.11881111562252045,0.13725648820400238
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.1736302673816681,0.19057130813598633,0.4239959120750427,0.3138085603713989,0.21445727348327637,0.15252184867858887,0.29463258385658264
counteract,0.2650851905345917,0.13730543851852417,0.3067632019519806,0.17435722053050995,0.23596225678920746,0.34141260385513306,0.267811119556427,0.10546590387821198,0.07903711497783661,0.1937524974346161
the,0.5003893971443176,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.4223487675189972,0.4207492768764496,0.35289278626441956,0.26047348976135254,0.22068053483963013
constant,0.3168491721153259,0.11607828736305237,0.2037150114774704,0.20739522576332092,0.20301063358783722,0.23216186463832855,0.14934922754764557,0.12785567343235016,0.0521993450820446,0.14516431093215942
flooding,0.204618901014328,0.19221648573875427,0.24058853089809418,0.2048298716545105,0.16310076415538788,0.19775983691215515,0.12061399966478348,0.18697117269039154,0.27596330642700195,0.2615346312522888
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.23976443707942963,0.5477725267410278,0.2838519215583801,0.2172592729330063,0.22985301911830902,0.20544172823429108
strong,0.19353118538856506,0.21312883496284485,0.22482411563396454,0.12139569967985153,0.21642248332500458,0.3258751928806305,0.2345537394285202,0.18829578161239624,0.07663212716579437,0.11990999430418015
sedimentation,0.208706796169281,0.10663878917694092,0.2617757022380829,0.17811830341815948,0.24952223896980286,0.19930024445056915,0.20122605562210083,0.2727496027946472,0.24581365287303925,0.17398139834403992
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.1877955198287964,0.4080928862094879,0.2605783939361572,0.27419501543045044,0.25331923365592957,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,1.0,0.30735138058662415,0.2870032787322998,0.4223487675189972,0.4207492768764496,0.35289278626441956,0.26047348976135254,0.22068053483963013
western,0.21352119743824005,0.2864105999469757,0.37920868396759033,0.23680023849010468,0.155766099691391,0.2322099357843399,0.13090655207633972,0.21402400732040405,0.16062943637371063,0.17439141869544983
rhine,0.2007746696472168,0.18681856989860535,0.30735138058662415,1.0,0.17491890490055084,0.18184249103069305,0.07200640439987183,0.27324220538139343,0.3058634102344513,0.13754533231258392
delta,0.2060132622718811,0.20297802984714508,0.22022446990013123,0.21930839121341705,0.05960415303707123,0.15502384305000305,0.14560812711715698,0.31570595502853394,0.27281689643859863,0.14208948612213135
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2089352011680603,0.1949521005153656,0.4446153938770294,0.3581749200820923,0.23727275431156158,0.20299389958381653,0.4130953550338745
