,of,what,form,is,the,infinite,amount,of,primes,that,comprise,the,special,cases,of,schinzel,'s,hypothesis,?
it,0.38761502504348755,0.45803478360176086,0.31451088190078735,0.6328473687171936,0.6251175999641418,0.1739708036184311,0.3270067572593689,0.38761502504348755,0.2287449687719345,0.5921133160591125,0.22158463299274445,0.6251175999641418,0.2483513355255127,0.2896766662597656,0.38761502504348755,0.1854248195886612,0.06608816236257553,0.2407635748386383,0.25732165575027466
is,0.4854315221309662,0.28837618231773376,0.3218395411968231,1.0,0.5823672413825989,0.179602712392807,0.3016021251678467,0.4854315221309662,0.2382466346025467,0.3995479643344879,0.3045743703842163,0.5823672413825989,0.24467575550079346,0.2989884912967682,0.4854315221309662,0.2367008626461029,0.02396530658006668,0.21564556658267975,0.22961433231830597
conjectured,0.2096056193113327,0.24757727980613708,0.2132399082183838,0.24741001427173615,0.1689261645078659,0.4751847982406616,0.22570373117923737,0.2096056193113327,0.5241694450378418,0.31516772508621216,0.14418138563632965,0.1689261645078659,0.09004250913858414,0.2590600848197937,0.2096056193113327,0.2567059099674225,-0.015388506464660168,0.4861695468425751,0.2194962203502655
there,0.44397735595703125,0.35085538029670715,0.23102781176567078,0.3904260993003845,0.47025805711746216,0.2816348969936371,0.2715611755847931,0.44397735595703125,0.2533605694770813,0.6006520986557007,0.25552496314048767,0.47025805711746216,0.252066045999527,0.3664475679397583,0.44397735595703125,0.1286642998456955,-0.04860968142747879,0.23066595196723938,0.29405656456947327
are,0.39081433415412903,0.29724663496017456,0.29983413219451904,0.5330929756164551,0.40399202704429626,0.16370852291584015,0.2873819172382355,0.39081433415412903,0.2606703042984009,0.45265161991119385,0.3744918406009674,0.40399202704429626,0.28764480352401733,0.4178389310836792,0.39081433415412903,0.1549082249403,-0.008927806280553341,0.17942708730697632,0.24591213464736938
infinitely,0.22627422213554382,0.3249160349369049,0.20798179507255554,0.21537445485591888,0.22954502701759338,0.8680528402328491,0.24504709243774414,0.22627422213554382,0.38976576924324036,0.41766390204429626,0.16439707577228546,0.22954502701759338,0.19780142605304718,0.2059885412454605,0.22627422213554382,0.1808411329984665,-0.06180882081389427,0.30611148476600647,0.3284112513065338
many,0.37253960967063904,0.36131182312965393,0.223133847117424,0.2649032473564148,0.4335206151008606,0.19729553163051605,0.36071112751960754,0.37253960967063904,0.2377949059009552,0.5391656160354614,0.1986261010169983,0.4335206151008606,0.33113887906074524,0.33842039108276367,0.37253960967063904,0.16926783323287964,0.01698932610452175,0.1645427942276001,0.2124512493610382
primes,0.22199293971061707,0.2505246102809906,0.2012440413236618,0.2382466346025467,0.22359657287597656,0.43643665313720703,0.24383299052715302,0.22199293971061707,1.0,0.30276167392730713,0.09093556553125381,0.22359657287597656,0.12812252342700958,0.3013673722743988,0.22199293971061707,0.2340860366821289,0.011744771152734756,0.3432275354862213,0.18851876258850098
of,1.0,0.33290785551071167,0.29600051045417786,0.4854315221309662,0.733189046382904,0.2322143018245697,0.2541177570819855,1.0,0.22199293971061707,0.41498205065727234,0.37900012731552124,0.733189046382904,0.27998968958854675,0.31000128388404846,1.0,0.2786795496940613,-0.03817026689648628,0.18608006834983826,0.1826142966747284
the,0.733189046382904,0.42745697498321533,0.29286009073257446,0.5823672413825989,1.0,0.17816448211669922,0.3336862325668335,0.733189046382904,0.22359657287597656,0.5473989248275757,0.30294761061668396,1.0,0.3027077615261078,0.33415094017982483,0.733189046382904,0.26873499155044556,-0.01540423184633255,0.2221619188785553,0.22068053483963013
form,0.29600051045417786,0.15868011116981506,0.9999999403953552,0.3218395411968231,0.29286009073257446,0.22312314808368683,0.2642080783843994,0.29600051045417786,0.2012440413236618,0.31894639134407043,0.2837422490119934,0.29286009073257446,0.1644894927740097,0.317935049533844,0.29600051045417786,0.1434076726436615,0.07059726119041443,0.1888502687215805,0.1463010311126709
n2,0.035358842462301254,0.2232850342988968,0.05305468291044235,0.051488205790519714,0.06733548641204834,0.06238742545247078,0.06525363773107529,0.035358842462301254,0.019702795892953873,0.19340327382087708,0.08426740765571594,0.06733548641204834,0.02964159846305847,0.09495244175195694,0.035358842462301254,-0.01589815877377987,0.08155368268489838,0.10900957137346268,0.1808086335659027
+,0.14862146973609924,0.1158081665635109,0.1295623481273651,0.12961794435977936,0.12941905856132507,0.2204119712114334,0.21764229238033295,0.14862146973609924,0.21849572658538818,0.18285581469535828,0.17164549231529236,0.12941905856132507,0.1419975608587265,0.16005444526672363,0.14862146973609924,0.12796735763549805,0.03738560900092125,0.12862586975097656,0.2903686463832855
1,-0.09473495930433273,-0.21266892552375793,-0.12375190854072571,-0.12491171807050705,-0.1554475575685501,-0.1646765172481537,-0.20471227169036865,-0.09473495930433273,-0.25417813658714294,-0.3131840229034424,-0.0519249364733696,-0.1554475575685501,-0.2323671281337738,-0.24735188484191895,-0.09473495930433273,-0.10335312783718109,0.003928052727133036,-0.20556026697158813,-0.249979168176651
.,0.5352458953857422,0.3567904531955719,0.28317511081695557,0.4569662809371948,0.5934505462646484,0.14890168607234955,0.24893930554389954,0.5352458953857422,0.2564551830291748,0.4460422694683075,0.185248464345932,0.5934505462646484,0.26337340474128723,0.29929009079933167,0.5352458953857422,0.32759368419647217,-0.003708066651597619,0.16023044288158417,0.4130953550338745
