,what,does,a,turing,machine,handle,on,a,strip,of,tape,?
it,0.45803478360176086,0.34188351035118103,0.5452592968940735,0.17868860065937042,0.22480705380439758,0.2548229992389679,0.4529881477355957,0.5452592968940735,0.19620095193386078,0.38761502504348755,0.17847833037376404,0.25732165575027466
is,0.28837618231773376,0.4403602182865143,0.658733606338501,0.18364353477954865,0.18938691914081573,0.2478855550289154,0.3635730445384979,0.658733606338501,0.2362191379070282,0.4854315221309662,0.15419748425483704,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,1.0,0.25234705209732056,0.24983544647693634,0.2600627541542053,0.3848365545272827,1.0,0.2385350912809372,0.5052502155303955,0.28078171610832214,0.23916715383529663
theoretical,0.3012935221195221,0.1772969514131546,0.252067893743515,0.46017590165138245,0.2333238571882248,0.167231023311615,0.2369895726442337,0.252067893743515,0.15192708373069763,0.2684490382671356,0.24095159769058228,0.14929188787937164
device,0.2484142780303955,0.262882262468338,0.3107774555683136,0.31562015414237976,0.4428136646747589,0.31894806027412415,0.19709131121635437,0.3107774555683136,0.1416684091091156,0.17168864607810974,0.3764168620109558,0.09819377958774567
that,0.6297725439071655,0.4764937460422516,0.47537946701049805,0.3136295974254608,0.2756650745868683,0.3289736807346344,0.42569106817245483,0.47537946701049805,0.23165962100028992,0.41498205065727234,0.27122506499290466,0.32716336846351624
manipulates,0.28500306606292725,0.29176294803619385,0.2550223171710968,0.30650269985198975,0.3152408301830292,0.3148387670516968,0.16612927615642548,0.2550223171710968,0.1704970896244049,0.22962552309036255,0.31832078099250793,0.22392798960208893
symbols,0.2427739053964615,0.1786300539970398,0.2283145785331726,0.224839448928833,0.16846832633018494,0.2129492610692978,0.15932507812976837,0.2283145785331726,0.11278114467859268,0.276145339012146,0.1919611096382141,0.16658984124660492
contained,0.18997789919376373,0.24320241808891296,0.301316499710083,0.13547344505786896,0.1743430197238922,0.297952264547348,0.22016724944114685,0.301316499710083,0.1752045452594757,0.37918418645858765,0.2575150430202484,0.171995609998703
on,0.34226128458976746,0.2568802833557129,0.3848365545272827,0.17251454293727875,0.209082692861557,0.22613152861595154,0.9999999403953552,0.3848365545272827,0.2334149032831192,0.3966929316520691,0.16172082722187042,0.2714994251728058
a,0.3320399522781372,0.38201746344566345,1.0,0.25234705209732056,0.24983544647693634,0.2600627541542053,0.3848365545272827,1.0,0.2385350912809372,0.5052502155303955,0.28078171610832214,0.23916715383529663
strip,0.15591688454151154,0.16811233758926392,0.2385350912809372,0.1592545062303543,0.13719674944877625,0.1274091899394989,0.2334149032831192,0.2385350912809372,1.0,0.1824764758348465,0.22831209003925323,0.06863179802894592
of,0.33290785551071167,0.3119818866252899,0.5052502155303955,0.2670239806175232,0.15468473732471466,0.2300901859998703,0.3966929316520691,0.5052502155303955,0.1824764758348465,1.0,0.15910093486309052,0.1826142966747284
tape,0.18888257443904877,0.10937009006738663,0.28078171610832214,0.24861149489879608,0.2915995121002197,0.21975849568843842,0.16172082722187042,0.28078171610832214,0.22831209003925323,0.15910093486309052,1.0,0.13937829434871674
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.19254323840141296,0.20798662304878235,0.2766178846359253,0.49257001280784607,0.50484299659729,0.21094229817390442,0.5352458953857422,0.13330180943012238,0.4130953550338745
