,who,ordained,the,first,methodist,clergy,?
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
first,0.39065709710121155,0.17330105602741241,0.49448907375335693,1.0,0.20644935965538025,0.14996984601020813,0.18701928853988647
methodist,0.21443013846874237,0.44802963733673096,0.21922016143798828,0.20644935965538025,1.0,0.3982779085636139,0.1436992734670639
clergy,0.2824920117855072,0.49681946635246277,0.26154741644859314,0.14996984601020813,0.3982779085636139,0.9999999403953552,0.14422976970672607
were,0.3188014328479767,0.21398280560970306,0.3906462490558624,0.3285558819770813,0.20431527495384216,0.33368420600891113,0.17890112102031708
ordained,0.2565222978591919,0.9999998807907104,0.20148134231567383,0.17330105602741241,0.44802963733673096,0.49681946635246277,0.2412128895521164
by,0.39727845788002014,0.1810382753610611,0.4408751428127289,0.3877052962779999,0.20236296951770782,0.1791175752878189,0.17966607213020325
john,0.30388808250427246,0.29013675451278687,0.2230520099401474,0.2870165705680847,0.29304346442222595,0.18495789170265198,0.13162356615066528
wesley,0.2321225255727768,0.24548323452472687,0.1425647884607315,0.2298528552055359,0.4355824887752533,0.21692651510238647,0.1662333607673645
",",0.3365725874900818,0.2748708128929138,0.4933079481124878,0.34503069519996643,0.2960420250892639,0.17161379754543304,0.31091248989105225
a,0.36608949303627014,0.20081542432308197,0.5829201340675354,0.4287874400615692,0.24651029706001282,0.19379808008670807,0.23916715383529663
priest,0.29762959480285645,0.552865207195282,0.17071814835071564,0.19680161774158478,0.30161264538764954,0.457773357629776,0.1474698781967163
of,0.2827862501144409,0.29011455178260803,0.733189046382904,0.3536086082458496,0.28458893299102783,0.2905072271823883,0.1826142966747284
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
church,0.19418756663799286,0.481964647769928,0.23846197128295898,0.11462637037038803,0.6119816899299622,0.4753705859184265,0.18081501126289368
of,0.2827862501144409,0.29011455178260803,0.733189046382904,0.3536086082458496,0.28458893299102783,0.2905072271823883,0.1826142966747284
england,0.23733465373516083,0.2737765610218048,0.28280043601989746,0.24895092844963074,0.3153398334980011,0.26184186339378357,0.13436897099018097
",",0.3365725874900818,0.2748708128929138,0.4933079481124878,0.34503069519996643,0.2960420250892639,0.17161379754543304,0.31091248989105225
because,0.4398062229156494,0.15384046733379364,0.44596394896507263,0.314182847738266,0.1522974818944931,0.23541159927845,0.2528740465641022
of,0.2827862501144409,0.29011455178260803,0.733189046382904,0.3536086082458496,0.28458893299102783,0.2905072271823883,0.1826142966747284
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
crisis,0.17522326111793518,0.12185131013393402,0.263981431722641,0.1638687551021576,0.09195886552333832,0.18282896280288696,0.17902959883213043
caused,0.17188787460327148,0.11507260799407959,0.24990202486515045,0.13120879232883453,0.17171788215637207,0.13002149760723114,0.20679491758346558
by,0.39727845788002014,0.1810382753610611,0.4408751428127289,0.3877052962779999,0.20236296951770782,0.1791175752878189,0.17966607213020325
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
american,0.3093835413455963,0.14031875133514404,0.24562937021255493,0.29280033707618713,0.3020162284374237,0.10740366578102112,0.18877598643302917
revolution,0.2163151353597641,0.19068272411823273,0.276140034198761,0.29615941643714905,0.16397987306118011,0.27765291929244995,0.1727980077266693
which,0.3688730001449585,0.13512475788593292,0.6521818041801453,0.3828166127204895,0.16454297304153442,0.23357287049293518,0.25814583897590637
isolated,0.1777573823928833,0.19929112493991852,0.28042563796043396,0.2219434529542923,0.12214991450309753,0.20645064115524292,0.06718844920396805
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
methodists,0.2666161358356476,0.3931761682033539,0.25832629203796387,0.2012275904417038,0.9008142352104187,0.43819841742515564,0.1608453392982483
in,0.2792111933231354,0.2727404534816742,0.6662389636039734,0.4127444326877594,0.24702993035316467,0.17874550819396973,0.20430970191955566
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
states,0.21313154697418213,0.22798530757427216,0.3463578522205353,0.3145790100097656,0.3077499568462372,0.16874533891677856,0.16272737085819244
from,0.27839982509613037,0.2291477769613266,0.40150508284568787,0.23348960280418396,0.2162594348192215,0.14223074913024902,0.19969791173934937
the,0.3733934462070465,0.20148134231567383,1.0,0.49448907375335693,0.21922016143798828,0.26154741644859314,0.22068053483963013
church,0.19418756663799286,0.481964647769928,0.23846197128295898,0.11462637037038803,0.6119816899299622,0.4753705859184265,0.18081501126289368
of,0.2827862501144409,0.29011455178260803,0.733189046382904,0.3536086082458496,0.28458893299102783,0.2905072271823883,0.1826142966747284
england,0.23733465373516083,0.2737765610218048,0.28280043601989746,0.24895092844963074,0.3153398334980011,0.26184186339378357,0.13436897099018097
and,0.41279885172843933,0.2014295756816864,0.5171257257461548,0.3167642652988434,0.2376793771982193,0.221731036901474,0.20544172823429108
its,0.1326070874929428,0.14358142018318176,0.559237003326416,0.26377397775650024,0.1760474145412445,0.1823442131280899,0.15103481709957123
sacraments,0.2736223638057709,0.4197126030921936,0.275104284286499,0.17475788295269012,0.36542603373527527,0.4492841362953186,0.1550581455230713
.,0.3541337847709656,0.2363835573196411,0.5934505462646484,0.4345304071903229,0.30669423937797546,0.17912207543849945,0.4130953550338745
