,which,of,genghis,khan,'s,mentors,practiced,christianity,?
[,0.07771235704421997,0.010817250236868858,0.0316915363073349,0.051594801247119904,0.01083834283053875,0.07732261717319489,-0.0188595037907362,0.050658341497182846,0.011015460826456547
citation,0.26387810707092285,0.22959956526756287,0.10346881300210953,0.09528931975364685,-0.10153055191040039,0.16989153623580933,0.1258937269449234,0.18570078909397125,0.3382055461406708
needed,0.3787943422794342,0.27215874195098877,0.08210784941911697,0.1598358452320099,0.00025875959545373917,0.22469766438007355,0.19831691682338715,0.162064790725708,0.2863257825374603
],-0.0305959302932024,-0.035044461488723755,-0.05595427006483078,-0.09594590216875076,-0.10493394732475281,-0.02083684131503105,-0.07602206617593765,-0.029761450365185738,-0.0022520492784678936
sometime,0.33363091945648193,0.26471447944641113,0.3248741626739502,0.1982145607471466,-0.015166356228291988,0.2213674783706665,0.22777840495109558,0.2786523401737213,0.23972325026988983
before,0.3430410623550415,0.3282964527606964,0.21553796529769897,0.13899727165699005,-0.01158253662288189,0.24414099752902985,0.21841606497764587,0.22399049997329712,0.2507109045982361
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23574434220790863,0.20430389046669006,0.2489117980003357,0.22068053483963013
rise,0.2739121615886688,0.2733727991580963,0.24378611147403717,0.13642503321170807,-0.0661361962556839,0.20331527292728424,0.11185088008642197,0.291795551776886,0.10799103230237961
of,0.5011631846427917,1.0,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.2025098353624344,0.24753569066524506,0.2674740254878998,0.1826142966747284
genghis,0.26472097635269165,0.2938849925994873,1.0,0.5896923542022705,0.031423866748809814,0.1937330812215805,0.17771147191524506,0.2887902557849884,0.18813461065292358
khan,0.19211235642433167,0.17124508321285248,0.5896923542022705,1.0,0.05307086929678917,0.17634785175323486,0.09795112907886505,0.1356651782989502,0.12862591445446014
",",0.3658004403114319,0.4946078956127167,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.24997209012508392,0.24787157773971558,0.255263090133667,0.31091248989105225
ong,0.16957305371761322,0.16988731920719147,0.2865801155567169,0.31719687581062317,0.023745406419038773,0.2244039922952652,0.11511333286762238,0.035072047263383865,0.22735854983329773
khan,0.19211235642433167,0.17124508321285248,0.5896923542022705,1.0,0.05307086929678917,0.17634785175323486,0.09795112907886505,0.1356651782989502,0.12862591445446014
",",0.3658004403114319,0.4946078956127167,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.24997209012508392,0.24787157773971558,0.255263090133667,0.31091248989105225
his,0.32283493876457214,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.2809777557849884,0.2661834955215454,0.21842041611671448,0.18075084686279297
mentor,0.16646651923656464,0.16615957021713257,0.2258668690919876,0.23334963619709015,-0.060447968542575836,0.7720459699630737,0.15441522002220154,0.18025965988636017,0.2743162214756012
and,0.506277859210968,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.23499634861946106,0.27935341000556946,0.23834297060966492,0.20544172823429108
eventual,0.3090602457523346,0.3464183211326599,0.3032786548137665,0.19217248260974884,-0.016841648146510124,0.224382221698761,0.1411837935447693,0.23640836775302887,0.13254497945308685
rival,0.18776004016399384,0.16546274721622467,0.3003591001033783,0.11870367079973221,-0.0021357182413339615,0.11880114674568176,0.11724042147397995,0.12985201179981232,0.08066411316394806
",",0.3658004403114319,0.4946078956127167,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.24997209012508392,0.24787157773971558,0.255263090133667,0.31091248989105225
had,0.3188965916633606,0.37755560874938965,0.2616504430770874,0.1740240752696991,-0.004401352722197771,0.2434198409318924,0.3002917170524597,0.18156279623508453,0.20728366076946259
converted,0.2731289267539978,0.27010029554367065,0.19081281125545502,0.1271693855524063,-0.08571897447109222,0.10324446856975555,0.2655481994152069,0.3796142637729645,0.12743066251277924
to,0.5345056653022766,0.41548454761505127,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.3047204613685608,0.21371574699878693,0.28133612871170044,0.29463258385658264
nestorian,0.18482929468154907,0.23305381834506989,0.3644474148750305,0.2378171682357788,0.07443717122077942,0.14364920556545258,0.24094554781913757,0.36570852994918823,0.11854059249162674
christianity,0.1957550197839737,0.2674740254878998,0.2887902557849884,0.1356651782989502,0.0399271696805954,0.2037583440542221,0.39399105310440063,1.0,0.22408421337604523
.,0.45942068099975586,0.5352458953857422,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.22378969192504883,0.18644404411315918,0.25126564502716064,0.4130953550338745
