,what,area,has,become,attractive,for,restaurants,?
since,0.29783400893211365,0.19454237818717957,0.5216675996780396,0.3201519846916199,0.2147575169801712,0.36751601099967957,0.20817382633686066,0.2876587212085724
renewal,0.1813642829656601,0.23513314127922058,0.18459546566009521,0.2042963206768036,0.2146257609128952,0.21634124219417572,0.16387255489826202,0.10891313850879669
",",0.3087472915649414,0.2664283812046051,0.3734780251979828,0.29676204919815063,0.18948246538639069,0.4464869201183319,0.24897582828998566,0.31091248989105225
the,0.42745697498321533,0.37834644317626953,0.4177538752555847,0.31731709837913513,0.18968547880649567,0.4739971458911896,0.2341458648443222,0.22068053483963013
tower,0.12919922173023224,0.16046398878097534,0.1532871127128601,0.1294575333595276,0.20637938380241394,0.13139645755290985,0.19098246097564697,0.10395228117704391
district,0.13126243650913239,0.3625546097755432,0.1956915259361267,0.11971091479063034,0.15586814284324646,0.16689854860305786,0.20935887098312378,0.06725285202264786
has,0.20338068902492523,0.3084876537322998,1.0,0.30010637640953064,0.330014705657959,0.450642853975296,0.2535354197025299,0.15994466841220856
become,0.27134042978286743,0.2214435636997223,0.30010637640953064,1.0,0.3342687785625458,0.3047906458377838,0.14437487721443176,0.19511328637599945
an,0.2821882665157318,0.23076042532920837,0.2991473078727722,0.24844235181808472,0.17928554117679596,0.3236706852912903,0.1378265768289566,0.19793890416622162
attractive,0.1607188582420349,0.2059778869152069,0.330014705657959,0.3342687785625458,1.0000001192092896,0.2540658116340637,0.289455771446228,0.059703927487134933
area,0.21965408325195312,1.0,0.3084876537322998,0.2214435636997223,0.2059778869152069,0.20941852033138275,0.274080365896225,0.12640461325645447
for,0.3017193675041199,0.20941852033138275,0.450642853975296,0.3047906458377838,0.2540658116340637,0.9999999403953552,0.24492546916007996,0.264628142118454
restaurant,0.1776580959558487,0.2575956881046295,0.21543549001216888,0.15936848521232605,0.2345934361219406,0.1794714331626892,0.9082272052764893,0.1934901773929596
and,0.31309178471565247,0.3044000566005707,0.43716782331466675,0.3416603207588196,0.27310436964035034,0.5064792633056641,0.2894144654273987,0.20544172823429108
other,0.341873437166214,0.21664315462112427,0.3162766396999359,0.2553490996360779,0.2673025131225586,0.3273986279964447,0.2607972323894501,0.24682199954986572
local,0.18981902301311493,0.2931937277317047,0.11479144543409348,0.10967731475830078,0.10153497010469437,0.23619583249092102,0.2537073493003845,0.15022775530815125
businesses,0.23735997080802917,0.30594414472579956,0.22574026882648468,0.28183966875076294,0.29783013463020325,0.2795834541320801,0.490339994430542,0.15998470783233643
.,0.3567904531955719,0.2760866582393646,0.4105546176433563,0.32859939336776733,0.16486114263534546,0.4726039469242096,0.24843142926692963,0.4130953550338745
