,early,in,the,fourth,quarter,",",the,broncos,drove,to,what,yard,line,of,the,panthers,?
there,0.1979278177022934,0.5361666083335876,0.47025805711746216,0.1749250888824463,0.2329798936843872,0.4587128460407257,0.47025805711746216,0.17742063105106354,0.13008952140808105,0.40669289231300354,0.35085538029670715,0.1337631344795227,0.22727543115615845,0.44397735595703125,0.47025805711746216,0.1328703910112381,0.29405656456947327
would,0.23657828569412231,0.30461156368255615,0.4133751392364502,0.21775351464748383,0.16835814714431763,0.32586824893951416,0.4133751392364502,0.23224321007728577,0.3301682472229004,0.5965728163719177,0.45766422152519226,0.18022187054157257,0.24663715064525604,0.3353942930698395,0.4133751392364502,0.19581878185272217,0.37178951501846313
be,0.2155047357082367,0.3481820821762085,0.4248143136501312,0.1782669574022293,0.1599065363407135,0.39254459738731384,0.4248143136501312,0.13547037541866302,0.14956411719322205,0.4972836375236511,0.3929833769798279,0.18964342772960663,0.21854959428310394,0.33904364705085754,0.4248143136501312,0.14882880449295044,0.3324260413646698
no,0.1627872735261917,0.24372287094593048,0.3461136817932129,0.1847865879535675,0.16502118110656738,0.29972612857818604,0.3461136817932129,0.16105002164840698,0.10676608234643936,0.30015695095062256,0.339326947927475,0.17007698118686676,0.16298344731330872,0.24809792637825012,0.3461136817932129,0.11255603283643723,0.32165053486824036
more,0.2593020796775818,0.32563260197639465,0.39758381247520447,0.14414358139038086,0.2472412884235382,0.3696524500846863,0.39758381247520447,0.20355810225009918,0.12559568881988525,0.47084665298461914,0.3484537899494171,0.11722415685653687,0.2049751877784729,0.30478984117507935,0.39758381247520447,0.16985972225666046,0.27894994616508484
scoring,0.19477812945842743,0.19487565755844116,0.2582377791404724,0.1943872720003128,0.23110553622245789,0.23282180726528168,0.2582377791404724,0.3381083905696869,0.20300424098968506,0.2221129685640335,0.18682323396205902,0.23048050701618195,0.17101991176605225,0.2550256550312042,0.2582377791404724,0.3409317433834076,0.0971682071685791
in,0.34672921895980835,1.0,0.6662389636039734,0.29149749875068665,0.2899305522441864,0.5201468467712402,0.6662389636039734,0.20316283404827118,0.2219095677137375,0.45010748505592346,0.30808621644973755,0.16734865307807922,0.2258777767419815,0.5696388483047485,0.6662389636039734,0.2115829735994339,0.20430970191955566
the,0.34442198276519775,0.6662389636039734,1.0,0.40804702043533325,0.3659466803073883,0.4933079481124878,1.0,0.25985947251319885,0.24859486520290375,0.535392165184021,0.42745697498321533,0.22634266316890717,0.29789501428604126,0.733189046382904,1.0,0.2602776288986206,0.22068053483963013
third,0.21419157087802887,0.3309578001499176,0.4229298532009125,0.803348183631897,0.2865470349788666,0.283071368932724,0.4229298532009125,0.20801672339439392,0.2126089334487915,0.2795414924621582,0.2033906877040863,0.11669716984033585,0.1496075540781021,0.30602210760116577,0.4229298532009125,0.2389294058084488,0.15394791960716248
quarter,0.1891319453716278,0.2899305522441864,0.3659466803073883,0.3184647858142853,1.0,0.2742914855480194,0.3659466803073883,0.2604113221168518,0.18761226534843445,0.21890336275100708,0.15786661207675934,0.2701713442802429,0.1788603961467743,0.30494412779808044,0.3659466803073883,0.19848515093326569,0.1356993168592453
",",0.3022546172142029,0.5201468467712402,0.4933079481124878,0.271299809217453,0.2742914855480194,1.0000001192092896,0.4933079481124878,0.2558487057685852,0.2306155562400818,0.44245919585227966,0.3087472915649414,0.10565341264009476,0.22637072205543518,0.4946078956127167,0.4933079481124878,0.2494642585515976,0.31091248989105225
but,0.24602587521076202,0.48674455285072327,0.4859698414802551,0.24929969012737274,0.2408709079027176,0.48126736283302307,0.4859698414802551,0.15171389281749725,0.20715777575969696,0.5542377829551697,0.5029441118240356,0.17904846370220184,0.241663858294487,0.39942997694015503,0.4859698414802551,0.19083257019519806,0.27921953797340393
early,1.0000001192092896,0.34672921895980835,0.34442198276519775,0.20009157061576843,0.1891319453716278,0.3022546172142029,0.34442198276519775,0.14597903192043304,0.20868438482284546,0.24557004868984222,0.2454567849636078,0.13506382703781128,0.13019341230392456,0.30937549471855164,0.34442198276519775,0.16689430177211761,0.15272949635982513
