,what,can,keep,an,object,from,moving,when,it,is,being,pushed,on,a,surface,?
pushing,0.37966427206993103,0.2682626247406006,0.3106487989425659,0.21437960863113403,0.29599729180336,0.1937199980020523,0.5177313685417175,0.3413582146167755,0.2773929238319397,0.20972096920013428,0.3496279716491699,0.6733310222625732,0.2639009952545166,0.30144527554512024,0.2553166449069977,0.2176675945520401
against,0.24561616778373718,0.14655618369579315,0.19255170226097107,0.17087337374687195,0.1744299829006195,0.2447778731584549,0.17885994911193848,0.32684949040412903,0.19986185431480408,0.1754940152168274,0.2224539965391159,0.26335516571998596,0.3163113296031952,0.2227657586336136,0.128299281001091,0.18095137178897858
an,0.2821882665157318,0.23671309649944305,0.16314184665679932,1.0,0.2576858103275299,0.20876385271549225,0.18318255245685577,0.33026179671287537,0.39472338557243347,0.4654068350791931,0.2743402123451233,0.18528077006340027,0.3192969560623169,0.44552403688430786,0.18808452785015106,0.19793890416622162
object,0.25733083486557007,0.39869454503059387,0.19712848961353302,0.2576858103275299,1.0,0.18346236646175385,0.3345576226711273,0.25062185525894165,0.27674704790115356,0.30146875977516174,0.2802119553089142,0.2241494357585907,0.18476571142673492,0.3271922171115875,0.41279926896095276,0.19573666155338287
on,0.34226128458976746,0.2772369682788849,0.2222399115562439,0.3192969560623169,0.18476571142673492,0.36926645040512085,0.2886088788509369,0.37706470489501953,0.4529881477355957,0.3635730445384979,0.3119087219238281,0.27115049958229065,0.9999999403953552,0.3848365545272827,0.2674844264984131,0.2714994251728058
a,0.3320399522781372,0.3915780484676361,0.24626319110393524,0.44552403688430786,0.3271922171115875,0.322764128446579,0.2806239426136017,0.44397395849227905,0.5452592968940735,0.658733606338501,0.3727131485939026,0.26800408959388733,0.3848365545272827,1.0,0.24436084926128387,0.23916715383529663
frictional,0.23706041276454926,0.37919169664382935,0.26507923007011414,0.19518068432807922,0.4073418080806732,0.25461629033088684,0.3733159899711609,0.30194684863090515,0.22488738596439362,0.26840656995773315,0.28301143646240234,0.30986660718917847,0.2137138545513153,0.2948630750179291,0.4271140694618225,0.16436375677585602
surface,0.23580394685268402,0.3465462028980255,0.18994177877902985,0.18808452785015106,0.41279926896095276,0.15501615405082703,0.3340030014514923,0.24400591850280762,0.2949981689453125,0.29345643520355225,0.19285012781620026,0.23481805622577667,0.2674844264984131,0.24436084926128387,0.9999998807907104,0.14613434672355652
can,0.34502777457237244,1.0,0.3132683038711548,0.23671309649944305,0.39869454503059387,0.2516351342201233,0.28819364309310913,0.39191514253616333,0.3819273114204407,0.44256699085235596,0.433290958404541,0.17671017348766327,0.2772369682788849,0.3915780484676361,0.3465462028980255,0.3226337134838104
result,0.19945499300956726,0.2741678059101105,0.2718108892440796,0.20189309120178223,0.2828367352485657,0.2199978530406952,0.19762802124023438,0.32054403424263,0.21765680611133575,0.19420543313026428,0.24314650893211365,0.1631193310022354,0.22479186952114105,0.2767398953437805,0.2182149589061737,0.17218433320522308
in,0.30808621644973755,0.26527702808380127,0.2550279498100281,0.2605783939361572,0.18661287426948547,0.4274188280105591,0.2693832814693451,0.4431333839893341,0.5130809545516968,0.5394441485404968,0.33162933588027954,0.16919030249118805,0.46853652596473694,0.539380669593811,0.20246390998363495,0.20430970191955566
a,0.3320399522781372,0.3915780484676361,0.24626319110393524,0.44552403688430786,0.3271922171115875,0.322764128446579,0.2806239426136017,0.44397395849227905,0.5452592968940735,0.658733606338501,0.3727131485939026,0.26800408959388733,0.3848365545272827,1.0,0.24436084926128387,0.23916715383529663
situation,0.4481324255466461,0.34037888050079346,0.2705748379230499,0.291826069355011,0.25904032588005066,0.17050987482070923,0.2402976155281067,0.35674718022346497,0.33691641688346863,0.2855897843837738,0.37361055612564087,0.2250918596982956,0.26678118109703064,0.2909733057022095,0.1820867657661438,0.2714049518108368
where,0.4457937180995941,0.3773181736469269,0.20455652475357056,0.24824833869934082,0.2532142102718353,0.3713873624801636,0.37392809987068176,0.5747735500335693,0.36972272396087646,0.3586711287498474,0.34980592131614685,0.2723988890647888,0.37630224227905273,0.40997210144996643,0.2541312277317047,0.24793872237205505
the,0.42745697498321533,0.312528520822525,0.22379513084888458,0.4207492768764496,0.22418850660324097,0.40150508284568787,0.34510132670402527,0.5091903209686279,0.6251175999641418,0.5823672413825989,0.419739305973053,0.3394152522087097,0.5107308030128479,0.5829201340675354,0.2555135488510132,0.22068053483963013
object,0.25733083486557007,0.39869454503059387,0.19712848961353302,0.2576858103275299,1.0,0.18346236646175385,0.3345576226711273,0.25062185525894165,0.27674704790115356,0.30146875977516174,0.2802119553089142,0.2241494357585907,0.18476571142673492,0.3271922171115875,0.41279926896095276,0.19573666155338287
does,0.38564667105674744,0.5156301856040955,0.2720739543437958,0.29477936029434204,0.23909734189510345,0.1777622550725937,0.20411838591098785,0.3380102217197418,0.34188351035118103,0.4403602182865143,0.25347548723220825,0.20050367712974548,0.2568802833557129,0.38201746344566345,0.22910720109939575,0.338003009557724
not,0.5449194312095642,0.49270012974739075,0.4098449647426605,0.3722182512283325,0.25356924533843994,0.2567668557167053,0.2471754252910614,0.4799930453300476,0.4651523232460022,0.3776007890701294,0.4366016089916229,0.21107007563114166,0.3516409695148468,0.3791346549987793,0.21693648397922516,0.41942933201789856
move,0.30861297249794006,0.3160126507282257,0.33514726161956787,0.146748349070549,0.27083760499954224,0.23929353058338165,0.6639419794082642,0.3272045850753784,0.26024189591407776,0.2520518898963928,0.25123608112335205,0.4059552252292633,0.2874688506126404,0.2925316393375397,0.27657026052474976,0.24440962076187134
because,0.46729007363319397,0.4189445674419403,0.32637688517570496,0.3022964894771576,0.3036639988422394,0.35139670968055725,0.311104953289032,0.6114379167556763,0.4849289059638977,0.4047735333442688,0.5229522585868835,0.2949574291706085,0.33021900057792664,0.42230045795440674,0.2516581118106842,0.2528740465641022
the,0.42745697498321533,0.312528520822525,0.22379513084888458,0.4207492768764496,0.22418850660324097,0.40150508284568787,0.34510132670402527,0.5091903209686279,0.6251175999641418,0.5823672413825989,0.419739305973053,0.3394152522087097,0.5107308030128479,0.5829201340675354,0.2555135488510132,0.22068053483963013
applied,0.1944669634103775,0.24775297939777374,0.13824155926704407,0.22066234052181244,0.33323290944099426,0.24689990282058716,0.2657530605792999,0.2881869077682495,0.18427211046218872,0.21050988137722015,0.2535747289657593,0.21296431124210358,0.20456093549728394,0.24149316549301147,0.2864915132522583,0.15585725009441376
force,0.16915984451770782,0.18594154715538025,0.18481376767158508,0.21655116975307465,0.32587239146232605,0.14128944277763367,0.2562520503997803,0.24609562754631042,0.22565218806266785,0.22036980092525482,0.16882982850074768,0.33415547013282776,0.1764998733997345,0.2451154738664627,0.25219762325286865,0.1650998443365097
