,where,are,some,of,the,best,medical,facilities,in,east-central,europe,located,?
today,0.27820688486099243,0.39445018768310547,0.4624233841896057,0.3291318118572235,0.35740926861763,0.22538895905017853,0.22907495498657227,0.20215177536010742,0.3300545811653137,0.1877293884754181,0.2837827503681183,0.19192399084568024,0.17338968813419342
",",0.3149496018886566,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.3461092710494995,0.2597777843475342,0.21444764733314514,0.5201468467712402,0.3361768424510956,0.2542513906955719,0.2678719460964203,0.31091248989105225
warsaw,0.1062634214758873,0.12567314505577087,0.1486753523349762,0.19253842532634735,0.23137180507183075,0.06704753637313843,0.13723812997341156,0.21638022363185883,0.22642600536346436,0.2955106198787689,0.2790890336036682,0.15582799911499023,0.09769917279481888
has,0.32190436124801636,0.4313911199569702,0.3587830364704132,0.3909035325050354,0.4177538752555847,0.23016110062599182,0.1678176373243332,0.244117870926857,0.4173259735107422,0.19924786686897278,0.23662522435188293,0.2580956220626831,0.15994466841220856
some,0.39480453729629517,0.6331475377082825,0.9999999403953552,0.4300730526447296,0.4566698372364044,0.25238290429115295,0.30273014307022095,0.294486939907074,0.4010399878025055,0.30286717414855957,0.33116665482521057,0.1509244740009308,0.2562315762042999
of,0.38066378235816956,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.23660683631896973,0.2826511859893799,0.17473776638507843,0.5696388483047485,0.36800509691238403,0.29299741983413696,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.3134109377861023,0.2398311346769333,0.19172798097133636,0.6662389636039734,0.3728971481323242,0.34463706612586975,0.407527357339859,0.22068053483963013
best,0.21861901879310608,0.20069833099842072,0.25238290429115295,0.23660683631896973,0.3134109377861023,0.9999999403953552,0.18760335445404053,0.11384952813386917,0.2813531160354614,0.1388070285320282,0.17971545457839966,0.08481177687644958,0.2799045741558075
medical,0.26931947469711304,0.21335911750793457,0.30273014307022095,0.2826511859893799,0.2398311346769333,0.18760335445404053,1.0,0.32965657114982605,0.25996583700180054,0.1874372810125351,0.09360122680664062,0.13738571107387543,0.13234087824821472
facilities,0.24498702585697174,0.23256969451904297,0.294486939907074,0.17473776638507843,0.19172798097133636,0.11384952813386917,0.32965657114982605,1.0,0.2149869203567505,0.24461549520492554,0.19109825789928436,0.3665260970592499,0.10624271631240845
in,0.5344807505607605,0.3841303884983063,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.2813531160354614,0.25996583700180054,0.2149869203567505,1.0,0.3491222858428955,0.33061710000038147,0.35149815678596497,0.20430970191955566
poland,0.1504354476928711,0.11459933966398239,0.17332665622234344,0.26632049679756165,0.24871079623699188,0.04501211270689964,0.10565762966871262,0.1626918464899063,0.2887791395187378,0.242882639169693,0.40554195642471313,0.1364717036485672,0.14259830117225647
and,0.43859338760375977,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.30328524112701416,0.26274144649505615,0.31028881669044495,0.4954058527946472,0.3283553719520569,0.3463572859764099,0.24183952808380127,0.20544172823429108
east-central,0.32215431332588196,0.2666720151901245,0.30286717414855957,0.36800509691238403,0.3728971481323242,0.1388070285320282,0.1874372810125351,0.24461549520492554,0.3491222858428955,1.0000001192092896,0.35031458735466003,0.36392995715141296,0.20919859409332275
europe,0.2320680469274521,0.22028589248657227,0.33116665482521057,0.29299741983413696,0.34463706612586975,0.17971545457839966,0.09360122680664062,0.19109825789928436,0.33061710000038147,0.35031458735466003,1.0000001192092896,0.107456274330616,0.18278923630714417
.,0.41390106081962585,0.3452940285205841,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.31068575382232666,0.21294285356998444,0.1710062026977539,0.5591574311256409,0.36704322695732117,0.31984585523605347,0.28226932883262634,0.4130953550338745
