,where,did,tesla,look,for,investors,prior,to,wwi,?
before,0.37386465072631836,0.33642593026161194,0.14506052434444427,0.21089549362659454,0.44347289204597473,0.20603880286216736,0.5305277109146118,0.4190867841243744,0.20367330312728882,0.2507109045982361
world,0.29259413480758667,0.1944720596075058,0.15619845688343048,0.21544717252254486,0.2444595992565155,0.18593649566173553,0.15041738748550415,0.26213452219963074,0.3664865791797638,0.17579582333564758
war,0.2167234867811203,0.27422013878822327,0.15806899964809418,0.16953492164611816,0.22632956504821777,0.19303759932518005,0.1771697849035263,0.2610234022140503,0.5242187976837158,0.15510529279708862
i,0.2720983922481537,0.32301032543182373,0.21594347059726715,0.3239813446998596,0.257647842168808,0.18114294111728668,0.26516324281692505,0.3140375316143036,0.22737157344818115,0.4695145785808563
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.3016788363456726,0.4464869201183319,0.18544213473796844,0.27105793356895447,0.44245919585227966,0.20485344529151917,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.1572265326976776,0.13983871042728424,0.2574658691883087,0.10144809633493423,0.17548894882202148,0.21803537011146545,0.10250775516033173
sought,0.19530121982097626,0.3768143653869629,0.12941572070121765,0.1937033087015152,0.28106895089149475,0.2923195958137512,0.3269502818584442,0.3909280598163605,0.23475588858127594,0.1753331869840622
overseas,0.23866038024425507,0.151937335729599,0.09331068396568298,0.02084392122924328,0.23743964731693268,0.32823804020881653,0.2065059244632721,0.2630749046802521,0.263828307390213,0.15502241253852844
investors,0.1883743852376938,0.24035191535949707,0.2574658691883087,0.18131229281425476,0.22534778714179993,1.0,0.14777690172195435,0.26048287749290466,0.0923776850104332,0.1848095804452896
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.3426704406738281,0.4726039469242096,0.18991748988628387,0.2402365803718567,0.4645031690597534,0.21302002668380737,0.4130953550338745
