,if,you,were,to,take,a,train,west,or,south,out,of,the,city,of,fresno,",",which,railroad,would,you,take,?
the,0.33724796772003174,0.30037742853164673,0.3906462490558624,0.535392165184021,0.31620436906814575,0.5829201340675354,0.22828160226345062,0.32918402552604675,0.4174870550632477,0.3129390776157379,0.39404502511024475,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,0.4933079481124878,0.6521818041801453,0.2709158957004547,0.4133751392364502,0.30037742853164673,0.31620436906814575,0.22068053483963013
bakersfield-stockton,0.16208380460739136,0.1940115988254547,0.20774640142917633,0.2200251668691635,0.13936838507652283,0.2633970081806183,0.30509859323501587,0.4170018136501312,0.14049935340881348,0.3606380820274353,0.17199988663196564,0.24669919908046722,0.26192155480384827,0.41908812522888184,0.24669919908046722,0.5393404364585876,0.34895601868629456,0.16726559400558472,0.3843924403190613,0.1348486840724945,0.1940115988254547,0.13936838507652283,0.16589277982711792
mainlines,0.20948980748653412,0.24170520901679993,0.2993393838405609,0.27447494864463806,0.13505502045154572,0.25355011224746704,0.41130128502845764,0.3069022297859192,0.28239676356315613,0.338857501745224,0.16601963341236115,0.2715834379196167,0.33744460344314575,0.2723580002784729,0.2715834379196167,0.20186316967010498,0.2883206307888031,0.32496872544288635,0.39461010694503784,0.23293569684028625,0.24170520901679993,0.13505502045154572,0.2190159559249878
of,0.2557544410228729,0.1774725764989853,0.34038281440734863,0.41548454761505127,0.29282352328300476,0.5052502155303955,0.16048036515712738,0.2891985774040222,0.3792596757411957,0.33382371068000793,0.34176841378211975,1.0,0.733189046382904,0.32503411173820496,1.0,0.1875009983778,0.4946078956127167,0.5011631846427917,0.1954421103000641,0.3353942930698395,0.1774725764989853,0.29282352328300476,0.1826142966747284
the,0.33724796772003174,0.30037742853164673,0.3906462490558624,0.535392165184021,0.31620436906814575,0.5829201340675354,0.22828160226345062,0.32918402552604675,0.4174870550632477,0.3129390776157379,0.39404502511024475,0.733189046382904,1.0,0.35769423842430115,0.733189046382904,0.22571885585784912,0.4933079481124878,0.6521818041801453,0.2709158957004547,0.4133751392364502,0.30037742853164673,0.31620436906814575,0.22068053483963013
burlington,0.2002037614583969,0.17129634320735931,0.16954173147678375,0.22943665087223053,0.14460718631744385,0.28104352951049805,0.20462961494922638,0.18978415429592133,0.1803632527589798,0.2325056940317154,0.15379787981510162,0.257771372795105,0.23052188754081726,0.3491668403148651,0.257771372795105,0.43823158740997314,0.3057388961315155,0.2094026505947113,0.27520596981048584,0.19612717628479004,0.17129634320735931,0.14460718631744385,0.18967792391777039
northern,0.16782183945178986,0.07454604655504227,0.17930571734905243,0.1886475831270218,0.14771735668182373,0.22329643368721008,0.19335947930812836,0.43300768733024597,0.243281289935112,0.5065632462501526,0.17355585098266602,0.32586339116096497,0.3422943353652954,0.3556877672672272,0.32586339116096497,0.18696045875549316,0.29473260045051575,0.2470913678407669,0.23066915571689606,0.2108919769525528,0.07454604655504227,0.14771735668182373,0.13149388134479523
santa,0.11462066322565079,0.1398095190525055,0.1250525861978531,0.17084521055221558,0.14487585425376892,0.1996532380580902,0.10593952238559723,0.23194633424282074,0.16568709909915924,0.1852157711982727,0.16779625415802002,0.2417823076248169,0.23511074483394623,0.3028823137283325,0.2417823076248169,0.42344537377357483,0.25609585642814636,0.21508361399173737,0.20218431949615479,0.13102735579013824,0.1398095190525055,0.14487585425376892,0.17321589589118958
fe,0.10744538903236389,0.1327553689479828,0.13394483923912048,0.16505961120128632,0.1021953672170639,0.1520220935344696,0.11005822569131851,0.16949571669101715,0.15859204530715942,0.19192849099636078,0.1153809055685997,0.19759707152843475,0.17900191247463226,0.2880019545555115,0.19759707152843475,0.3314886689186096,0.2326882779598236,0.2139643430709839,0.2470867782831192,0.14010164141654968,0.1327553689479828,0.1021953672170639,0.16597414016723633
railway,0.1358461230993271,0.15944652259349823,0.20108430087566376,0.20460735261440277,0.11625120043754578,0.23760579526424408,0.5728828310966492,0.2254202514886856,0.15382598340511322,0.2943040728569031,0.10171785205602646,0.21322962641716003,0.2692219316959381,0.29855862259864807,0.21322962641716003,0.16840851306915283,0.21531596779823303,0.21429972350597382,0.6148050427436829,0.17335015535354614,0.15944652259349823,0.11625120043754578,0.07994066178798676
and,0.3498523235321045,0.34939926862716675,0.42175528407096863,0.48971283435821533,0.296702116727829,0.3739250600337982,0.24473558366298676,0.273951917886734,0.4713204801082611,0.3140619993209839,0.3881998062133789,0.5116966962814331,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.21513071656227112,0.6633074283599854,0.506277859210968,0.20893311500549316,0.34921059012413025,0.34939926862716675,0.296702116727829,0.20544172823429108
union,0.17719733715057373,0.1188158169388771,0.20750673115253448,0.16926777362823486,0.15059058368206024,0.18140026926994324,0.19287432730197906,0.2554921507835388,0.21298456192016602,0.2699996829032898,0.1148899644613266,0.2642118036746979,0.24421639740467072,0.23116759955883026,0.2642118036746979,0.20779570937156677,0.2362271547317505,0.23846890032291412,0.29340288043022156,0.20855587720870972,0.1188158169388771,0.15059058368206024,0.07797172665596008
