,what,was,invented,in,1880,that,revolutionized,warfare,?
by,0.2455483376979828,0.4752357602119446,0.24488699436187744,0.370934396982193,-0.09491942077875137,0.37496164441108704,0.2852513790130615,0.1912270039319992,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.16009420156478882,0.6662389636039734,0.0793314129114151,0.5473989248275757,0.2357756495475769,0.257932186126709,0.22068053483963013
1880s,0.08784106373786926,0.2630068063735962,0.08391159027814865,0.18552936613559723,0.3540010154247284,0.0693417489528656,0.023599494248628616,-0.00779843982309103,0.07475119829177856
",",0.3087472915649414,0.45456063747406006,0.21420055627822876,0.5201468467712402,0.028594277799129486,0.4137537479400635,0.25705498456954956,0.20575781166553497,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.16009420156478882,0.6662389636039734,0.0793314129114151,0.5473989248275757,0.2357756495475769,0.257932186126709,0.22068053483963013
machine,0.23075932264328003,0.1741330921649933,0.3760136365890503,0.16716814041137695,0.01980128325521946,0.2756650745868683,0.22423459589481354,0.21222519874572754,0.17587624490261078
gun,0.17682324349880219,0.20378431677818298,0.16151872277259827,0.20541951060295105,0.038100019097328186,0.1949467808008194,0.1518779993057251,0.2452198565006256,0.17821116745471954
had,0.23849567770957947,0.5927209258079529,0.28781211376190186,0.385026752948761,-0.009053895249962807,0.4407361149787903,0.22346711158752441,0.2451220601797104,0.20728366076946259
become,0.27134042978286743,0.3147440552711487,0.1562625616788864,0.23238378763198853,0.06967806071043015,0.33698222041130066,0.13076505064964294,0.11069226264953613,0.19511328637599945
an,0.2821882665157318,0.3694365322589874,0.16599276661872864,0.2605783939361572,0.03875935450196266,0.365763783454895,0.17954042553901672,0.22131484746932983,0.19793890416622162
effective,0.23494793474674225,0.20736300945281982,0.2103816121816635,0.2294299155473709,0.02444084919989109,0.3091796338558197,0.191788449883461,0.32717064023017883,0.21825028955936432
battlefield,0.22441168129444122,0.22983722388744354,0.1484898030757904,0.20716306567192078,0.05418204888701439,0.21083182096481323,0.20034927129745483,0.3744475841522217,0.19962558150291443
weapon,0.2293834388256073,0.21395646035671234,0.22345766425132751,0.15527591109275818,-0.0111240791156888,0.2704586088657379,0.2764325737953186,0.4538140594959259,0.1571889966726303
.,0.3567904531955719,0.40146201848983765,0.2224365919828415,0.5591574311256409,0.06927823275327682,0.4460422694683075,0.2760177254676819,0.22986048460006714,0.4130953550338745
