,what,is,the,term,that,describes,the,difference,between,what,higher,paid,and,lower,paid,professionals,earn,?
thus,0.30745524168014526,0.244685098528862,0.4036877751350403,0.275647908449173,0.4318928122520447,0.24058221280574799,0.4036877751350403,0.29565027356147766,0.2783483564853668,0.30745524168014526,0.3775605261325836,0.10662910342216492,0.3723181188106537,0.2793736457824707,0.10662910342216492,0.14391560852527618,0.2176419347524643,0.18769288063049316
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4137537479400635,0.18127357959747314,0.4933079481124878,0.28046315908432007,0.27714940905570984,0.3087472915649414,0.251458078622818,0.18092423677444458,0.6633074283599854,0.236776202917099,0.18092423677444458,0.27354833483695984,0.2286224514245987,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.435920387506485,0.31060853600502014,0.6662389636039734,0.2025471031665802,0.41100412607192993,0.30808621644973755,0.23285751044750214,0.1910562664270401,0.4954058527946472,0.27455443143844604,0.1910562664270401,0.20752385258674622,0.22422656416893005,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.47537946701049805,0.3405686020851135,0.5829201340675354,0.3304765522480011,0.29385313391685486,0.3320399522781372,0.2608921229839325,0.19037166237831116,0.3739250600337982,0.2221667766571045,0.19037166237831116,0.21404023468494415,0.26034015417099,0.23916715383529663
market,0.12116116285324097,0.2463478147983551,0.2041238248348236,0.1519830822944641,0.21578849852085114,0.17652617394924164,0.2041238248348236,0.20072056353092194,0.16633649170398712,0.12116116285324097,0.1741252839565277,0.22171442210674286,0.23057621717453003,0.1351011097431183,0.22171442210674286,0.11670265346765518,0.27582013607025146,0.12805593013763428
economy,0.21764783561229706,0.2698528468608856,0.24644890427589417,0.19749541580677032,0.24719975888729095,0.23147466778755188,0.24644890427589417,0.16914595663547516,0.17449726164340973,0.21764783561229706,0.22634461522102356,0.23647631704807281,0.26484790444374084,0.19457294046878815,0.23647631704807281,0.22498592734336853,0.23282131552696228,0.11486924439668655
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4137537479400635,0.18127357959747314,0.4933079481124878,0.28046315908432007,0.27714940905570984,0.3087472915649414,0.251458078622818,0.18092423677444458,0.6633074283599854,0.236776202917099,0.18092423677444458,0.27354833483695984,0.2286224514245987,0.31091248989105225
inequality,0.30072227120399475,0.1953488290309906,0.23508106172084808,0.22437766194343567,0.3467824459075928,0.33952146768569946,0.23508106172084808,0.4600308835506439,0.29772037267684937,0.30072227120399475,0.3147837817668915,0.1938302218914032,0.2590520679950714,0.260497123003006,0.1938302218914032,0.2664664685726166,0.26178425550460815,0.23619021475315094
is,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.3995479643344879,0.33745625615119934,0.5823672413825989,0.32414332032203674,0.26809602975845337,0.28837618231773376,0.24683357775211334,0.11761607974767685,0.3859752118587494,0.20806168019771576,0.11761607974767685,0.18974612653255463,0.1424780637025833,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.47537946701049805,0.3405686020851135,0.5829201340675354,0.3304765522480011,0.29385313391685486,0.3320399522781372,0.2608921229839325,0.19037166237831116,0.3739250600337982,0.2221667766571045,0.19037166237831116,0.21404023468494415,0.26034015417099,0.23916715383529663
