,what,does,fota,stand,for,?
since,0.29783400893211365,0.23816218972206116,0.17921636998653412,0.11376185715198517,0.36751601099967957,0.2876587212085724
1963,-0.01284969411790371,0.08347675949335098,0.023501353338360786,0.10508283972740173,-0.02221491001546383,0.03411978855729103
",",0.3087472915649414,0.28617382049560547,0.21607458591461182,0.27589988708496094,0.4464869201183319,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,0.24925866723060608,0.2531624138355255,0.4739971458911896,0.22068053483963013
festival,0.15385980904102325,0.1333700269460678,0.17533323168754578,0.11608292162418365,0.2104043960571289,0.17767390608787537
of,0.33290785551071167,0.3119818866252899,0.20655924081802368,0.2038130760192871,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.24925866723060608,0.2531624138355255,0.4739971458911896,0.22068053483963013
arts,0.15975245833396912,0.16626307368278503,0.13281430304050446,0.07180310785770416,0.26531484723091125,0.09471383690834045
(,0.2411840260028839,0.2728188931941986,0.20484691858291626,0.15827840566635132,0.3357032239437103,0.40561532974243164
fota,0.1312638372182846,0.15972718596458435,0.9999998807907104,0.1552826464176178,0.2007657140493393,0.10560554265975952
),0.26259949803352356,0.2575884759426117,0.21251338720321655,0.14393578469753265,0.3639558255672455,0.42300865054130554
takes,0.15264007449150085,0.38490039110183716,0.1266859620809555,0.19821996986865997,0.2826521694660187,0.10935472697019577
over,0.28007611632347107,0.24276040494441986,0.20337271690368652,0.20676302909851074,0.3419422209262848,0.25742942094802856
campus,0.13670016825199127,0.10558773577213287,0.17465810477733612,0.1609899252653122,0.1849018931388855,0.06952692568302155
for,0.3017193675041199,0.35159170627593994,0.2007657140493393,0.29936376214027405,0.9999999403953552,0.264628142118454
7–10,-0.03684145212173462,0.02018536627292633,0.05536038801074028,0.008396651595830917,0.06797723472118378,-0.09035629779100418
days,0.2191895991563797,0.19069090485572815,0.10047033429145813,0.11323387920856476,0.2734130620956421,0.2198754847049713
of,0.33290785551071167,0.3119818866252899,0.20655924081802368,0.2038130760192871,0.4185989499092102,0.1826142966747284
exhibitions,0.17367495596408844,0.19352084398269653,0.13862764835357666,0.11976145207881927,0.2862796187400818,0.1462271511554718
and,0.31309178471565247,0.3461615741252899,0.16185663640499115,0.268960565328598,0.5064792633056641,0.20544172823429108
interactive,0.2204633206129074,0.1557062417268753,0.17885656654834747,0.14895014464855194,0.24416451156139374,0.15266580879688263
artistic,0.20212875306606293,0.2406478226184845,0.1651897430419922,0.15124718844890594,0.32113608717918396,0.0986262783408165
endeavors,0.27659496665000916,0.19476047158241272,0.12645263969898224,0.13491353392601013,0.26570701599121094,0.205457866191864
.,0.3567904531955719,0.3022993505001068,0.1480047106742859,0.2296130359172821,0.4726039469242096,0.4130953550338745
