,where,has,the,official,home,of,the,scottish,parliament,been,since,2004,?
since,0.26308515667915344,0.5216675996780396,0.4054957628250122,0.2659253180027008,0.2818499207496643,0.35513219237327576,0.4054957628250122,0.12332939356565475,0.2727477550506592,0.6581953763961792,1.0000001192092896,-0.16709135472774506,0.2876587212085724
september,0.1636122465133667,0.17974014580249786,0.2516939043998718,0.18038736283779144,0.1461176574230194,0.16787530481815338,0.2516939043998718,0.18961767852306366,0.22861124575138092,0.20358696579933167,0.2578636407852173,0.07351434975862503,0.2665146589279175
2004,-0.3058311641216278,-0.21414001286029816,-0.2467794269323349,0.06716421991586685,-0.09227298200130463,-0.21980851888656616,-0.2467794269323349,0.012677984312176704,-0.043307505548000336,-0.19996030628681183,-0.16709135472774506,1.0000001192092896,-0.15923042595386505
",",0.3149496018886566,0.3734780251979828,0.4933079481124878,0.2088543325662613,0.2790627181529999,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.34873589873313904,0.3991432189941406,-0.17696323990821838,0.31091248989105225
the,0.5003893971443176,0.4177538752555847,1.0,0.3133983910083771,0.28978195786476135,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.3563927710056305,0.4054957628250122,-0.2467794269323349,0.22068053483963013
official,0.20930495858192444,0.18222501873970032,0.3133983910083771,1.0,0.21920444071292877,0.2864961326122284,0.3133983910083771,0.11383575946092606,0.23006054759025574,0.16687235236167908,0.2659253180027008,0.06716421991586685,0.18097688257694244
home,0.2877289652824402,0.2134159505367279,0.28978195786476135,0.21920444071292877,1.0,0.24402645230293274,0.28978195786476135,0.22843660414218903,0.14304479956626892,0.21229980885982513,0.2818499207496643,-0.09227298200130463,0.0757145956158638
of,0.38066378235816956,0.3909035325050354,0.733189046382904,0.2864961326122284,0.24402645230293274,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.31685134768486023,0.35513219237327576,-0.21980851888656616,0.1826142966747284
the,0.5003893971443176,0.4177538752555847,1.0,0.3133983910083771,0.28978195786476135,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.3563927710056305,0.4054957628250122,-0.2467794269323349,0.22068053483963013
scottish,0.16515733301639557,0.09595897048711777,0.21724988520145416,0.11383575946092606,0.22843660414218903,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.14039334654808044,0.12332939356565475,0.012677984312176704,0.06442669779062271
parliament,0.14109039306640625,0.1700625866651535,0.26521381735801697,0.23006054759025574,0.14304479956626892,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.18738535046577454,0.2727477550506592,-0.043307505548000336,0.1586504578590393
has,0.32190436124801636,1.0,0.4177538752555847,0.18222501873970032,0.2134159505367279,0.3909035325050354,0.4177538752555847,0.09595897048711777,0.1700625866651535,0.6162750124931335,0.5216675996780396,-0.21414001286029816,0.15994466841220856
been,0.24669882655143738,0.6162750124931335,0.3563927710056305,0.16687235236167908,0.21229980885982513,0.31685134768486023,0.3563927710056305,0.14039334654808044,0.18738535046577454,0.9999998807907104,0.6581953763961792,-0.19996030628681183,0.24354910850524902
a,0.40997210144996643,0.4670248031616211,0.5829201340675354,0.19875815510749817,0.26260659098625183,0.5052502155303955,0.5829201340675354,0.18544672429561615,0.22951169312000275,0.3315402865409851,0.3303585946559906,-0.21492190659046173,0.23916715383529663
new,0.26026442646980286,0.20920851826667786,0.3845241069793701,0.19933566451072693,0.2376747578382492,0.343457967042923,0.3845241069793701,0.150197833776474,0.17184364795684814,0.295974463224411,0.2617199122905731,-0.11780254542827606,0.14782847464084625
scottish,0.16515733301639557,0.09595897048711777,0.21724988520145416,0.11383575946092606,0.22843660414218903,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.14039334654808044,0.12332939356565475,0.012677984312176704,0.06442669779062271
parliament,0.14109039306640625,0.1700625866651535,0.26521381735801697,0.23006054759025574,0.14304479956626892,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.18738535046577454,0.2727477550506592,-0.043307505548000336,0.1586504578590393
building,0.2663278877735138,0.19068503379821777,0.3159640431404114,0.17075170576572418,0.16975408792495728,0.26200541853904724,0.3159640431404114,0.07771513611078262,0.25232768058776855,0.19875942170619965,0.20161990821361542,-0.24036480486392975,0.13549931347370148
",",0.3149496018886566,0.3734780251979828,0.4933079481124878,0.2088543325662613,0.2790627181529999,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.34873589873313904,0.3991432189941406,-0.17696323990821838,0.31091248989105225
in,0.5344807505607605,0.4173259735107422,0.6662389636039734,0.25180214643478394,0.30467477440834045,0.5696388483047485,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.3515113592147827,0.4325680434703827,-0.20274123549461365,0.20430970191955566
the,0.5003893971443176,0.4177538752555847,1.0,0.3133983910083771,0.28978195786476135,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.3563927710056305,0.4054957628250122,-0.2467794269323349,0.22068053483963013
holyrood,0.2936607897281647,0.19885218143463135,0.3764844834804535,0.30658164620399475,0.36994674801826477,0.33876100182533264,0.3764844834804535,0.42090368270874023,0.4392244517803192,0.23786909878253937,0.18432942032814026,-0.12233810126781464,0.1637646108865738
area,0.3338260352611542,0.3084876537322998,0.37834644317626953,0.1377994418144226,0.21420064568519592,0.3409860134124756,0.37834644317626953,0.15203425288200378,0.16726770997047424,0.25130510330200195,0.19454237818717957,-0.3154773414134979,0.12640461325645447
of,0.38066378235816956,0.3909035325050354,0.733189046382904,0.2864961326122284,0.24402645230293274,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.31685134768486023,0.35513219237327576,-0.21980851888656616,0.1826142966747284
edinburgh,0.21033897995948792,0.1626841276884079,0.2266589254140854,0.10603231936693192,0.17903627455234528,0.263994961977005,0.2266589254140854,0.5118322372436523,0.3362952172756195,0.1785852313041687,0.16764454543590546,-0.16661973297595978,0.09266204386949539
.,0.41390106081962585,0.4105546176433563,0.5934505462646484,0.2367454320192337,0.3067048490047455,0.5352458953857422,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.33645182847976685,0.431787371635437,-0.23090453445911407,0.4130953550338745
