,in,what,year,did,lost,first,debut,?
that,0.435920387506485,0.6297725439071655,0.2826407253742218,0.47518548369407654,0.26059767603874207,0.3482176661491394,0.15335598587989807,0.32716336846351624
year,0.3359307050704956,0.15184831619262695,1.0,0.21422851085662842,0.15647779405117035,0.3099139928817749,0.26229143142700195,0.18315006792545319
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.26788443326950073,0.34503069519996643,0.2218245416879654,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3376973867416382,0.49448907375335693,0.2226441204547882,0.22068053483963013
sixth,0.2580831050872803,0.13433639705181122,0.26815932989120483,0.16302378475666046,0.2179853320121765,0.4692617356777191,0.2774512469768524,0.11620894819498062
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.25558507442474365,0.3167642652988434,0.1683131754398346,0.20544172823429108
final,0.25512343645095825,0.20972409844398499,0.16941282153129578,0.24226084351539612,0.3485095500946045,0.4008927345275879,0.2657954692840576,0.17315025627613068
season,0.2184021919965744,0.12117787450551987,0.3561827838420868,0.19368280470371246,0.15863358974456787,0.26634398102760315,0.31391671299934387,0.16793298721313477
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.2878951132297516,0.3536086082458496,0.12960465252399445,0.1826142966747284
lost,0.3167656362056732,0.198215052485466,0.15647779405117035,0.30779293179512024,0.9999998807907104,0.2999275326728821,0.17952893674373627,0.15261413156986237
became,0.31047213077545166,0.1434093862771988,0.28121209144592285,0.3632316589355469,0.2584056258201599,0.37862223386764526,0.261801153421402,0.11374033987522125
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3376973867416382,0.49448907375335693,0.2226441204547882,0.22068053483963013
drama,0.24534137547016144,0.21173490583896637,0.20826931297779083,0.19004322588443756,0.15408825874328613,0.17078255116939545,0.15532617270946503,0.21114452183246613
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.05069678649306297,-0.04458974674344063,-0.014458609744906425,0.02319660410284996,-0.023395681753754616
lowest-rated,0.32091259956359863,0.24150487780570984,0.22811517119407654,0.233435720205307,0.2522737681865692,0.2780162990093231,0.21153637766838074,0.19985836744308472
season,0.2184021919965744,0.12117787450551987,0.3561827838420868,0.19368280470371246,0.15863358974456787,0.26634398102760315,0.31391671299934387,0.16793298721313477
since,0.4325680434703827,0.29783400893211365,0.31512683629989624,0.27613121271133423,0.35134556889533997,0.42581459879875183,0.204682394862175,0.2876587212085724
its,0.3793783485889435,0.30393704771995544,0.15338382124900818,0.19922670722007751,0.2143695056438446,0.26377397775650024,0.1597193032503128,0.15103481709957123
debut,0.23145294189453125,0.12330318242311478,0.26229143142700195,0.1956806182861328,0.17952893674373627,0.4099076986312866,1.0000001192092896,0.10726679861545563
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.3167656362056732,0.4127444326877594,0.23145294189453125,0.20430970191955566
2004,-0.20274123549461365,-0.2636275589466095,-0.05261049047112465,-0.11159943789243698,-0.04199127107858658,-0.03264905884861946,0.1921636462211609,-0.15923042595386505
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2800092399120331,0.4345304071903229,0.20454879105091095,0.4130953550338745
