,whose,english,translation,of,the,bible,did,the,luther,bible,influence,?
the,0.38253846764564514,0.23982001841068268,0.26402729749679565,0.733189046382904,1.0,0.27647915482521057,0.34736719727516174,1.0,0.1759674996137619,0.27647915482521057,0.3039984107017517,0.22068053483963013
luther,0.16639941930770874,0.16135354340076447,0.18200817704200745,0.1719115972518921,0.1759674996137619,0.3825412392616272,0.23667675256729126,0.1759674996137619,1.0,0.3825412392616272,0.13023076951503754,0.1732746809720993
bible,0.20370373129844666,0.28196796774864197,0.4584057331085205,0.25664499402046204,0.27647915482521057,1.0000001192092896,0.24923516809940338,0.27647915482521057,0.3825412392616272,1.0000001192092896,0.15584419667720795,0.22667601704597473
influenced,0.22744271159172058,0.24053779244422913,0.22770905494689941,0.25486209988594055,0.18518297374248505,0.22541631758213043,0.22115233540534973,0.18518297374248505,0.16982164978981018,0.22541631758213043,0.8065833449363708,0.1310873031616211
other,0.30907049775123596,0.22768984735012054,0.16941089928150177,0.38583824038505554,0.44152235984802246,0.2176087498664856,0.31707024574279785,0.44152235984802246,0.18881922960281372,0.2176087498664856,0.2993001341819763,0.24682199954986572
vernacular,0.29745957255363464,0.3581985831260681,0.3049284815788269,0.24465630948543549,0.2864411771297455,0.39096295833587646,0.19619262218475342,0.2864411771297455,0.15256284177303314,0.39096295833587646,0.28104886412620544,0.2268863171339035
translations,0.25011950731277466,0.4188043773174286,0.9369906187057495,0.19379711151123047,0.26224538683891296,0.4777957499027252,0.16250818967819214,0.26224538683891296,0.19293023645877838,0.4777957499027252,0.25690823793411255,0.26874881982803345
",",0.25601375102996826,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.4933079481124878,0.18640878796577454,0.3015086054801941,0.4933079481124878,0.23255878686904907,0.18640878796577454,0.2585834860801697,0.31091248989105225
such,0.24919940531253815,0.20816867053508759,0.1887187957763672,0.3209529519081116,0.3575236201286316,0.12978684902191162,0.24497397243976593,0.3575236201286316,0.09043191373348236,0.12978684902191162,0.33683279156684875,0.17851735651493073
as,0.3202406167984009,0.2722744047641754,0.20053249597549438,0.3886612355709076,0.48381632566452026,0.19238992035388947,0.3596470057964325,0.48381632566452026,0.20242992043495178,0.19238992035388947,0.27443522214889526,0.27043893933296204
