,how,are,the,explanations,supported,?
this,0.45272302627563477,0.35762670636177063,0.6274310946464539,0.4081730544567108,0.30082768201828003,0.3155723512172699
debate,0.28269731998443604,0.16443191468715668,0.2608932852745056,0.3106893002986908,0.26155707240104675,0.227684885263443
has,0.26820555329322815,0.4313911199569702,0.4177538752555847,0.1905275583267212,0.2179286926984787,0.15994466841220856
proved,0.22519473731517792,0.20329946279525757,0.2359304130077362,0.3435783088207245,0.36809834837913513,0.1678566187620163
difficult,0.4929194152355194,0.3366478681564331,0.277450829744339,0.33857282996177673,0.19000856578350067,0.20408590137958527
to,0.44169697165489197,0.3504326641559601,0.535392165184021,0.3019252419471741,0.19981899857521057,0.29463258385658264
resolve,0.31697121262550354,0.2265423834323883,0.221273735165596,0.43830305337905884,0.19847209751605988,0.35156041383743286
because,0.48179173469543457,0.43093472719192505,0.44596394896507263,0.2962940037250519,0.296115517616272,0.2528740465641022
the,0.33890387415885925,0.40399202704429626,1.0,0.2534363865852356,0.27276676893234253,0.22068053483963013
practical,0.3241180181503296,0.24939797818660736,0.22487887740135193,0.4041958153247833,0.20817558467388153,0.19861027598381042
limitations,0.3633457124233246,0.34386759996414185,0.26554352045059204,0.5654784440994263,0.2517683506011963,0.2837134301662445
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.20192904770374298,0.30414751172065735,0.1826142966747284
working,0.27748700976371765,0.23492206633090973,0.25857484340667725,0.16372272372245789,0.2836727797985077,0.17154020071029663
in,0.2601168751716614,0.3841303884983063,0.6662389636039734,0.17881938815116882,0.22075232863426208,0.20430970191955566
the,0.33890387415885925,0.40399202704429626,1.0,0.2534363865852356,0.27276676893234253,0.22068053483963013
rainforest,0.15943723917007446,0.2730858027935028,0.2571161389350891,0.18512967228889465,0.12010163813829422,0.1917492002248764
mean,0.35380423069000244,0.32494738698005676,0.25977957248687744,0.3080926239490509,0.15832114219665527,0.36234524846076965
that,0.557814359664917,0.45265161991119385,0.5473989248275757,0.4207441210746765,0.33392322063446045,0.32716336846351624
data,0.2773200571537018,0.192618265748024,0.20546740293502808,0.2796751856803894,0.1696193367242813,0.17909851670265198
sampling,0.29763561487197876,0.24013692140579224,0.22384943068027496,0.3524235188961029,0.11084239929914474,0.21615462005138397
is,0.22544461488723755,0.5330929756164551,0.5823672413825989,0.20747427642345428,0.1375114768743515,0.22961433231830597
biased,0.3186819851398468,0.24333186447620392,0.1836521029472351,0.40046966075897217,0.3159629702568054,0.27561435103416443
away,0.2374800741672516,0.21925415098667145,0.29030847549438477,0.2114395648241043,0.13863739371299744,0.15156377851963043
from,0.22939439117908478,0.2674213647842407,0.40150508284568787,0.15817534923553467,0.17345474660396576,0.19969791173934937
the,0.33890387415885925,0.40399202704429626,1.0,0.2534363865852356,0.27276676893234253,0.22068053483963013
center,0.12502175569534302,0.14647969603538513,0.29064592719078064,0.20302695035934448,0.12491662055253983,0.12538520991802216
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.20192904770374298,0.30414751172065735,0.1826142966747284
the,0.33890387415885925,0.40399202704429626,1.0,0.2534363865852356,0.27276676893234253,0.22068053483963013
amazon,0.16216763854026794,0.15230076014995575,0.260541707277298,0.17663896083831787,0.14524511992931366,0.18144656717777252
basin,0.08796394616365433,0.13584861159324646,0.24553915858268738,0.11948525905609131,0.15318304300308228,0.14685653150081635
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.26111045479774475,0.2703314423561096,0.31091248989105225
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.2937956750392914,0.3113573491573334,0.20544172823429108
both,0.3017238676548004,0.4594642221927643,0.4931981563568115,0.29945555329322815,0.3060051500797272,0.19455738365650177
explanations,0.4085790514945984,0.3583131730556488,0.2534363865852356,1.0000001192092896,0.24994146823883057,0.3281082212924957
are,0.311818927526474,1.0,0.40399202704429626,0.3583131730556488,0.20564687252044678,0.24591213464736938
reasonably,0.38971784710884094,0.2918999195098877,0.2819764018058777,0.427249938249588,0.24232468008995056,0.35103633999824524
well,0.410734087228775,0.44987359642982483,0.42630070447921753,0.3069016635417938,0.26425233483314514,0.24815571308135986
supported,0.18413317203521729,0.20564687252044678,0.27276676893234253,0.24994146823883057,1.0000001192092896,0.11593948304653168
by,0.34370526671409607,0.37842893600463867,0.4408751428127289,0.2130739986896515,0.29367026686668396,0.17966607213020325
the,0.33890387415885925,0.40399202704429626,1.0,0.2534363865852356,0.27276676893234253,0.22068053483963013
available,0.2581886649131775,0.31910744309425354,0.26723232865333557,0.2627496123313904,0.33343976736068726,0.2501629889011383
data,0.2773200571537018,0.192618265748024,0.20546740293502808,0.2796751856803894,0.1696193367242813,0.17909851670265198
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.2711559236049652,0.29144924879074097,0.4130953550338745
