,what,does,the,umc,oppose,as,incompatible,with,the,teaching,of,scripture,?
the,0.42745697498321533,0.35928019881248474,1.0,0.21262750029563904,0.17795199155807495,0.48381632566452026,0.17226295173168182,0.4223487675189972,1.0,0.2182690054178238,0.733189046382904,0.26313304901123047,0.22068053483963013
united,0.20036718249320984,0.1650896966457367,0.34367692470550537,0.1928277611732483,0.12520980834960938,0.27979812026023865,0.141559898853302,0.19869105517864227,0.34367692470550537,0.19254237413406372,0.3187655806541443,0.1411087065935135,0.17266890406608582
methodist,0.17637217044830322,0.13836076855659485,0.21922016143798828,0.2650960683822632,0.12216256558895111,0.22391098737716675,0.09774158149957657,0.17456914484500885,0.21922016143798828,0.35541653633117676,0.28458893299102783,0.37959325313568115,0.1436992734670639
church,0.1944202184677124,0.16385334730148315,0.23846197128295898,0.20494024455547333,0.12655141949653625,0.211966410279274,0.12743507325649261,0.17961077392101288,0.23846197128295898,0.33404240012168884,0.3079429268836975,0.4324491322040558,0.18081501126289368
opposes,0.38294321298599243,0.3674713373184204,0.20486018061637878,0.22827035188674927,0.8551265597343445,0.25833532214164734,0.2841556966304779,0.19619767367839813,0.20486018061637878,0.18396934866905212,0.1937987506389618,0.25731584429740906,0.3116794228553772
conscription,0.2659010887145996,0.15347003936767578,0.31949079036712646,0.2066362202167511,0.28346049785614014,0.1740753948688507,0.22540409862995148,0.20948800444602966,0.31949079036712646,0.2902663052082062,0.2830383777618408,0.37065398693084717,0.18170765042304993
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.24607859551906586,0.23896297812461853,1.0,0.22269245982170105,0.40387406945228577,0.48381632566452026,0.2660074830055237,0.3886612355709076,0.2210116684436798,0.27043893933296204
incompatible,0.33170202374458313,0.2682902216911316,0.17226295173168182,0.20978862047195435,0.293949693441391,0.22269245982170105,0.9999998807907104,0.2659424841403961,0.17226295173168182,0.2102750837802887,0.20946481823921204,0.27566155791282654,0.2627788186073303
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.11891178786754608,0.18576756119728088,0.40387406945228577,0.2659424841403961,0.9999999403953552,0.4223487675189972,0.17801906168460846,0.41827285289764404,0.13130104541778564,0.2433311939239502
the,0.42745697498321533,0.35928019881248474,1.0,0.21262750029563904,0.17795199155807495,0.48381632566452026,0.17226295173168182,0.4223487675189972,1.0,0.2182690054178238,0.733189046382904,0.26313304901123047,0.22068053483963013
teaching,0.27416905760765076,0.20767050981521606,0.2182690054178238,0.26160821318626404,0.16911980509757996,0.2660074830055237,0.2102750837802887,0.17801906168460846,0.2182690054178238,1.0000001192092896,0.2911611497402191,0.47481730580329895,0.20424684882164001
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.18128293752670288,0.19316069781780243,0.3886612355709076,0.20946481823921204,0.41827285289764404,0.733189046382904,0.2911611497402191,1.0,0.28019383549690247,0.1826142966747284
scripture,0.3553470969200134,0.2051512449979782,0.26313304901123047,0.32977184653282166,0.21682171523571014,0.2210116684436798,0.27566155791282654,0.13130104541778564,0.26313304901123047,0.47481730580329895,0.28019383549690247,1.0000001192092896,0.30222222208976746
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.23154163360595703,0.23016472160816193,0.515582263469696,0.23293404281139374,0.4446153938770294,0.5934505462646484,0.26479530334472656,0.5352458953857422,0.22833825647830963,0.4130953550338745
