,what,book,did,luther,write,in,response,to,agricola,and,the,antinomians,?
he,0.3114890456199646,0.2191331684589386,0.3292143940925598,0.2454872578382492,0.2696007788181305,0.41690486669540405,0.1881110966205597,0.385390967130661,0.30469420552253723,0.45427167415618896,0.4571082592010498,0.17198413610458374,0.2089974731206894
also,0.42747777700424194,0.2729949951171875,0.39334940910339355,0.22154976427555084,0.29383400082588196,0.5073733329772949,0.2597503960132599,0.5348826050758362,0.16397754848003387,0.5755972862243652,0.6021018624305725,0.23782935738563538,0.21848613023757935
responded,0.36064884066581726,0.1870533674955368,0.3910515010356903,0.11256400495767593,0.288614958524704,0.19743280112743378,0.5897959470748901,0.2985798120498657,0.10513980686664581,0.24345944821834564,0.22086620330810547,0.17436514794826508,0.254449725151062
to,0.455847829580307,0.20275522768497467,0.4452643394470215,0.18029534816741943,0.4184085726737976,0.45010748505592346,0.277526319026947,1.0,0.14556097984313965,0.48971283435821533,0.535392165184021,0.17389030754566193,0.29463258385658264
these,0.4164220690727234,0.2223663330078125,0.38755595684051514,0.23486362397670746,0.26518863439559937,0.3791837692260742,0.2656902074813843,0.46852558851242065,0.15996675193309784,0.5314885973930359,0.49086877703666687,0.28195443749427795,0.2571668326854706
assertions,0.399842768907547,0.2907859981060028,0.2618962228298187,0.26591724157333374,0.24864646792411804,0.2168474793434143,0.30346429347991943,0.26967424154281616,0.19234904646873474,0.20182354748249054,0.2309674322605133,0.402753084897995,0.37058719992637634
in,0.30808621644973755,0.2527170181274414,0.2593238651752472,0.20523880422115326,0.24632485210895538,1.0,0.20744606852531433,0.45010748505592346,0.22637778520584106,0.4954058527946472,0.6662389636039734,0.12912611663341522,0.20430970191955566
other,0.341873437166214,0.20864468812942505,0.31707024574279785,0.18881922960281372,0.26268506050109863,0.39989137649536133,0.19916503131389618,0.4193183183670044,0.08012189716100693,0.5504306554794312,0.44152235984802246,0.25863051414489746,0.24682199954986572
writings,0.31019967794418335,0.4840583801269531,0.262403666973114,0.32714858651161194,0.4738081395626068,0.2301568239927292,0.2101631909608841,0.18383939564228058,0.27881085872650146,0.2566024661064148,0.21431727707386017,0.38507217168807983,0.1770159751176834
",",0.3087472915649414,0.23644568026065826,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.5201468467712402,0.24039098620414734,0.44245919585227966,0.31323951482772827,0.6633074283599854,0.4933079481124878,0.2523687481880188,0.31091248989105225
