,what,had,bhutto,planned,on,banning,within,six,months,",",before,he,was,overthrown,?
ali,0.1344982534646988,0.13100206851959229,0.5688896775245667,0.1181388795375824,0.14187726378440857,0.23677334189414978,0.0646289810538292,0.1264360249042511,0.17693929374217987,0.19254343211650848,0.16480794548988342,0.22475787997245789,0.2125740945339203,0.2904335856437683,0.12320320308208466
bhutto,0.19331446290016174,0.19546079635620117,1.0,0.2021152824163437,0.1618042141199112,0.34131190180778503,0.15982215106487274,0.17904716730117798,0.19652394950389862,0.2679000198841095,0.21784526109695435,0.27126216888427734,0.26694849133491516,0.39484772086143494,0.18564504384994507
",",0.3087472915649414,0.35487717390060425,0.2679000198841095,0.22345273196697235,0.49057599902153015,0.32842034101486206,0.2513136863708496,0.2737274467945099,0.28694233298301697,1.0000001192092896,0.3156566619873047,0.40251094102859497,0.45456063747406006,0.19919556379318237,0.31091248989105225
a,0.3320399522781372,0.34897568821907043,0.1766015589237213,0.23569394648075104,0.3848365545272827,0.2649165689945221,0.3858051896095276,0.26189830899238586,0.24924878776073456,0.427140474319458,0.3583870828151703,0.4393508732318878,0.4508470594882965,0.17007258534431458,0.23916715383529663
leftist,0.22610805928707123,0.17778754234313965,0.42540112137794495,0.2284144014120102,0.159153014421463,0.21470552682876587,0.1474968045949936,0.10594822466373444,0.10653327405452728,0.19793134927749634,0.20196478068828583,0.3318381905555725,0.24542750418186188,0.4241839051246643,0.1466558277606964
in,0.30808621644973755,0.385026752948761,0.16425834596157074,0.2658644914627075,0.46853652596473694,0.2244691103696823,0.40576374530792236,0.3013422191143036,0.27186378836631775,0.5201468467712402,0.4155850410461426,0.41690486669540405,0.45514053106307983,0.16733208298683167,0.20430970191955566
democratic,0.1858556717634201,0.17568454146385193,0.3700747489929199,0.1801706701517105,0.2068682461977005,0.20327089726924896,0.19605706632137299,0.11794818192720413,0.14847224950790405,0.23484410345554352,0.23595856130123138,0.24164840579032898,0.24946795403957367,0.33815714716911316,0.1668088138103485
competition,0.18313148617744446,0.1662299782037735,0.11975125968456268,0.18048788607120514,0.20382913947105408,0.16067421436309814,0.18661853671073914,0.1721406877040863,0.11752358078956604,0.2820526659488678,0.14642535150051117,0.27358704805374146,0.23262746632099152,0.11105088889598846,0.1394461691379547
with,0.2464839518070221,0.4739086329936981,0.14269502460956573,0.18405099213123322,0.40749499201774597,0.181866854429245,0.2915107011795044,0.261430561542511,0.1904708445072174,0.4120737314224243,0.32654517889022827,0.2845253646373749,0.27411898970603943,0.15204186737537384,0.2433311939239502
islamists,0.26342982053756714,0.21652376651763916,0.4598192870616913,0.2867869436740875,0.1490367203950882,0.3358527719974518,0.2018163502216339,0.17868687212467194,0.18435370922088623,0.1822616159915924,0.21529291570186615,0.21819157898426056,0.20672175288200378,0.3986419141292572,0.17165705561637878
