,approximately,how,many,items,from,the,islamic,world,are,held,in,the,v,&,a,collection,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40150508284568787,1.0,0.27231070399284363,0.33604270219802856,0.40399202704429626,0.32185450196266174,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
v,0.059290606528520584,0.15972670912742615,0.09144165366888046,0.07684866338968277,0.13980557024478912,0.18580520153045654,0.12457823008298874,0.06254376471042633,0.07239489257335663,0.09840460121631622,0.15216681361198425,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.11078842729330063,0.28677162528038025
&,0.1181027963757515,0.1377509981393814,0.12268554419279099,0.07111205160617828,0.14301162958145142,0.14992168545722961,0.1818000227212906,0.15911176800727844,0.17888472974300385,0.11134864389896393,0.1358654648065567,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.18749947845935822,0.12596383690834045
a,0.2885743975639343,0.29312583804130554,0.2872205972671509,0.2916238307952881,0.322764128446579,0.5829201340675354,0.20177602767944336,0.22239887714385986,0.265255331993103,0.22326228022575378,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.24716788530349731,0.23916715383529663
holds,0.24105525016784668,0.1431668996810913,0.20790909230709076,0.2187386155128479,0.2390662431716919,0.28190866112709045,0.16446569561958313,0.2225179374217987,0.22953253984451294,0.4846706688404083,0.2876984775066376,0.28190866112709045,0.10173993557691574,0.14777152240276337,0.2758602797985077,0.2581349015235901,0.11379207670688629
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.22679616510868073,0.37539660930633545,0.39856547117233276,0.17131300270557404,0.31620165705680847,0.2778770923614502,0.2791024446487427,0.3605569899082184,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.21212655305862427,0.25742942094802856
"19,000",-0.16847816109657288,-0.009840449318289757,0.0016215482028201222,-0.05006825551390648,0.14210796356201172,0.06461316347122192,-0.04526672512292862,-0.11319929361343384,-0.09093303978443146,0.0007445362280122936,0.04633264243602753,0.06461316347122192,-0.028989305719733238,0.05670326575636864,0.0378839448094368,0.046007804572582245,-0.013084305450320244
items,0.13907083868980408,0.25054052472114563,0.30115842819213867,1.0000001192092896,0.22521184384822845,0.23580949008464813,0.10567858070135117,0.22287340462207794,0.3372188210487366,0.211829274892807,0.2189844399690628,0.23580949008464813,0.07684866338968277,0.07111205160617828,0.2916238307952881,0.38827261328697205,0.19807128608226776
from,0.302482545375824,0.22939439117908478,0.33099696040153503,0.22521184384822845,1.0,0.40150508284568787,0.17753800749778748,0.22603429853916168,0.2674213647842407,0.2241152971982956,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.2754948139190674,0.19969791173934937
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40150508284568787,1.0,0.27231070399284363,0.33604270219802856,0.40399202704429626,0.32185450196266174,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
