,who,develped,the,theory,of,relativity,?
by,0.39727845788002014,0.29891255497932434,0.4408751428127289,0.17579947412014008,0.3646814823150635,0.23472656309604645,0.17966607213020325
the,0.3733934462070465,0.3242056667804718,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
early,0.23985694348812103,0.36733099818229675,0.34442198276519775,0.2422827184200287,0.30937549471855164,0.19465069472789764,0.15272949635982513
20th,0.12597180902957916,0.203232541680336,0.3097512125968933,0.13865092396736145,0.21726468205451965,0.257515549659729,0.14985637366771698
century,0.2990973889827728,0.310573548078537,0.3617299497127533,0.22380897402763367,0.2826060354709625,0.24004974961280823,0.1026201918721199
",",0.3365725874900818,0.3101780116558075,0.4933079481124878,0.18095813691616058,0.4946078956127167,0.22233259677886963,0.31091248989105225
einstein,0.23276357352733612,0.19512557983398438,0.17706423997879028,0.448373407125473,0.2119363248348236,0.6180851459503174,0.2118137627840042
developed,0.1288115680217743,0.6453259587287903,0.24490751326084137,0.34694910049438477,0.21960023045539856,0.26007261872291565,0.10763012617826462
a,0.36608949303627014,0.25049707293510437,0.5829201340675354,0.2233850657939911,0.5052502155303955,0.21220099925994873,0.23916715383529663
theory,0.19210977852344513,0.27662795782089233,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.5565682053565979,0.1387292891740799
of,0.2827862501144409,0.27606651186943054,0.733189046382904,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
relativity,0.17238733172416687,0.21289770305156708,0.20282858610153198,0.5565682053565979,0.22042350471019745,1.0000001192092896,0.26250147819519043
that,0.45444270968437195,0.2817412316799164,0.5473989248275757,0.36183905601501465,0.41498205065727234,0.3373055160045624,0.32716336846351624
correctly,0.2556811571121216,0.1808040887117386,0.3099958002567291,0.293987900018692,0.1631389856338501,0.27709972858428955,0.36838996410369873
predicted,0.15339598059654236,0.289543479681015,0.18655166029930115,0.41332900524139404,0.18881571292877197,0.395557701587677,0.15010029077529907
the,0.3733934462070465,0.3242056667804718,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
action,0.22252362966537476,0.15116193890571594,0.28415048122406006,0.19573122262954712,0.23570318520069122,0.22357678413391113,0.250188946723938
of,0.2827862501144409,0.27606651186943054,0.733189046382904,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
forces,0.2532956302165985,0.1161024197936058,0.3134811818599701,0.25518494844436646,0.3090144991874695,0.2582871615886688,0.16984491050243378
on,0.2340552806854248,0.242115318775177,0.5107308030128479,0.16873858869075775,0.3966929316520691,0.14959938824176788,0.2714994251728058
objects,0.19808335602283478,0.08622578531503677,0.24716724455356598,0.27867934107780457,0.23814009130001068,0.3665803372859955,0.15479016304016113
with,0.3282766342163086,0.2774659991264343,0.4223487675189972,0.21627245843410492,0.41827285289764404,0.25700920820236206,0.2433311939239502
increasing,0.15441399812698364,0.25200703740119934,0.34958165884017944,0.24890577793121338,0.3524707853794098,0.29792505502700806,0.0681626945734024
momenta,0.14637520909309387,0.05824252590537071,0.20891588926315308,0.19742844998836517,0.19745711982250214,0.3877304792404175,0.2045302391052246
near,0.08319083601236343,0.10871433466672897,0.2879819869995117,0.08381340652704239,0.2651676535606384,0.07223757356405258,0.10734958201646805
the,0.3733934462070465,0.3242056667804718,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
speed,0.14901922643184662,0.11666063964366913,0.2310667634010315,0.15009282529354095,0.1947416365146637,0.35700881481170654,0.17392314970493317
of,0.2827862501144409,0.27606651186943054,0.733189046382904,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
light,0.16200783848762512,0.17657281458377838,0.2649136185646057,0.19276320934295654,0.18257063627243042,0.32190293073654175,0.17429810762405396
",",0.3365725874900818,0.3101780116558075,0.4933079481124878,0.18095813691616058,0.4946078956127167,0.22233259677886963,0.31091248989105225
and,0.41279885172843933,0.336883008480072,0.5171257257461548,0.1765792816877365,0.5116966962814331,0.21083030104637146,0.20544172823429108
also,0.47919341921806335,0.30029264092445374,0.6021018624305725,0.27736079692840576,0.4924938678741455,0.2833147346973419,0.21848613023757935
provided,0.18789203464984894,0.2091023176908493,0.304488867521286,0.24752311408519745,0.272808313369751,0.2539856433868408,0.16893617808818817
insight,0.15126928687095642,0.23224996030330658,0.15509411692619324,0.2831486463546753,0.12511052191257477,0.413735568523407,0.34185463190078735
into,0.16956904530525208,0.24376261234283447,0.39493247866630554,0.1421150416135788,0.32255905866622925,0.15384286642074585,0.15662476420402527
the,0.3733934462070465,0.3242056667804718,1.0,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
forces,0.2532956302165985,0.1161024197936058,0.3134811818599701,0.25518494844436646,0.3090144991874695,0.2582871615886688,0.16984491050243378
produced,0.12907662987709045,0.2518329620361328,0.22045251727104187,0.1548353135585785,0.18961067497730255,0.32988905906677246,0.1623450517654419
by,0.39727845788002014,0.29891255497932434,0.4408751428127289,0.17579947412014008,0.3646814823150635,0.23472656309604645,0.17966607213020325
gravitation,0.13835126161575317,0.18133950233459473,0.2239520251750946,0.4541175961494446,0.20778346061706543,0.6222784519195557,0.1806045025587082
and,0.41279885172843933,0.336883008480072,0.5171257257461548,0.1765792816877365,0.5116966962814331,0.21083030104637146,0.20544172823429108
inertia,0.1119895949959755,0.024200493469834328,0.2222520112991333,0.3230995237827301,0.23255228996276855,0.4984254539012909,0.20492924749851227
.,0.3541337847709656,0.3194577991962433,0.5934505462646484,0.18047811090946198,0.5352458953857422,0.19048427045345306,0.4130953550338745
