,what,kind,of,market,is,kenya,considered,?
kenya,0.18398970365524292,0.15539714694023132,0.22226637601852417,0.09376122802495956,0.17591087520122528,1.0,0.07161948829889297,0.17197901010513306
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2463478147983551,1.0,0.17591087520122528,0.4096149802207947,0.22961433231830597
usually,0.32521089911460876,0.4697824716567993,0.33931583166122437,0.17771586775779724,0.4230746626853943,0.13942550122737885,0.32424214482307434,0.19435347616672516
classified,0.16493408381938934,0.24844269454479218,0.1888706386089325,0.18219618499279022,0.21324113011360168,0.14372022449970245,0.4152248501777649,0.1583244353532791
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.17538416385650635,0.43216490745544434,0.18995212018489838,0.4031961262226105,0.27043893933296204
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2680419683456421,0.658733606338501,0.1701713502407074,0.36109375953674316,0.23916715383529663
frontier,0.23734928667545319,0.14255701005458832,0.285473495721817,0.22309757769107819,0.20714323222637177,0.16356998682022095,0.22557513415813446,0.13416144251823425
market,0.12116116285324097,0.15619608759880066,0.1694333702325821,1.0000001192092896,0.2463478147983551,0.09376122802495956,0.20506130158901215,0.12805593013763428
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.22086545825004578,0.41870999336242676,0.1932266503572464,0.35840076208114624,0.32389625906944275
occasionally,0.24931581318378448,0.2331257313489914,0.1766550987958908,0.07570746541023254,0.28574612736701965,0.10645610839128494,0.2761905789375305,0.13541953265666962
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.15077361464500427,0.4654068350791931,0.1525012105703354,0.3028697371482849,0.19793890416622162
emerging,0.12901315093040466,0.1677384376525879,0.22234845161437988,0.22565583884716034,0.12494268268346786,0.2069786638021469,0.25473085045814514,0.08310811966657639
market,0.12116116285324097,0.15619608759880066,0.1694333702325821,1.0000001192092896,0.2463478147983551,0.09376122802495956,0.20506130158901215,0.12805593013763428
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2499394416809082,0.4691906273365021,0.23432263731956482,0.32932984828948975,0.31091248989105225
but,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.1657838374376297,0.4106791317462921,0.21002237498760223,0.438747376203537,0.27921953797340393
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.2548261880874634,0.6328473687171936,0.11538690328598022,0.3332322835922241,0.25732165575027466
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2463478147983551,1.0,0.17591087520122528,0.4096149802207947,0.22961433231830597
not,0.5449194312095642,0.3335936963558197,0.3307090103626251,0.17486058175563812,0.3776007890701294,0.15024271607398987,0.41997629404067993,0.41942933201789856
one,0.376489520072937,0.3653089106082916,0.4999135136604309,0.19177107512950897,0.4544198513031006,0.17448458075523376,0.4084182679653168,0.2673267424106598
of,0.33290785551071167,0.2285657674074173,1.0,0.1694333702325821,0.4854315221309662,0.22226637601852417,0.4190242290496826,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2041238248348236,0.5823672413825989,0.21657514572143555,0.4028765559196472,0.22068053483963013
least,0.3337163031101227,0.23557601869106293,0.32696738839149475,0.18069861829280853,0.25724145770072937,0.14312778413295746,0.33182570338249207,0.28866854310035706
developed,0.15555569529533386,0.25874748826026917,0.21960023045539856,0.23272038996219635,0.21550270915031433,0.14772754907608032,0.2699738144874573,0.10763012617826462
countries,0.22319257259368896,0.21813634037971497,0.2800094783306122,0.24953775107860565,0.254234254360199,0.2983141243457794,0.24448484182357788,0.15128466486930847
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.19660170376300812,0.4569662809371948,0.24234211444854736,0.29356086254119873,0.4130953550338745
