,of,whom,",",to,luther,",",was,justification,entirely,the,work,?
luther,0.1719115972518921,0.11776672303676605,0.23255878686904907,0.18029534816741943,1.0,0.23255878686904907,0.19185513257980347,0.27747613191604614,0.13761961460113525,0.1759674996137619,0.15580131113529205,0.1732746809720993
came,0.3201526999473572,0.19811104238033295,0.3049119710922241,0.3111628592014313,0.13847880065441132,0.3049119710922241,0.4994563162326813,0.10754527151584625,0.1598043143749237,0.39390382170677185,0.15461984276771545,0.1739392727613449
to,0.41548454761505127,0.3108522593975067,0.44245919585227966,1.0,0.18029534816741943,0.44245919585227966,0.3636345863342285,0.23092837631702423,0.30524495244026184,0.535392165184021,0.3482864499092102,0.29463258385658264
understand,0.22435243427753448,0.2713601291179657,0.2897718548774719,0.40101751685142517,0.20179596543312073,0.2897718548774719,0.1745024472475052,0.3927192687988281,0.35200121998786926,0.2701992988586426,0.3811899721622467,0.390200674533844
justification,0.2991276681423187,0.23818618059158325,0.28414639830589294,0.23092837631702423,0.27747613191604614,0.28414639830589294,0.17708542943000793,1.0,0.35100746154785156,0.26831284165382385,0.27255433797836304,0.4005378186702728
as,0.3886612355709076,0.31695985794067383,0.48816442489624023,0.42092081904411316,0.20242992043495178,0.48816442489624023,0.3677520453929901,0.26791077852249146,0.24206675589084625,0.48381632566452026,0.32418152689933777,0.27043893933296204
entirely,0.2849496901035309,0.19439643621444702,0.3141396641731262,0.30524495244026184,0.13761961460113525,0.3141396641731262,0.2490214705467224,0.35100746154785156,1.0,0.33318132162094116,0.259199857711792,0.19651781022548676
the,0.733189046382904,0.23752936720848083,0.4933079481124878,0.535392165184021,0.1759674996137619,0.4933079481124878,0.48711544275283813,0.26831284165382385,0.33318132162094116,1.0,0.2704800069332123,0.22068053483963013
work,0.23473061621189117,0.224911168217659,0.3283594250679016,0.3482864499092102,0.15580131113529205,0.3283594250679016,0.24745555222034454,0.27255433797836304,0.259199857711792,0.2704800069332123,1.0,0.2621155381202698
of,1.0,0.2070929855108261,0.4946078956127167,0.41548454761505127,0.1719115972518921,0.4946078956127167,0.4069072902202606,0.2991276681423187,0.2849496901035309,0.733189046382904,0.23473061621189117,0.1826142966747284
god,0.2159487009048462,0.26549845933914185,0.24755379557609558,0.2408517301082611,0.2238161414861679,0.24755379557609558,0.20121176540851593,0.32009807229042053,0.15132127702236176,0.24689088761806488,0.15446507930755615,0.23396754264831543
.,0.5352458953857422,0.26115289330482483,0.6812511086463928,0.4645031690597534,0.24907569587230682,0.6812511086463928,0.40146201848983765,0.27713653445243835,0.3153672218322754,0.5934505462646484,0.33121398091316223,0.4130953550338745
