,how,many,vice,presidents,are,on,the,student,board,?
it,0.36714982986450195,0.39615920186042786,0.15421521663665771,0.18047377467155457,0.3617996573448181,0.4529881477355957,0.6251175999641418,0.18204133212566376,0.1697750687599182,0.25732165575027466
is,0.22544461488723755,0.2649032473564148,0.13874469697475433,0.16485825181007385,0.5330929756164551,0.3635730445384979,0.5823672413825989,0.18911804258823395,0.18710602819919586,0.22961433231830597
led,0.15437260270118713,0.2798413932323456,0.17707456648349762,0.19151754677295685,0.16632264852523804,0.23411796987056732,0.3267505168914795,0.19651901721954346,0.11322598904371262,0.09273858368396759
by,0.34370526671409607,0.3409687578678131,0.17908844351768494,0.19361983239650726,0.37842893600463867,0.33887791633605957,0.4408751428127289,0.170615091919899,0.15669898688793182,0.17966607213020325
an,0.2520636022090912,0.2465583086013794,0.16769671440124512,0.13153040409088135,0.1556541919708252,0.3192969560623169,0.4207492768764496,0.20635002851486206,0.1663350909948349,0.19793890416622162
executive,0.1531113088130951,0.15797170996665955,0.47308313846588135,0.36417463421821594,0.12328927963972092,0.17521819472312927,0.2402946650981903,0.18810157477855682,0.25711899995803833,0.12134998291730881
committee,0.14701566100120544,0.1689344346523285,0.29714593291282654,0.29007455706596375,0.14231987297534943,0.20945778489112854,0.24322165548801422,0.24287372827529907,0.30766817927360535,0.12144632637500763
",",0.22659391164779663,0.40610817074775696,0.2756725251674652,0.27774885296821594,0.4062570035457611,0.49057599902153015,0.4933079481124878,0.2261858433485031,0.25734269618988037,0.31091248989105225
chaired,0.15063126385211945,0.1714809536933899,0.4410448968410492,0.3413524925708771,0.14292117953300476,0.22361227869987488,0.2689305543899536,0.27840614318847656,0.3546850383281708,0.13366341590881348
by,0.34370526671409607,0.3409687578678131,0.17908844351768494,0.19361983239650726,0.37842893600463867,0.33887791633605957,0.4408751428127289,0.170615091919899,0.15669898688793182,0.17966607213020325
a,0.29312583804130554,0.2872205972671509,0.13536539673805237,0.16544200479984283,0.265255331993103,0.3848365545272827,0.5829201340675354,0.3207114636898041,0.17163047194480896,0.23916715383529663
president,0.1342112123966217,0.15858104825019836,0.7407976388931274,0.8352377414703369,0.06442158669233322,0.18996542692184448,0.24330610036849976,0.3333226144313812,0.26718464493751526,0.14148259162902832
with,0.3525622487068176,0.35744401812553406,0.1132759153842926,0.18844643235206604,0.38996943831443787,0.40749499201774597,0.4223487675189972,0.1580762416124344,0.10503118485212326,0.2433311939239502
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.5107308030128479,1.0,0.21259291470050812,0.2871673107147217,0.22068053483963013
assistance,0.1980421096086502,0.14831657707691193,0.27733761072158813,0.16893315315246582,0.13998980820178986,0.17466092109680176,0.19771957397460938,0.2777501344680786,0.21935488283634186,0.14602699875831604
of,0.2480744868516922,0.37253960967063904,0.21141734719276428,0.2828550338745117,0.39081433415412903,0.3966929316520691,0.733189046382904,0.20310284197330475,0.23488809168338776,0.1826142966747284
two,0.2499001920223236,0.5147606730461121,0.20972666144371033,0.2022905796766281,0.46276170015335083,0.3205535411834717,0.43858039379119873,0.2351892590522766,0.20192216336727142,0.19645625352859497
vice,0.13988451659679413,0.17897461354732513,0.9999999403953552,0.6368407011032104,0.13484255969524384,0.15171869099140167,0.2412198781967163,0.28817689418792725,0.21979273855686188,0.1369185745716095
presidents,0.1566009819507599,0.2673695385456085,0.6368407011032104,1.0000001192092896,0.21267004311084747,0.2117314338684082,0.29295453429222107,0.2203095704317093,0.22974541783332825,0.16843600571155548
",",0.22659391164779663,0.40610817074775696,0.2756725251674652,0.27774885296821594,0.4062570035457611,0.49057599902153015,0.4933079481124878,0.2261858433485031,0.25734269618988037,0.31091248989105225
one,0.3213292360305786,0.4223630726337433,0.2225690335035324,0.24292056262493134,0.42537835240364075,0.3601475656032562,0.5514441132545471,0.2729196846485138,0.2318730503320694,0.2673267424106598
for,0.3308170735836029,0.40972793102264404,0.16580872237682343,0.23688310384750366,0.3895993232727051,0.36199691891670227,0.4739971458911896,0.20500831305980682,0.207724466919899,0.264628142118454
administration,0.202886164188385,0.2098930925130844,0.36355358362197876,0.39274561405181885,0.1780962198972702,0.18321560323238373,0.3083578944206238,0.2851238548755646,0.2051028460264206,0.14283715188503265
and,0.33647966384887695,0.5296266674995422,0.24808862805366516,0.2590823471546173,0.48576638102531433,0.4077630043029785,0.5171257257461548,0.2391568422317505,0.24616685509681702,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.5107308030128479,1.0,0.21259291470050812,0.2871673107147217,0.22068053483963013
other,0.3591516315937042,0.6324484348297119,0.1866050660610199,0.18596819043159485,0.5932393670082092,0.3410046398639679,0.44152235984802246,0.1325913965702057,0.21647760272026062,0.24682199954986572
