,in,which,episode,does,the,first,doctor,see,himself,?
the,0.6662389636039734,0.6521818041801453,0.25342556834220886,0.35928019881248474,1.0,0.49448907375335693,0.2820442318916321,0.3770301640033722,0.24642214179039001,0.22068053483963013
first,0.4127444326877594,0.3828166127204895,0.24243572354316711,0.2198687642812729,0.49448907375335693,1.0,0.27244147658348083,0.24546696245670319,0.2006741464138031,0.18701928853988647
doctor,0.25567495822906494,0.19030126929283142,0.2940889000892639,0.17192082107067108,0.2820442318916321,0.27244147658348083,0.9999999403953552,0.2363569736480713,0.2183612734079361,0.1462511420249939
encounters,0.2199096530675888,0.24034464359283447,0.2954961359500885,0.22795584797859192,0.2514905333518982,0.2011246234178543,0.2510840892791748,0.27113789319992065,0.19433125853538513,0.12401029467582703
himself,0.1521509736776352,0.25621819496154785,0.2194342166185379,0.23097388446331024,0.24642214179039001,0.2006741464138031,0.2183612734079361,0.06526437401771545,0.9999998807907104,0.10407622903585434
in,1.0,0.4840516746044159,0.19184806942939758,0.214483380317688,0.6662389636039734,0.4127444326877594,0.25567495822906494,0.2973747253417969,0.1521509736776352,0.20430970191955566
the,0.6662389636039734,0.6521818041801453,0.25342556834220886,0.35928019881248474,1.0,0.49448907375335693,0.2820442318916321,0.3770301640033722,0.24642214179039001,0.22068053483963013
story,0.22475379705429077,0.25482407212257385,0.3569057881832123,0.19704315066337585,0.2915393114089966,0.29524773359298706,0.24003900587558746,0.24075353145599365,0.2395806759595871,0.2304346114397049
the,0.6662389636039734,0.6521818041801453,0.25342556834220886,0.35928019881248474,1.0,0.49448907375335693,0.2820442318916321,0.3770301640033722,0.24642214179039001,0.22068053483963013
space,0.17648501694202423,0.2025344967842102,0.2298443764448166,0.1845475137233734,0.24495907127857208,0.24688784778118134,0.14775194227695465,0.26061758399009705,0.13034722208976746,0.1885536164045334
museum,0.2407650351524353,0.22731433808803558,0.08875992149114609,0.1064787358045578,0.24861779808998108,0.19499869644641876,0.09362395852804184,0.1756809800863266,0.12353893369436264,0.14128351211547852
(,0.3087427020072937,0.2589828372001648,0.19250941276550293,0.2728188931941986,0.33289089798927307,0.2450505793094635,0.1570640504360199,0.29499587416648865,0.10405007004737854,0.40561532974243164
albeit,0.2367916852235794,0.3490515351295471,0.23963937163352966,0.32462531328201294,0.274771511554718,0.12674520909786224,0.15058211982250214,0.32737427949905396,0.16551247239112854,0.2858094274997711
frozen,0.21886096894741058,0.2406366914510727,0.13267439603805542,0.23050516843795776,0.23593033850193024,0.14760234951972961,0.1257656365633011,0.1818508505821228,0.1480095535516739,0.18648432195186615
and,0.4954058527946472,0.506277859210968,0.2091434895992279,0.3461615741252899,0.5171257257461548,0.3167642652988434,0.21673844754695892,0.367068350315094,0.23012475669384003,0.20544172823429108
