,what,concept,is,frequently,used,to,define,complexity,classes,?
many,0.36131182312965393,0.2787836492061615,0.2649032473564148,0.38650545477867126,0.38759201765060425,0.40243685245513916,0.2533273696899414,0.2883065640926361,0.2907905578613281,0.2124512493610382
complexity,0.33747240900993347,0.5002536177635193,0.2541271150112152,0.27167680859565735,0.2618294954299927,0.28336837887763977,0.35257187485694885,1.0,0.29931116104125977,0.23062916100025177
classes,0.20746955275535583,0.12391791492700577,0.13611210882663727,0.23847074806690216,0.26141780614852905,0.2503586411476135,0.2195030152797699,0.29931116104125977,1.0000001192092896,0.14397528767585754
are,0.29724663496017456,0.21223078668117523,0.5330929756164551,0.36301812529563904,0.3322218656539917,0.3504326641559601,0.260631263256073,0.27680158615112305,0.2913099527359009,0.24591213464736938
defined,0.25343453884124756,0.3747745156288147,0.2622792422771454,0.17970842123031616,0.30729812383651733,0.21911276876926422,0.7789273262023926,0.32216620445251465,0.2014472633600235,0.22494901716709137
using,0.27984681725502014,0.2251097857952118,0.26543745398521423,0.3255532383918762,0.6102309226989746,0.3678804934024811,0.2756955921649933,0.2878689169883728,0.20710119605064392,0.2804589569568634
the,0.42745697498321533,0.2355310022830963,0.5823672413825989,0.2643548250198364,0.3718377649784088,0.535392165184021,0.215811088681221,0.21171598136425018,0.21469499170780182,0.22068053483963013
concept,0.28724339604377747,0.9999998807907104,0.2750450372695923,0.24800772964954376,0.26928189396858215,0.2465057224035263,0.3769204914569855,0.5002536177635193,0.12391791492700577,0.17160645127296448
of,0.33290785551071167,0.24082158505916595,0.4854315221309662,0.22709041833877563,0.3075267970561981,0.41548454761505127,0.23249299824237823,0.23338180780410767,0.19099700450897217,0.1826142966747284
a,0.3320399522781372,0.29586365818977356,0.658733606338501,0.30052557587623596,0.3864384889602661,0.45503583550453186,0.21698825061321259,0.27206721901893616,0.25567445158958435,0.23916715383529663
reduction,0.19884426891803741,0.3241328299045563,0.2509012222290039,0.18875251710414886,0.2839129567146301,0.248092919588089,0.2541281282901764,0.4099479913711548,0.1659219115972519,0.1612403839826584
.,0.3567904531955719,0.17851535975933075,0.4569662809371948,0.21373344957828522,0.33111312985420227,0.4645031690597534,0.19754591584205627,0.21340465545654297,0.24851149320602417,0.4130953550338745
