,when,did,the,origins,of,magnetic,and,electric,fields,occur,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2890577018260956,0.733189046382904,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.16397054493427277,0.26611819863319397,0.22068053483963013
origin,0.13273842632770538,0.1306861788034439,0.24161343276500702,0.6893133521080017,0.23941168189048767,0.14061827957630157,0.18243800103664398,0.1153140664100647,0.10565318912267685,0.2020416110754013,0.12716172635555267
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.24223870038986206,0.1826142966747284
electric,0.25490424036979675,0.12459144741296768,0.21345196664333344,0.04050585255026817,0.17329032719135284,0.4703453481197357,0.212884783744812,1.0000001192092896,0.2666083574295044,0.11989963054656982,0.15674720704555511
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.1990627944469452,1.0,0.212884783744812,0.3074205219745636,0.2570546269416809,0.20544172823429108
magnetic,0.1933620721101761,0.14488396048545837,0.18611927330493927,0.11857862770557404,0.16237565875053406,1.0,0.1990627944469452,0.4703453481197357,0.3865538239479065,0.25231286883354187,0.10858146101236343
fields,0.18777702748775482,0.16200275719165802,0.16397054493427277,0.09580710530281067,0.19633589684963226,0.3865538239479065,0.3074205219745636,0.2666083574295044,0.9999999403953552,0.2156880646944046,0.1411406248807907
would,0.4219970703125,0.6268245577812195,0.4133751392364502,0.1473173201084137,0.3353942930698395,0.20847190916538239,0.34921059012413025,0.18745185434818268,0.1823168396949768,0.17048735916614532,0.37178951501846313
not,0.4799930453300476,0.6481515765190125,0.4310511648654938,0.16308988630771637,0.3307090103626251,0.20763549208641052,0.39099299907684326,0.15085411071777344,0.23707135021686554,0.30617791414260864,0.41942933201789856
be,0.4451393485069275,0.22657383978366852,0.4248143136501312,0.1419059932231903,0.33904364705085754,0.2283020317554474,0.41766801476478577,0.2143908590078354,0.25505945086479187,0.3403855562210083,0.3324260413646698
fully,0.37046515941619873,0.23985297977924347,0.2750830352306366,0.1813020557165146,0.1846403181552887,0.1379435658454895,0.23881065845489502,0.14952421188354492,0.1451406031847,0.1804862916469574,0.2089291661977768
explained,0.31225118041038513,0.324842244386673,0.2738569974899292,0.26955434679985046,0.24962453544139862,0.2422599345445633,0.2517392039299011,0.1346714049577713,0.219614177942276,0.3350384533405304,0.31240519881248474
until,0.494509756565094,0.33905428647994995,0.37191009521484375,0.1157500371336937,0.2787701487541199,0.13995230197906494,0.3372601866722107,0.14820946753025055,0.09111637622117996,0.1270894706249237,0.20304496586322784
1864,0.21957653760910034,0.10932037979364395,0.08191413432359695,-0.0531170479953289,-0.032037075608968735,0.1012376919388771,0.03566472604870796,0.13782638311386108,0.017989903688430786,0.12092818319797516,0.1412568986415863
when,0.9999999403953552,0.3228907287120819,0.5091903209686279,0.11178483814001083,0.3757161796092987,0.1933620721101761,0.4716290831565857,0.25490424036979675,0.18777702748775482,0.2505786716938019,0.22841128706932068
james,0.2130039930343628,0.20904116332530975,0.22481533885002136,0.14226894080638885,0.18323110044002533,0.2097909152507782,0.21273121237754822,0.21320907771587372,0.15588264167308807,0.06419361382722855,0.12139993160963058
clerk,0.23584990203380585,0.18320919573307037,0.2240356057882309,0.11984492093324661,0.2312532216310501,0.177001953125,0.24555973708629608,0.21263624727725983,0.17988824844360352,0.10771099478006363,0.13886231184005737
maxwell,0.1902886927127838,0.15655870735645294,0.17684456706047058,0.14718027412891388,0.1715129315853119,0.3904406428337097,0.21700043976306915,0.31220003962516785,0.323249876499176,0.10572823137044907,0.14406277239322662
unified,0.20491962134838104,0.23338402807712555,0.29028576612472534,0.2439601570367813,0.311408132314682,0.14561428129673004,0.23243655264377594,0.11056619137525558,0.21488089859485626,0.18266794085502625,0.21746130287647247
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1583317220211029,0.5052502155303955,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.1733706295490265,0.18892104923725128,0.23916715383529663
number,0.2767394483089447,0.19046731293201447,0.35145696997642517,0.13386772572994232,0.2778518795967102,0.17269423604011536,0.28545793890953064,0.14498087763786316,0.1537146270275116,0.21375080943107605,0.19256845116615295
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.24223870038986206,0.1826142966747284
earlier,0.2809809148311615,0.24518106877803802,0.26843780279159546,0.2485857754945755,0.27635854482650757,0.14456994831562042,0.18838374316692352,0.1317100077867508,0.0959969088435173,0.21330446004867554,0.13306351006031036
theories,0.1704409122467041,0.23958267271518707,0.24012529850006104,0.3910963535308838,0.25074607133865356,0.2563415467739105,0.2395821362733841,0.13035881519317627,0.20381152629852295,0.2407001554965973,0.21320602297782898
into,0.389646977186203,0.14888085424900055,0.39493247866630554,0.11531742662191391,0.32255905866622925,0.13648121058940887,0.36597734689712524,0.13592304289340973,0.13313113152980804,0.17925816774368286,0.15662476420402527
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1583317220211029,0.5052502155303955,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.1733706295490265,0.18892104923725128,0.23916715383529663
set,0.26233336329460144,0.19107604026794434,0.2927955985069275,0.09588420391082764,0.20671486854553223,0.12827131152153015,0.27649927139282227,0.15309464931488037,0.15742233395576477,0.20206229388713837,0.1698019951581955
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.24223870038986206,0.1826142966747284
20,-0.07240847498178482,-0.11960799992084503,-0.06418957561254501,0.0017462839605286717,-0.0318976491689682,-0.046237580478191376,0.04124240204691887,-0.07156123220920563,-0.0024139387533068657,0.05207280069589615,0.11360422521829605
scalar,0.19855554401874542,0.15151166915893555,0.20701980590820312,0.17572826147079468,0.2585209012031555,0.44990038871765137,0.19899652898311615,0.3254009187221527,0.2897202968597412,0.29697874188423157,0.2135646492242813
equations,0.2736402750015259,0.199812114238739,0.1991964876651764,0.17778117954730988,0.186348557472229,0.42013853788375854,0.1906200498342514,0.3011855483055115,0.3620392084121704,0.2879158854484558,0.2186179906129837
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.257002055644989,0.4946078956127167,0.15619294345378876,0.6633074283599854,0.22981849312782288,0.2786177098751068,0.28566715121269226,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.2681773006916046,0.5011631846427917,0.2323703169822693,0.506277859210968,0.272510290145874,0.20002226531505585,0.34289366006851196,0.25814583897590637
were,0.29649975895881653,0.4162326455116272,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.1386260688304901,0.42175528407096863,0.18160271644592285,0.13715113699436188,0.1901388019323349,0.17890112102031708
later,0.4627884030342102,0.38386887311935425,0.4060266613960266,0.25176897644996643,0.3458743393421173,0.134582057595253,0.4216292202472687,0.16718456149101257,0.11181660741567612,0.1181359738111496,0.1417175978422165
reformulated,0.25412967801094055,0.2334378957748413,0.27593451738357544,0.22009392082691193,0.27414679527282715,0.14972816407680511,0.2540411949157715,0.11580972373485565,0.15102705359458923,0.20477797091007233,0.15781787037849426
into,0.389646977186203,0.14888085424900055,0.39493247866630554,0.11531742662191391,0.32255905866622925,0.13648121058940887,0.36597734689712524,0.13592304289340973,0.13313113152980804,0.17925816774368286,0.15662476420402527
4,0.06794765591621399,0.0646207332611084,0.15499350428581238,0.020137183368206024,0.17227263748645782,0.0140956686809659,0.11143114417791367,0.04218825697898865,0.024523569270968437,-0.102228082716465,0.010515431873500347
vector,0.211900994181633,0.14134031534194946,0.18854442238807678,0.09652632474899292,0.20483794808387756,0.3739117681980133,0.20854924619197845,0.23574602603912354,0.27340444922447205,0.18952566385269165,0.26140129566192627
equations,0.2736402750015259,0.199812114238739,0.1991964876651764,0.17778117954730988,0.186348557472229,0.42013853788375854,0.1906200498342514,0.3011855483055115,0.3620392084121704,0.2879158854484558,0.2186179906129837
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.15475714206695557,0.3646814823150635,0.16522380709648132,0.4289871156215668,0.19581176340579987,0.1579877883195877,0.10774006694555283,0.17966607213020325
oliver,0.19289331138134003,0.124863401055336,0.24067138135433197,0.1495915949344635,0.09225431829690933,0.12192575633525848,0.22139447927474976,0.15666833519935608,0.09667292982339859,0.05240572988986969,0.20260699093341827
heaviside,0.3649097681045532,0.23829533159732819,0.2694801688194275,0.14198970794677734,0.23859341442584991,0.3594045639038086,0.3358288109302521,0.3129546344280243,0.2565549612045288,0.25714731216430664,0.1551138013601303
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.1990627944469452,1.0,0.212884783744812,0.3074205219745636,0.2570546269416809,0.20544172823429108
josiah,0.21652500331401825,0.21059159934520721,0.1773129254579544,0.17760953307151794,0.2083442211151123,0.20195075869560242,0.17651227116584778,0.2305830717086792,0.13601472973823547,0.13648129999637604,0.11097413301467896
willard,0.2242797613143921,0.16589002311229706,0.23236997425556183,0.11082786321640015,0.17891305685043335,0.22220824658870697,0.2522672116756439,0.21813872456550598,0.1871948391199112,0.08942145109176636,0.1463320255279541
gibbs,0.19757859408855438,0.1657790243625641,0.179118812084198,0.1355666220188141,0.12077943980693817,0.21417784690856934,0.22526833415031433,0.2644685208797455,0.20385387539863586,0.12038996815681458,0.11323598772287369
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.1620374470949173,0.5352458953857422,0.1884709596633911,0.588965117931366,0.23612159490585327,0.23414810001850128,0.21290622651576996,0.4130953550338745
