,what,is,the,final,stage,of,a,bill,in,the,scottish,parliament,?
stage,0.15168409049510956,0.19676770269870758,0.22652170062065125,0.26697930693626404,1.0000001192092896,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.2011467069387436,0.22652170062065125,0.1804129183292389,0.22801706194877625,0.14916576445102692
3,0.04473085701465607,0.1504552811384201,0.06283142417669296,0.011106045916676521,-0.011818449012935162,0.046857766807079315,0.08904784172773361,-0.023616017773747444,0.06326868385076523,0.06283142417669296,0.05225752294063568,0.015784787014126778,0.005975271109491587
is,0.28837618231773376,1.0,0.5823672413825989,0.1859603077173233,0.19676770269870758,0.4854315221309662,0.658733606338501,0.16088230907917023,0.5394441485404968,0.5823672413825989,0.16398480534553528,0.19676777720451355,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3543182611465454,0.22652170062065125,0.733189046382904,0.5829201340675354,0.24155211448669434,0.6662389636039734,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
final,0.20972409844398499,0.1859603077173233,0.3543182611465454,1.0000001192092896,0.26697930693626404,0.24563951790332794,0.24625235795974731,0.18517553806304932,0.25512343645095825,0.3543182611465454,0.14795663952827454,0.17871178686618805,0.17315025627613068
stage,0.15168409049510956,0.19676770269870758,0.22652170062065125,0.26697930693626404,1.0000001192092896,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.2011467069387436,0.22652170062065125,0.1804129183292389,0.22801706194877625,0.14916576445102692
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24563951790332794,0.1389172226190567,1.0,0.5052502155303955,0.17127205431461334,0.5696388483047485,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3543182611465454,0.22652170062065125,0.733189046382904,0.5829201340675354,0.24155211448669434,0.6662389636039734,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
bill,0.16425743699073792,0.16088230907917023,0.24155211448669434,0.18517553806304932,0.24478907883167267,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.1447519063949585,0.24155211448669434,0.22999455034732819,0.2732408940792084,0.12855131924152374
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2635152339935303,0.17654182016849518,0.5116966962814331,0.3739250600337982,0.24696701765060425,0.4954058527946472,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.1859603077173233,0.19676770269870758,0.4854315221309662,0.658733606338501,0.16088230907917023,0.5394441485404968,0.5823672413825989,0.16398480534553528,0.19676777720451355,0.22961433231830597
considered,0.2834889590740204,0.4096149802207947,0.4028765559196472,0.12313511222600937,0.13965915143489838,0.4190242290496826,0.36109375953674316,0.07207051664590836,0.28591203689575195,0.4028765559196472,0.1535927802324295,0.12177157402038574,0.19909770786762238
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.20822679996490479,0.16777737438678741,0.42558613419532776,0.3095070421695709,0.12815363705158234,0.4374977946281433,0.457212895154953,0.14378440380096436,0.17480722069740295,0.21978627145290375
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24625235795974731,0.2036506086587906,0.5052502155303955,1.0,0.24716360867023468,0.539380669593811,0.5829201340675354,0.18544672429561615,0.22951169312000275,0.23916715383529663
meeting,0.2296355813741684,0.17450086772441864,0.3390691578388214,0.21835803985595703,0.1405951827764511,0.2703947126865387,0.23210038244724274,0.17159195244312286,0.24940791726112366,0.3390691578388214,0.16661232709884644,0.3361437916755676,0.1329771876335144
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24563951790332794,0.1389172226190567,1.0,0.5052502155303955,0.17127205431461334,0.5696388483047485,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3543182611465454,0.22652170062065125,0.733189046382904,0.5829201340675354,0.24155211448669434,0.6662389636039734,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
whole,0.38441845774650574,0.32541996240615845,0.4517841339111328,0.2819257080554962,0.12314857542514801,0.4001069962978363,0.4061710238456726,0.0735677108168602,0.30267009139060974,0.4517841339111328,0.05819126218557358,0.16805045306682587,0.21052291989326477
parliament,0.21650300920009613,0.19676777720451355,0.26521381735801697,0.17871178686618805,0.22801706194877625,0.2885259687900543,0.22951169312000275,0.2732408940792084,0.2323146015405655,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24325628578662872,0.19994208216667175,0.5352458953857422,0.50484299659729,0.2289014607667923,0.5591574311256409,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.4130953550338745
