,what,type,of,group,is,the,islamic,state,?
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.14310015738010406,0.058766357600688934,0.029072100296616554,0.12120585143566132,0.041566602885723114,0.0685480609536171
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.30795547366142273,0.5823672413825989,1.0,0.27231070399284363,0.3097178041934967,0.22068053483963013
islamic,0.2204568088054657,0.13606184720993042,0.25656506419181824,0.18744540214538574,0.17644661664962769,0.27231070399284363,0.9999999403953552,0.26186755299568176,0.1692383587360382
state,0.24273863434791565,0.1545526683330536,0.34253445267677307,0.16570743918418884,0.2627358138561249,0.3097178041934967,0.26186755299568176,1.0,0.1160883978009224
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.017886392772197723,0.0793738141655922,0.041273195296525955,0.010483020916581154,-0.007484397850930691,0.018684765323996544
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2809832692146301,0.4691906273365021,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.31091248989105225
formerly,0.1585959643125534,0.10726728290319443,0.27187931537628174,0.22431503236293793,0.3130042850971222,0.2854805290699005,0.12612012028694153,0.20824307203292847,0.0843876302242279
known,0.20381177961826324,0.15942366421222687,0.35814476013183594,0.24512334167957306,0.41921812295913696,0.3624623417854309,0.14582102000713348,0.174459308385849,0.18314571678638458
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.2519444227218628,0.43216490745544434,0.48381632566452026,0.20407888293266296,0.26851922273635864,0.27043893933296204
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.30795547366142273,0.5823672413825989,1.0,0.27231070399284363,0.3097178041934967,0.22068053483963013
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.14310015738010406,0.058766357600688934,0.029072100296616554,0.12120585143566132,0.041566602885723114,0.0685480609536171
islamic,0.2204568088054657,0.13606184720993042,0.25656506419181824,0.18744540214538574,0.17644661664962769,0.27231070399284363,0.9999999403953552,0.26186755299568176,0.1692383587360382
state,0.24273863434791565,0.1545526683330536,0.34253445267677307,0.16570743918418884,0.2627358138561249,0.3097178041934967,0.26186755299568176,1.0,0.1160883978009224
of,0.33290785551071167,0.18112817406654358,1.0,0.25542253255844116,0.4854315221309662,0.733189046382904,0.25656506419181824,0.34253445267677307,0.1826142966747284
iraq,0.19968436658382416,0.10038897395133972,0.24110949039459229,0.20555390417575836,0.1696840524673462,0.2386751025915146,0.5077990293502808,0.2750273644924164,0.13788843154907227
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.3510662019252777,0.3859752118587494,0.5171257257461548,0.2192772477865219,0.2653750479221344,0.20544172823429108
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.30795547366142273,0.5823672413825989,1.0,0.27231070399284363,0.3097178041934967,0.22068053483963013
levant,0.2300969809293747,0.1308274269104004,0.27092400193214417,0.22220799326896667,0.23264144361019135,0.3292599320411682,0.4682808816432953,0.2625919580459595,0.1883341521024704
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.017886392772197723,0.0793738141655922,0.041273195296525955,0.010483020916581154,-0.007484397850930691,0.018684765323996544
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.3510662019252777,0.3859752118587494,0.5171257257461548,0.2192772477865219,0.2653750479221344,0.20544172823429108
before,0.3801657259464264,0.13662774860858917,0.3282964527606964,0.1401464194059372,0.25183290243148804,0.45900648832321167,0.22560718655586243,0.1961105614900589,0.2507109045982361
