,what,does,motion,at,a,constant,velocity,equal,?
galileo,0.23183517158031464,0.09511762857437134,0.3271348476409912,0.203263521194458,0.1346738189458847,0.2765372097492218,0.34076330065727234,0.19361865520477295,0.1773405522108078
concluded,0.29084116220474243,0.19089218974113464,0.14525489509105682,0.26272135972976685,0.24187614023685455,0.19028668105602264,0.24887706339359283,0.19665813446044922,0.13595789670944214
that,0.6297725439071655,0.4764937460422516,0.2637788951396942,0.3183255195617676,0.47537946701049805,0.2775205373764038,0.2781139016151428,0.32840782403945923,0.32716336846351624
motion,0.260096937417984,0.18564695119857788,0.9999999403953552,0.13668975234031677,0.23572494089603424,0.2816808521747589,0.37702953815460205,0.18415701389312744,0.20143945515155792
in,0.30808621644973755,0.214483380317688,0.2190442532300949,0.4374977946281433,0.539380669593811,0.15271376073360443,0.12496421486139297,0.12870801985263824,0.20430970191955566
a,0.3320399522781372,0.38201746344566345,0.23572494089603424,0.3095070421695709,1.0,0.26609575748443604,0.2071385234594345,0.22565314173698425,0.23916715383529663
constant,0.22559526562690735,0.17741715908050537,0.2816808521747589,0.15509086847305298,0.26609575748443604,1.0,0.45832493901252747,0.3412591516971588,0.14516431093215942
velocity,0.21937116980552673,0.20858313143253326,0.37702953815460205,0.20071503520011902,0.2071385234594345,0.45832493901252747,1.0000001192092896,0.3419342041015625,0.20807628333568573
was,0.22111038863658905,0.19302551448345184,0.20849859714508057,0.36707764863967896,0.4508470594882965,0.11607828736305237,0.12663620710372925,0.1280919909477234,0.18412111699581146
completely,0.3990919888019562,0.33169683814048767,0.17931373417377472,0.16211573779582977,0.2836810052394867,0.1983860284090042,0.1806611269712448,0.19771194458007812,0.17155995965003967
equivalent,0.1903919279575348,0.26204463839530945,0.17449690401554108,0.2507818341255188,0.2775270342826843,0.30328354239463806,0.26109641790390015,0.4044036865234375,0.19755122065544128
to,0.455847829580307,0.4391997456550598,0.26277783513069153,0.36524343490600586,0.45503583550453186,0.26379308104515076,0.2513314187526703,0.28325995802879333,0.29463258385658264
rest,0.35225364565849304,0.25197944045066833,0.22647081315517426,0.21832938492298126,0.2692912518978119,0.27200305461883545,0.15683963894844055,0.21694055199623108,0.1725541204214096
.,0.3567904531955719,0.3022993505001068,0.20181286334991455,0.4549728035926819,0.50484299659729,0.24043156206607819,0.19446231424808502,0.25790271162986755,0.4130953550338745
