,who,designed,the,sage,gateshead,music,center,?
large-scale,0.13869436085224152,0.24276332557201385,0.3744625151157379,0.1340911090373993,0.27762526273727417,0.1970454603433609,0.29100069403648376,0.238608717918396
regeneration,0.21646106243133545,0.14426438510417938,0.3351733982563019,0.21424175798892975,0.19948804378509521,0.13210316002368927,0.15747492015361786,0.13848066329956055
has,0.2558172643184662,0.16265372931957245,0.4177538752555847,0.12786434590816498,0.1904834657907486,0.2257620394229889,0.21379268169403076,0.15994466841220856
replaced,0.1576022207736969,0.31809762120246887,0.2645455598831177,0.004719001241028309,0.22840005159378052,0.0931786522269249,0.09695443511009216,0.14945141971111298
former,0.25351381301879883,0.12699481844902039,0.2251449078321457,0.15279613435268402,0.21587252616882324,0.10294324159622192,0.1642882078886032,0.10570605844259262
shipping,0.1871286779642105,0.15914398431777954,0.2677045166492462,0.19521039724349976,0.31637030839920044,0.14998504519462585,0.1518166959285736,0.1596645563840866
premises,0.17155852913856506,0.26306888461112976,0.2627373933792114,0.18755342066287994,0.1724592000246048,0.15829536318778992,0.1364496350288391,0.17318350076675415
with,0.3282766342163086,0.21504513919353485,0.4223487675189972,0.15477214753627777,0.17288444936275482,0.23035649955272675,0.1499965488910675,0.2433311939239502
imposing,0.24116107821464539,0.1916218250989914,0.21148686110973358,0.05885022506117821,0.15242837369441986,0.19350634515285492,0.10333096235990524,0.1977396309375763
new,0.2378052920103073,0.16224907338619232,0.3845241069793701,0.11530908197164536,0.31067609786987305,0.23714691400527954,0.18740497529506683,0.14782847464084625
office,0.2092086672782898,0.0963326096534729,0.27314993739128113,0.08904100209474564,0.2308187186717987,0.1775609254837036,0.20496851205825806,0.16497313976287842
developments,0.18996784090995789,0.28888651728630066,0.35879647731781006,0.15630634129047394,0.2363046407699585,0.21873587369918823,0.1799662560224533,0.1302815079689026
;,0.007937713526189327,0.06488329917192459,0.09152708947658539,0.03643602877855301,0.08701501041650772,0.09057209640741348,0.09528230875730515,0.10349778085947037
an,0.2848317325115204,0.19688421487808228,0.4207492768764496,0.15018410980701447,0.18793535232543945,0.17823971807956696,0.14463786780834198,0.19793890416622162
innovative,0.17517293989658356,0.27394816279411316,0.2686367630958557,0.1314576417207718,0.21163976192474365,0.2808871567249298,0.19397419691085815,0.20593076944351196
tilting,0.15267817676067352,0.288035124540329,0.3002343773841858,0.11661508679389954,0.2767755389213562,0.1895492970943451,0.1306104212999344,0.15322691202163696
bridge,0.14422596991062164,0.22403912246227264,0.27692803740501404,0.07936076819896698,0.3866555690765381,0.15213434398174286,0.10931967198848724,0.1396101862192154
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.3116054832935333,0.33737507462501526,0.30347302556037903,0.1905742734670639,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.19391703605651855,0.29985129833221436,0.2714049816131592,0.29064592719078064,0.22068053483963013
gateshead,0.18852967023849487,0.22479930520057678,0.29985129833221436,0.3010171353816986,1.0,0.22387047111988068,0.17177410423755646,0.14773961901664734
millennium,0.14085699617862701,0.21154607832431793,0.3144892454147339,0.17912402749061584,0.2961973249912262,0.21812908351421356,0.19060629606246948,0.13189996778964996
bridge,0.14422596991062164,0.22403912246227264,0.27692803740501404,0.07936076819896698,0.3866555690765381,0.15213434398174286,0.10931967198848724,0.1396101862192154
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.23024392127990723,0.3100334405899048,0.2583621144294739,0.19517986476421356,0.18412111699581146
commissioned,0.21646440029144287,0.33425578474998474,0.2864282727241516,0.1238064244389534,0.18706418573856354,0.1521523892879486,0.1466820240020752,0.13426002860069275
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.17815110087394714,0.2261538952589035,0.28659453988075256,0.12630024552345276,0.17966607213020325
gateshead,0.18852967023849487,0.22479930520057678,0.29985129833221436,0.3010171353816986,1.0,0.22387047111988068,0.17177410423755646,0.14773961901664734
council,0.19620807468891144,0.12474040687084198,0.2829204201698303,0.11544454097747803,0.3046519160270691,0.13514548540115356,0.1313745230436325,0.1160062924027443
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.21981821954250336,0.3041302263736725,0.2946314513683319,0.28670641779899597,0.20544172823429108
has,0.2558172643184662,0.16265372931957245,0.4177538752555847,0.12786434590816498,0.1904834657907486,0.2257620394229889,0.21379268169403076,0.15994466841220856
