,what,does,the,9,+3,pattern,of,cilia,thought,to,do,?
unlike,0.25655338168144226,0.4189459979534149,0.35607239603996277,-0.03645741939544678,0.060814328491687775,0.23259125649929047,0.34768372774124146,0.24537861347198486,0.30003657937049866,0.30143481492996216,0.3842500150203705,0.12876726686954498
conventional,0.20918875932693481,0.27314913272857666,0.24935786426067352,0.08320919424295425,0.04582757130265236,0.20079351961612701,0.2812398374080658,0.20458543300628662,0.15650808811187744,0.32108715176582336,0.21340332925319672,0.1549818217754364
cilia,0.17923450469970703,0.21396709978580475,0.18933437764644623,-0.08302058279514313,0.13568878173828125,0.21605558693408966,0.18652039766311646,1.0,0.1789139211177826,0.23659655451774597,0.2475823163986206,0.15204964578151703
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,-0.07761130481958389,0.2989038825035095,0.18427002429962158,0.5116966962814331,0.19760192930698395,0.34702804684638977,0.48971283435821533,0.276123583316803,0.20544172823429108
flagella,0.19130216538906097,0.19884198904037476,0.21446777880191803,-0.08508531004190445,0.0726023018360138,0.2767719626426697,0.22801831364631653,0.6869983077049255,0.19073349237442017,0.19205625355243683,0.2769777178764343,0.13517853617668152
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,-0.04171276465058327,0.3236169219017029,0.14527317881584167,0.4946078956127167,0.2040555328130722,0.2965437173843384,0.44245919585227966,0.3283645510673523,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,-0.013357582502067089,0.16853733360767365,0.33947041630744934,0.5011631846427917,0.3491310775279999,0.3462379276752472,0.5345056653022766,0.31153854727745056,0.25814583897590637
has,0.20338068902492523,0.42885294556617737,0.4177538752555847,0.04868565499782562,0.18185077607631683,0.2004157453775406,0.3909035325050354,0.18784432113170624,0.22166860103607178,0.3619994819164276,0.22084827721118927,0.15994466841220856
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.010403415188193321,0.20580218732357025,0.305626779794693,0.5052502155303955,0.23250791430473328,0.3342154324054718,0.45503583550453186,0.26237669587135315,0.23916715383529663
filament,0.21475915610790253,0.21109624207019806,0.29988184571266174,-0.06722664088010788,0.1069478839635849,0.34804272651672363,0.21327582001686096,0.484483540058136,0.24234825372695923,0.20015603303909302,0.2637791037559509,0.11750086396932602
