,how,much,windblown,dust,leaves,the,sahara,each,year,?
nasa,0.20395343005657196,0.21932558715343475,0.2714157998561859,0.3085649311542511,0.09599479287862778,0.19786997139453888,0.2043715864419937,0.07703179121017456,0.14521807432174683,0.1809994876384735
's,-0.026164190843701363,0.06731651723384857,-0.039072103798389435,-0.038515426218509674,-0.03361620008945465,-0.01540423184633255,0.043338727205991745,0.021750088781118393,-0.04087831452488899,-0.023395681753754616
calipso,0.1821621209383011,0.2573757767677307,0.40664172172546387,0.25767600536346436,0.19194483757019043,0.31254130601882935,0.3536181151866913,0.13353198766708374,0.20704394578933716,0.2649646997451782
satellite,0.10482273995876312,0.14917315542697906,0.22122317552566528,0.29698875546455383,0.08430807292461395,0.22563834488391876,0.20361272990703583,0.11691509932279587,0.14653939008712769,0.13568443059921265
has,0.26820555329322815,0.31650421023368835,0.2134256809949875,0.14267772436141968,0.1834288090467453,0.4177538752555847,0.18262594938278198,0.32155683636665344,0.2526876926422119,0.15994466841220856
measured,0.33367615938186646,0.31062760949134827,0.30358463525772095,0.23971869051456451,0.12245900183916092,0.279002845287323,0.13201680779457092,0.28927627205848694,0.18661636114120483,0.17351430654525757
the,0.33890387415885925,0.35023224353790283,0.3168978691101074,0.2346910536289215,0.26001983880996704,1.0,0.23516924679279327,0.470844566822052,0.3609684407711029,0.22068053483963013
amount,0.37087762355804443,0.4935210943222046,0.20405791699886322,0.2806089520454407,0.13997682929039001,0.3336862325668335,0.1894545555114746,0.3607456386089325,0.2676939368247986,0.17984020709991455
of,0.2480744868516922,0.2671096920967102,0.2747642695903778,0.25486329197883606,0.25197678804397583,0.733189046382904,0.17664550244808197,0.38460010290145874,0.2578314542770386,0.1826142966747284
dust,0.24083134531974792,0.2351432889699936,0.36643874645233154,1.0,0.2494225800037384,0.2346910536289215,0.28134268522262573,0.15729188919067383,0.10882840305566788,0.15803812444210052
transported,0.20179246366024017,0.3093987703323364,0.3556777834892273,0.21931618452072144,0.29227882623672485,0.2550795376300812,0.18272490799427032,0.2096906453371048,0.08983765542507172,0.1354173868894577
by,0.34370526671409607,0.24959969520568848,0.2973800599575043,0.1268737018108368,0.17262795567512512,0.4408751428127289,0.1393868327140808,0.29190269112586975,0.28805047273635864,0.17966607213020325
wind,0.18648548424243927,0.23556813597679138,0.5614590644836426,0.36152732372283936,0.19683301448822021,0.2338196188211441,0.17654994130134583,0.18433184921741486,0.16870826482772827,0.17669273912906647
from,0.22939439117908478,0.24480824172496796,0.2936456501483917,0.21349763870239258,0.20394736528396606,0.40150508284568787,0.16873504221439362,0.22863267362117767,0.2101740688085556,0.19969791173934937
