,what,was,the,first,internet2,network,named
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.23407307267189026,0.27187061309814453,0.3521348536014557
internet2,0.20499706268310547,0.22513216733932495,0.23407307267189026,0.14324720203876495,1.0,0.4149589240550995,0.10346561670303345
community,0.29032719135284424,0.2025771290063858,0.2601400911808014,0.15024319291114807,0.17746762931346893,0.24082714319229126,0.1546894609928131
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.19647155702114105,0.1932937651872635,0.2530003488063812
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.184240460395813,0.19496823847293854,0.28130269050598145
partnership,0.08281094580888748,0.2086826115846634,0.18397779762744904,0.2726990878582001,0.1987694799900055,0.30338019132614136,0.12992073595523834
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.23412318527698517,0.2153671681880951,0.21388062834739685
qwest,0.224821075797081,0.26662641763687134,0.3207208216190338,0.33800527453422546,0.23329272866249084,0.304278701543808,0.19855254888534546
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.19647155702114105,0.1932937651872635,0.2530003488063812
built,0.1554843783378601,0.3424932360649109,0.2950156033039093,0.28534698486328125,0.11776944994926453,0.16846796870231628,0.3123122453689575
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.23407307267189026,0.27187061309814453,0.3521348536014557
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,1.0,0.14324720203876495,0.2069581300020218,0.35798725485801697
internet2,0.20499706268310547,0.22513216733932495,0.23407307267189026,0.14324720203876495,1.0,0.4149589240550995,0.10346561670303345
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.2069581300020218,0.4149589240550995,1.0000001192092896,0.08493299037218094
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.19647155702114105,0.1932937651872635,0.2530003488063812
called,0.3235960602760315,0.33927658200263977,0.489897221326828,0.39303290843963623,0.18165424466133118,0.207405224442482,0.45048224925994873
abilene,0.12347904592752457,0.3409584164619446,0.2744511365890503,0.35225561261177063,0.17186523973941803,0.1721731275320053,0.30306997895240784
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.19647155702114105,0.1932937651872635,0.2530003488063812
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.184240460395813,0.19496823847293854,0.28130269050598145
1998,0.10774625837802887,0.04920116811990738,-0.047468025237321854,-0.025406846776604652,0.044583261013031006,-0.05322260409593582,-0.14209485054016113
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.2442026287317276,0.27591994404792786,0.23097854852676392
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.22513216733932495,0.1994880586862564,0.37528327107429504
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.23332996666431427,0.17299489676952362,0.3292267918586731
prime,0.15586113929748535,0.21048103272914886,0.19960100948810577,0.21695679426193237,0.1289067268371582,0.13376174867153168,0.15097157657146454
investor,0.16607622802257538,0.22138582170009613,0.17317354679107666,0.17454923689365387,0.23977579176425934,0.1772380918264389,0.2183314859867096
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.184240460395813,0.19496823847293854,0.28130269050598145
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.23407307267189026,0.27187061309814453,0.3521348536014557
national,0.16882304847240448,0.2433898150920868,0.32739606499671936,0.2272171974182129,0.21717318892478943,0.20803247392177582,0.16436146199703217
lambdarail,0.2505084276199341,0.3348492681980133,0.33756786584854126,0.29314160346984863,0.23011185228824615,0.26931869983673096,0.22389338910579681
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2450505793094635,0.17556725442409515,0.20757101476192474,0.19926521182060242
nlr,0.31755346059799194,0.28495559096336365,0.37856820225715637,0.3157861828804016,0.384490042924881,0.3541504740715027,0.23119764029979706
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.27228695154190063,0.1831529438495636,0.23536871373653412,0.19075927138328552
project,0.27033838629722595,0.17915812134742737,0.2027820199728012,0.2069343626499176,0.2739960551261902,0.22629494965076447,0.12820874154567719
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.21876002848148346,0.23909442126750946,0.24760639667510986
