,which,empire,was,the,last,one,genghis,khan,conquered,before,he,died,?
he,0.3415409028530121,0.22260785102844238,0.5410010814666748,0.4571082592010498,0.28069037199020386,0.3856739401817322,0.28288567066192627,0.24136358499526978,0.2761358916759491,0.3621264398097992,1.0000001192092896,0.39118778705596924,0.2089974731206894
died,0.047798484563827515,0.19949258863925934,0.4570699632167816,0.18710990250110626,0.22533872723579407,0.1496027559041977,0.28730252385139465,0.1835235059261322,0.2756401300430298,0.22202260792255402,0.39118778705596924,0.9999998807907104,0.15254227817058563
in,0.4840516746044159,0.24110576510429382,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.4129433035850525,0.224680557847023,0.1527150720357895,0.287716805934906,0.4155850410461426,0.41690486669540405,0.25881269574165344,0.20430970191955566
1227,0.23280678689479828,0.06970035284757614,-0.009198027662932873,0.10243739187717438,0.042048096656799316,0.058638788759708405,0.09613873809576035,0.07956865429878235,0.07512941211462021,0.1046542376279831,0.08315395563840866,0.0861142948269844,0.2234923541545868
after,0.3217443823814392,0.23534879088401794,0.49306565523147583,0.4565047025680542,0.38612499833106995,0.3593756854534149,0.24102559685707092,0.1264270693063736,0.29821351170539856,0.6937490701675415,0.3936046361923218,0.333185076713562,0.16608688235282898
defeating,0.1752004474401474,0.32186174392700195,0.24314871430397034,0.31832075119018555,0.2212773859500885,0.20512908697128296,0.28551071882247925,0.20246471464633942,0.3947799801826477,0.21070311963558197,0.30300790071487427,0.2143261581659317,0.15296590328216553
the,0.6521818041801453,0.32532164454460144,0.48711544275283813,1.0,0.3698786795139313,0.5514441132545471,0.3448939025402069,0.21067845821380615,0.3127642273902893,0.45900648832321167,0.4571082592010498,0.18710990250110626,0.22068053483963013
western,0.23897536098957062,0.3127332925796509,0.2864105999469757,0.37920868396759033,0.19799625873565674,0.22375954687595367,0.28880131244659424,0.1462325006723404,0.22474876046180725,0.17377711832523346,0.21872544288635254,0.19457627832889557,0.17439141869544983
xia,0.17028124630451202,0.2888585329055786,0.16380348801612854,0.17513726651668549,0.22713704407215118,0.15964244306087494,0.42225655913352966,0.2651960253715515,0.29754796624183655,0.2016144096851349,0.12626031041145325,0.1650964617729187,0.26388657093048096
.,0.45942068099975586,0.2811720371246338,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.4123194217681885,0.25373268127441406,0.19819748401641846,0.21604345738887787,0.36693984270095825,0.38061028718948364,0.24093139171600342,0.4130953550338745
