,what,would,a,teacher,assess,the,levels,of,a,student,on,?
teaching,0.27416905760765076,0.22758165001869202,0.21643459796905518,0.6199770569801331,0.29779425263404846,0.2182690054178238,0.19346727430820465,0.2911611497402191,0.21643459796905518,0.48492929339408875,0.22978223860263824,0.20424684882164001
using,0.27984681725502014,0.3468724191188812,0.32226553559303284,0.11081600189208984,0.2111855149269104,0.28364112973213196,0.2335130125284195,0.24298200011253357,0.32226553559303284,0.12760961055755615,0.29792529344558716,0.2804589569568634
pedagogy,0.28524529933929443,0.1612613946199417,0.2632211148738861,0.4887770712375641,0.2565184533596039,0.20774714648723602,0.08398304879665375,0.24821928143501282,0.2632211148738861,0.4172151982784271,0.19391752779483795,0.25397226214408875
also,0.42747777700424194,0.4152511954307556,0.5149940252304077,0.23410376906394958,0.24699975550174713,0.6021018624305725,0.31840381026268005,0.4924938678741455,0.5149940252304077,0.22532902657985687,0.3762153089046478,0.21848613023757935
involve,0.2820183336734772,0.2953587472438812,0.2548506259918213,0.1257125735282898,0.35476651787757874,0.23203566670417786,0.2890218496322632,0.29347991943359375,0.2548506259918213,0.12066178768873215,0.22461454570293427,0.21596334874629974
assessing,0.370591402053833,0.30301469564437866,0.31530433893203735,0.22564756870269775,0.7935824394226074,0.2956988513469696,0.30675390362739563,0.2635688781738281,0.31530433893203735,0.28697362542152405,0.2725237309932709,0.2623322308063507
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.2471352517604828,1.0,0.286034494638443,0.733189046382904,0.5829201340675354,0.21259291470050812,0.5107308030128479,0.22068053483963013
educational,0.2158561795949936,0.21622589230537415,0.25668084621429443,0.3756338655948639,0.3416576385498047,0.22737358510494232,0.24207425117492676,0.3187834620475769,0.25668084621429443,0.43017786741256714,0.23610062897205353,0.20904642343521118
levels,0.21641245484352112,0.26272544264793396,0.21465790271759033,0.11740542948246002,0.3482413589954376,0.286034494638443,0.9999998807907104,0.23668165504932404,0.21465790271759033,0.11455395817756653,0.1644611656665802,0.1541307419538498
of,0.33290785551071167,0.3353942930698395,0.5052502155303955,0.19968076050281525,0.2644112706184387,0.733189046382904,0.23668165504932404,1.0,0.5052502155303955,0.20310284197330475,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.2471352517604828,1.0,0.286034494638443,0.733189046382904,0.5829201340675354,0.21259291470050812,0.5107308030128479,0.22068053483963013
students,0.2380729615688324,0.21702182292938232,0.2676560878753662,0.5254908204078674,0.2735714018344879,0.25268980860710144,0.2404506802558899,0.25513339042663574,0.2676560878753662,0.7746244072914124,0.2211644947528839,0.18017297983169556
on,0.34226128458976746,0.35589995980262756,0.3848365545272827,0.1997784823179245,0.2360837757587433,0.5107308030128479,0.1644611656665802,0.3966929316520691,0.3848365545272827,0.17496874928474426,0.9999999403953552,0.2714994251728058
particular,0.4548671245574951,0.36348259449005127,0.439316987991333,0.21816566586494446,0.4008733034133911,0.4066357910633087,0.26944705843925476,0.3490585684776306,0.439316987991333,0.22474832832813263,0.2615351676940918,0.2741454839706421
skills,0.28520897030830383,0.3002570867538452,0.24761129915714264,0.42025697231292725,0.3700493276119232,0.20564566552639008,0.3446090817451477,0.1968628317117691,0.24761129915714264,0.30333927273750305,0.15123073756694794,0.1864275485277176
.,0.3567904531955719,0.35067233443260193,0.50484299659729,0.225234717130661,0.2612558901309967,0.5934505462646484,0.24042059481143951,0.5352458953857422,0.50484299659729,0.20994822680950165,0.49257001280784607,0.4130953550338745
