,how,long,did,it,take,for,the,theses,printing,to,spread,thought,germany,?
within,0.24755704402923584,0.2585132420063019,0.15734176337718964,0.31596240401268005,0.18976683914661407,0.3087334632873535,0.39827480912208557,0.2031169831752777,0.15202826261520386,0.34980177879333496,0.17874902486801147,0.14725497364997864,0.1498960703611374,0.1870293766260147
two,0.2499001920223236,0.277059406042099,0.2755576968193054,0.28080877661705017,0.2678071856498718,0.34734001755714417,0.43858039379119873,0.2921737730503082,0.19273696839809418,0.3343428373336792,0.09909269213676453,0.2580471932888031,0.21959294378757477,0.19645625352859497
weeks,0.25079891085624695,0.3170197606086731,0.28692591190338135,0.22842107713222504,0.2977987825870514,0.2929542660713196,0.2713429629802704,0.14685256779193878,0.11682484298944473,0.24200202524662018,0.17359976470470428,0.16816028952598572,0.20971806347370148,0.21667936444282532
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.48329564929008484,0.2881867289543152,0.4464869201183319,0.4933079481124878,0.2943568527698517,0.25780928134918213,0.44245919585227966,0.24950742721557617,0.2965437173843384,0.2898865044116974,0.31091248989105225
copies,0.19318047165870667,0.14995622634887695,0.22130811214447021,0.2816006541252136,0.15248461067676544,0.1877291053533554,0.2581797242164612,0.2834828197956085,0.38072720170021057,0.2263323962688446,0.22348546981811523,0.24817748367786407,0.17189309000968933,0.16856800019741058
of,0.2480744868516922,0.2567519545555115,0.2513895630836487,0.38761502504348755,0.29282352328300476,0.4185989499092102,0.733189046382904,0.27413663268089294,0.23686911165714264,0.41548454761505127,0.2895529866218567,0.34673458337783813,0.2942050099372864,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.6251175999641418,0.31620436906814575,0.4739971458911896,1.0,0.32067108154296875,0.24993151426315308,0.535392165184021,0.28994160890579224,0.3509289622306824,0.3181285262107849,0.22068053483963013
theses,0.20516365766525269,0.054571788758039474,0.20294758677482605,0.21582044661045074,0.216338112950325,0.24452009797096252,0.32067108154296875,1.0,0.24111269414424896,0.24799592792987823,0.18097984790802002,0.16599194705486298,0.2528093457221985,0.19188037514686584
had,0.2549138069152832,0.2967683970928192,0.540525496006012,0.2910259962081909,0.26230841875076294,0.3270139992237091,0.3875846862792969,0.18181145191192627,0.1831875443458557,0.37984350323677063,0.2549837827682495,0.49726027250289917,0.23828092217445374,0.20728366076946259
spread,0.22865283489227295,0.14560364186763763,0.1917719841003418,0.2943859398365021,0.17659713327884674,0.17094987630844116,0.28994160890579224,0.18097984790802002,0.18610237538814545,0.2748686373233795,1.0,0.21773678064346313,0.17294779419898987,0.16482828557491302
