,what,two,things,does,pharmacy,informatics,bring,together,?
pharmacy,0.21638189256191254,0.11371903121471405,0.21282172203063965,0.14478608965873718,1.0,0.3000932037830353,0.12407058477401733,0.11846648156642914,0.1355620175600052
informatics,0.2690068781375885,0.17985546588897705,0.26852309703826904,0.23932334780693054,0.3000932037830353,1.0,0.13103924691677094,0.1492815613746643,0.1964966356754303
is,0.28837618231773376,0.2315155267715454,0.27847638726234436,0.4403602182865143,0.16101746261119843,0.21109527349472046,0.22834256291389465,0.1995578110218048,0.22961433231830597
the,0.42745697498321533,0.43858039379119873,0.30825191736221313,0.35928019881248474,0.1938311904668808,0.26985713839530945,0.31620702147483826,0.26662585139274597,0.22068053483963013
combination,0.2204057276248932,0.321733683347702,0.3221503794193268,0.18718022108078003,0.21496976912021637,0.14918920397758484,0.2054457664489746,0.24007804691791534,0.1620941311120987
of,0.33290785551071167,0.37726253271102905,0.2970648407936096,0.3119818866252899,0.18226979672908783,0.30146297812461853,0.300091028213501,0.26678720116615295,0.1826142966747284
pharmacy,0.21638189256191254,0.11371903121471405,0.21282172203063965,0.14478608965873718,1.0,0.3000932037830353,0.12407058477401733,0.11846648156642914,0.1355620175600052
practice,0.2749895751476288,0.18508708477020264,0.3043828010559082,0.2342499941587448,0.2685104310512543,0.22705908119678497,0.20152197778224945,0.1477491855621338,0.21386858820915222
science,0.2612018585205078,0.15154390037059784,0.2940990626811981,0.17509725689888,0.27999770641326904,0.47224879264831543,0.17051738500595093,0.1439659744501114,0.17974960803985596
and,0.31309178471565247,0.4671151638031006,0.378500759601593,0.3461615741252899,0.21655313670635223,0.23827087879180908,0.33058565855026245,0.37008100748062134,0.20544172823429108
applied,0.1944669634103775,0.12550276517868042,0.24913030862808228,0.24281519651412964,0.2617412805557251,0.3595086932182312,0.15521202981472015,0.15490484237670898,0.15585725009441376
information,0.35283446311950684,0.23649950325489044,0.33104264736175537,0.279457688331604,0.1674494743347168,0.8111563324928284,0.21251444518566132,0.20587974786758423,0.24875912070274353
science,0.2612018585205078,0.15154390037059784,0.2940990626811981,0.17509725689888,0.27999770641326904,0.47224879264831543,0.17051738500595093,0.1439659744501114,0.17974960803985596
.,0.3567904531955719,0.3524959683418274,0.345660001039505,0.3022993505001068,0.23916830122470856,0.2241586595773697,0.2875753343105316,0.2842161953449249,0.4130953550338745
