,who,helped,develop,the,first,man-made,self-sustaining,nuclear,reaction,?
university,0.2115909904241562,0.18223445117473602,0.10900941491127014,0.263973206281662,0.2596641778945923,0.23573817312717438,0.23248973488807678,0.21154196560382843,0.12184078246355057,0.11887256056070328
of,0.2827862501144409,0.26548290252685547,0.2259741723537445,0.733189046382904,0.3536086082458496,0.36321189999580383,0.3065984547138214,0.2591283917427063,0.16853101551532745,0.1826142966747284
chicago,0.2047077715396881,0.22785185277462006,0.16207869350910187,0.27360326051712036,0.24072907865047455,0.28002381324768066,0.2542857229709625,0.15351411700248718,0.16766643524169922,0.16446958482265472
scholars,0.32127341628074646,0.2050197720527649,0.23462218046188354,0.2524346709251404,0.19820952415466309,0.2478422373533249,0.13390761613845825,0.2182406485080719,0.0801054909825325,0.11279910802841187
have,0.39246654510498047,0.21140676736831665,0.3781738579273224,0.40389683842658997,0.3030114769935608,0.33586806058883667,0.3486127257347107,0.21783003211021423,0.21732860803604126,0.32991164922714233
played,0.26104769110679626,0.23579517006874084,0.052818819880485535,0.2603478729724884,0.2724764943122864,0.32322409749031067,0.16302825510501862,0.11646350473165512,0.05518382042646408,0.14096300303936005
a,0.36608949303627014,0.24550430476665497,0.27134326100349426,0.5829201340675354,0.4287874400615692,0.4091786742210388,0.3731256425380707,0.20050431787967682,0.23682725429534912,0.23916715383529663
major,0.17810054123401642,0.2098400890827179,0.16702528297901154,0.31775903701782227,0.3049021065235138,0.28565678000450134,0.21901148557662964,0.18342654407024384,0.11894170194864273,0.19788557291030884
role,0.2767873704433441,0.2532479465007782,0.16777127981185913,0.26607486605644226,0.24300086498260498,0.1896527111530304,0.19677864015102386,0.09763657301664352,0.19869080185890198,0.18676944077014923
in,0.2792111933231354,0.304380863904953,0.22882415354251862,0.6662389636039734,0.4127444326877594,0.3418141305446625,0.36662331223487854,0.2580479681491852,0.21261514723300934,0.20430970191955566
