,what,do,capitalist,firms,substitute,equipment,for,in,a,marxian,analysis,?
in,0.30808621644973755,0.23402775824069977,0.18614310026168823,0.2437836080789566,0.17378172278404236,0.1740107387304306,0.4322226941585541,1.0,0.539380669593811,0.18818074464797974,0.19403725862503052,0.20430970191955566
marxian,0.22060702741146088,0.17934004962444305,0.5277177095413208,0.32841482758522034,0.16598951816558838,0.09830613434314728,0.10352238267660141,0.18818074464797974,0.23381443321704865,0.9999999403953552,0.31508517265319824,0.19521409273147583
analysis,0.2842639982700348,0.15965881943702698,0.15971381962299347,0.22956891357898712,0.22754020988941193,0.27299875020980835,0.25886523723602295,0.19403725862503052,0.26785340905189514,0.31508517265319824,1.0000001192092896,0.15352053940296173
",",0.3087472915649414,0.3283645510673523,0.2811186611652374,0.20413024723529816,0.23163557052612305,0.21909046173095703,0.4464869201183319,0.5201468467712402,0.427140474319458,0.21752454340457916,0.25410884618759155,0.31091248989105225
capitalist,0.21623632311820984,0.1689455211162567,1.0,0.37329405546188354,0.14881789684295654,0.14166997373104095,0.20039933919906616,0.18614310026168823,0.20432332158088684,0.5277177095413208,0.15971381962299347,0.13302330672740936
firms,0.19687598943710327,0.19941630959510803,0.37329405546188354,0.9999998807907104,0.20331616699695587,0.3502131998538971,0.21972301602363586,0.2437836080789566,0.24381820857524872,0.32841482758522034,0.22956891357898712,0.1337330937385559
increasingly,0.19974569976329803,0.1781112104654312,0.19869676232337952,0.3523173928260803,0.17569473385810852,0.21858243644237518,0.26445040106773376,0.23806603252887726,0.2660232484340668,0.26524198055267334,0.17527411878108978,0.059327382594347
substitute,0.18854834139347076,0.2152758240699768,0.14881789684295654,0.20331616699695587,1.0,0.19773077964782715,0.32374662160873413,0.17378172278404236,0.23485712707042694,0.16598951816558838,0.22754020988941193,0.21712473034858704
capital,0.17967931926250458,0.11351176351308823,0.5158289670944214,0.2530103027820587,0.07727224379777908,0.0980859100818634,0.16425155103206635,0.3233928978443146,0.16007359325885773,0.27153053879737854,0.03994932398200035,0.0907452180981636
equipment,0.21531300246715546,0.2190978080034256,0.14166997373104095,0.3502131998538971,0.19773077964782715,1.0,0.2880359888076782,0.1740107387304306,0.23026658594608307,0.09830613434314728,0.27299875020980835,0.0920877456665039
