,how,much,of,a,difference,in,homicide,rates,are,related,to,inequality,?
2001,-0.07048824429512024,-0.1564369648694992,-0.08535187691450119,-0.14780431985855103,-0.14851132035255432,-0.10387769341468811,-0.1567867398262024,-0.0885494202375412,-0.16456030309200287,-0.04558197036385536,-0.1482970118522644,-0.15505628287792206,-0.08740651607513428
found,0.12975606322288513,0.23675140738487244,0.2982911467552185,0.2869448959827423,0.17113828659057617,0.39141854643821716,0.23208819329738617,0.1947016417980194,0.2740558087825775,0.22108882665634155,0.25225648283958435,0.11657499521970749,0.16790300607681274
that,0.557814359664917,0.4869440197944641,0.41498205065727234,0.47537946701049805,0.40625134110450745,0.435920387506485,0.23795382678508759,0.3044385015964508,0.45265161991119385,0.3420106768608093,0.5436353087425232,0.3467824459075928,0.32716336846351624
among,0.24921207129955292,0.24066594243049622,0.3679063022136688,0.1789381206035614,0.25557321310043335,0.3211768567562103,0.18989935517311096,0.3393262028694153,0.3811550438404083,0.21144238114356995,0.26594701409339905,0.3101661205291748,0.14343059062957764
u.s,-0.08132635056972504,-0.032655082643032074,0.01289863046258688,-0.04367047920823097,-0.08296984434127808,0.041317474097013474,-0.03075762279331684,-0.17220395803451538,-0.1064542829990387,-0.09865080565214157,-0.06169208884239197,-0.10061195492744446,-0.03245445340871811
states,0.20841296017169952,0.21213924884796143,0.30884552001953125,0.24708621203899384,0.18088985979557037,0.3977442979812622,0.23620183765888214,0.2684716284275055,0.1846873015165329,0.2651422619819641,0.2828785181045532,0.3115520179271698,0.16272737085819244
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.3739250600337982,0.28462520241737366,0.4954058527946472,0.20786549150943756,0.2589600086212158,0.48576638102531433,0.27869361639022827,0.48971283435821533,0.2590520679950714,0.20544172823429108
canadian,0.12666843831539154,0.1221081018447876,0.1776692122220993,0.2098594456911087,0.09996983408927917,0.15288233757019043,0.12961237132549286,0.08374547958374023,0.1307857781648636,0.05889366567134857,0.1420166939496994,0.12389092892408371,0.10011322796344757
provinces,0.10734166204929352,0.19472764432430267,0.2959076762199402,0.14561307430267334,0.15802425146102905,0.21957094967365265,0.0948314368724823,0.11425716429948807,0.21909941732883453,0.11618202179670334,0.17522335052490234,0.2111724317073822,0.10239427536725998
there,0.3328511416912079,0.31076255440711975,0.44397735595703125,0.4214206337928772,0.3589757978916168,0.5361666083335876,0.12349089980125427,0.2448410838842392,0.5433560013771057,0.2910003960132599,0.40669289231300354,0.2481875717639923,0.29405656456947327
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.658733606338501,0.32414332032203674,0.5394441485404968,0.2131701111793518,0.24308988451957703,0.5330929756164551,0.20549555122852325,0.42745086550712585,0.1953488290309906,0.22961433231830597
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,1.0,0.3304765522480011,0.539380669593811,0.2607848644256592,0.24341748654842377,0.265255331993103,0.21209308505058289,0.45503583550453186,0.1783585250377655,0.23916715383529663
tenfold,0.28938791155815125,0.258505254983902,0.28686827421188354,0.27713310718536377,0.31907331943511963,0.19225236773490906,0.21138599514961243,0.2895643413066864,0.2905554473400116,0.25642138719558716,0.25334590673446655,0.2847062647342682,0.2317090779542923
difference,0.3906289339065552,0.362570196390152,0.28326788544654846,0.3304765522480011,1.0,0.2025471031665802,0.13319861888885498,0.3416171669960022,0.3477291762828827,0.2366499900817871,0.294858455657959,0.4600308835506439,0.2842230200767517
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.539380669593811,0.2025471031665802,1.0,0.25105005502700806,0.26258307695388794,0.3841303884983063,0.2638801634311676,0.45010748505592346,0.19402410089969635,0.20430970191955566
homicide,0.12398435920476913,0.15492859482765198,0.2356693297624588,0.2607848644256592,0.13319861888885498,0.25105005502700806,1.0,0.36175763607025146,0.1341688632965088,0.14075471460819244,0.19394083321094513,0.24575695395469666,0.20019757747650146
rates,0.28929662704467773,0.3491230010986328,0.2585311233997345,0.24341748654842377,0.3416171669960022,0.26258307695388794,0.36175763607025146,1.0,0.2806459367275238,0.21126392483711243,0.25232431292533875,0.3752773702144623,0.13808594644069672
related,0.2974514663219452,0.22279031574726105,0.2691357135772705,0.21209308505058289,0.2366499900817871,0.2638801634311676,0.14075471460819244,0.21126392483711243,0.30353736877441406,0.9999998807907104,0.2702969014644623,0.18716417253017426,0.17689068615436554
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.45503583550453186,0.294858455657959,0.45010748505592346,0.19394083321094513,0.25232431292533875,0.3504326641559601,0.2702969014644623,1.0,0.24361056089401245,0.29463258385658264
inequality,0.35896143317222595,0.2711944282054901,0.27910974621772766,0.1783585250377655,0.4600308835506439,0.19402410089969635,0.24575695395469666,0.3752773702144623,0.24070033431053162,0.18716417253017426,0.24361056089401245,1.0000001192092896,0.23619021475315094
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.50484299659729,0.2840389013290405,0.5591574311256409,0.25010383129119873,0.2061878889799118,0.3452940285205841,0.21688014268875122,0.4645031690597534,0.22563500702381134,0.4130953550338745
