,in,what,meeting,did,shirley,lay,out,plans,for,1756,?
at,0.4374977946281433,0.2838611304759979,0.2620472311973572,0.28390252590179443,0.13132362067699432,0.13777588307857513,0.2881071865558624,0.22330325841903687,0.34237727522850037,0.1371687650680542,0.21978627145290375
a,0.539380669593811,0.3320399522781372,0.23210038244724274,0.2552328109741211,0.16616585850715637,0.19378824532032013,0.34264278411865234,0.24623830616474152,0.44038116931915283,0.05962193384766579,0.23916715383529663
meeting,0.24940791726112366,0.2296355813741684,0.9999998807907104,0.18026037514209747,0.16878856718540192,0.11223622411489487,0.19917723536491394,0.2828574776649475,0.23861375451087952,0.15991324186325073,0.1329771876335144
in,1.0,0.30808621644973755,0.24940791726112366,0.2593238651752472,0.21833598613739014,0.15272527933120728,0.3576207756996155,0.24845264852046967,0.4322226941585541,0.13103048503398895,0.20430970191955566
albany,0.2365015149116516,0.15722276270389557,0.19526438415050507,0.1457691192626953,0.23612752556800842,0.14642421901226044,0.1666196882724762,0.16883644461631775,0.21761652827262878,0.14949627220630646,0.08516642451286316
in,1.0,0.30808621644973755,0.24940791726112366,0.2593238651752472,0.21833598613739014,0.15272527933120728,0.3576207756996155,0.24845264852046967,0.4322226941585541,0.13103048503398895,0.20430970191955566
december,0.25854936242103577,0.19304980337619781,0.22299964725971222,0.2542226016521454,0.1871340423822403,0.11409659683704376,0.1332782357931137,0.16027183830738068,0.28923362493515015,0.1484583616256714,0.2480352818965912
1755,0.15906907618045807,0.10548432916402817,0.18511098623275757,0.11053946614265442,0.07532362639904022,0.12160909920930862,0.05227290093898773,0.12158586829900742,0.10801304131746292,0.9364225268363953,0.1890246421098709
",",0.5201468467712402,0.3087472915649414,0.25274211168289185,0.3015086054801941,0.2250218689441681,0.2087278813123703,0.3161109685897827,0.227532297372818,0.4464869201183319,0.1573939174413681,0.31091248989105225
he,0.41690486669540405,0.3114890456199646,0.26579123735427856,0.3292143940925598,0.21588757634162903,0.16275539994239807,0.29240235686302185,0.23924052715301514,0.4540175199508667,-0.0035658166743814945,0.2089974731206894
laid,0.2162552922964096,0.1648951917886734,0.17302249372005463,0.2033681571483612,0.10581056028604507,0.5119114518165588,0.280412495136261,0.29121798276901245,0.20813128352165222,0.09083151817321777,0.11215737462043762
out,0.3576207756996155,0.3633197546005249,0.19917723536491394,0.28413498401641846,0.10506301373243332,0.22749829292297363,1.0,0.3075641095638275,0.3312093913555145,0.06759961694478989,0.22020699083805084
his,0.3598145842552185,0.26976513862609863,0.21243402361869812,0.3546801507472992,0.20265375077724457,0.1969456970691681,0.3022425174713135,0.3191818594932556,0.39312878251075745,0.011091802269220352,0.18075084686279297
plans,0.24845264852046967,0.2364979386329651,0.2828574776649475,0.33907008171081543,0.2017165720462799,0.1679535061120987,0.3075641095638275,1.0,0.2815955877304077,0.10213034600019455,0.13513131439685822
for,0.4322226941585541,0.3017193675041199,0.23861375451087952,0.318512886762619,0.14431054890155792,0.19030743837356567,0.3312093913555145,0.2815955877304077,0.9999999403953552,0.1050480380654335,0.264628142118454
1756,0.13103048503398895,0.11805576831102371,0.15991324186325073,0.07885817438364029,0.056551069021224976,0.1237216666340828,0.06759961694478989,0.10213034600019455,0.1050480380654335,0.9999998807907104,0.1882779449224472
.,0.5591574311256409,0.3567904531955719,0.23260334134101868,0.35288307070732117,0.19505764544010162,0.22114886343479156,0.34234723448753357,0.2760954201221466,0.4726039469242096,0.1861400157213211,0.4130953550338745
