,what,has,a,negative,influence,over,the,us,economy,?
the,0.42745697498321533,0.4177538752555847,0.5829201340675354,0.1981879472732544,0.3039984107017517,0.39856547117233276,1.0,0.25727739930152893,0.24644890427589417,0.22068053483963013
embargo,0.2279047667980194,0.07820781320333481,0.17945899069309235,0.2083362340927124,0.21236160397529602,0.12375695258378983,0.2032013237476349,0.2322833091020584,0.38027048110961914,0.21724076569080353
had,0.23849567770957947,0.5787927508354187,0.34897568821907043,0.17101803421974182,0.3147265613079071,0.3937615752220154,0.3875846862792969,0.17015518248081207,0.1985345184803009,0.20728366076946259
a,0.3320399522781372,0.4670248031616211,1.0,0.22058971226215363,0.23828014731407166,0.32199642062187195,0.5829201340675354,0.1862444281578064,0.24415728449821472,0.23916715383529663
negative,0.23431497812271118,0.19049720466136932,0.22058971226215363,0.9999999403953552,0.20202897489070892,0.17924019694328308,0.1981879472732544,0.1876334249973297,0.18092705309391022,0.12562139332294464
influence,0.2790174186229706,0.21886256337165833,0.23828014731407166,0.20202897489070892,1.0000001192092896,0.26964855194091797,0.3039984107017517,0.0904524102807045,0.37506017088890076,0.14200882613658905
on,0.34226128458976746,0.34604379534721375,0.3848365545272827,0.23069027066230774,0.22494085133075714,0.39810362458229065,0.5107308030128479,0.2646999955177307,0.17831654846668243,0.2714994251728058
the,0.42745697498321533,0.4177538752555847,0.5829201340675354,0.1981879472732544,0.3039984107017517,0.39856547117233276,1.0,0.25727739930152893,0.24644890427589417,0.22068053483963013
us,0.32081687450408936,0.16496556997299194,0.1862444281578064,0.1876334249973297,0.0904524102807045,0.21534089744091034,0.25727739930152893,1.0000001192092896,0.17979185283184052,0.2742428481578827
economy,0.21764783561229706,0.22682175040245056,0.24415728449821472,0.18092705309391022,0.37506017088890076,0.20320317149162292,0.24644890427589417,0.17979185283184052,1.0,0.11486924439668655
by,0.2455483376979828,0.3254803419113159,0.32094135880470276,0.19438643753528595,0.29864758253097534,0.29360154271125793,0.4408751428127289,0.1641579419374466,0.1388312578201294,0.17966607213020325
causing,0.24770919978618622,0.2203073501586914,0.23259559273719788,0.22227562963962555,0.19438515603542328,0.36950257420539856,0.2816545367240906,0.18299420177936554,0.200473815202713,0.1852436512708664
immediate,0.3414689600467682,0.16417904198169708,0.2711368501186371,0.19739989936351776,0.2036624252796173,0.31109243631362915,0.34819692373275757,0.19073116779327393,0.12235777080059052,0.2325933575630188
demands,0.1837000846862793,0.18332159519195557,0.23722945153713226,0.16714341938495636,0.2856519818305969,0.2691825032234192,0.3082757890224457,0.2123604267835617,0.3054204285144806,0.11488337814807892
to,0.455847829580307,0.3619994819164276,0.45503583550453186,0.225682333111763,0.23180463910102844,0.38635820150375366,0.535392165184021,0.2928973436355591,0.2613506615161896,0.29463258385658264
address,0.2695501744747162,0.19486600160598755,0.18317347764968872,0.14734314382076263,0.15779942274093628,0.22737671434879303,0.24438561499118805,0.21644411981105804,0.14006590843200684,0.2784976661205292
the,0.42745697498321533,0.4177538752555847,0.5829201340675354,0.1981879472732544,0.3039984107017517,0.39856547117233276,1.0,0.25727739930152893,0.24644890427589417,0.22068053483963013
threats,0.2891768217086792,0.2400626540184021,0.24985872209072113,0.2502203583717346,0.2771267890930176,0.33198192715644836,0.25565651059150696,0.17310748994350433,0.18911953270435333,0.18974702060222626
to,0.455847829580307,0.3619994819164276,0.45503583550453186,0.225682333111763,0.23180463910102844,0.38635820150375366,0.535392165184021,0.2928973436355591,0.2613506615161896,0.29463258385658264
u.s.,0.11178889125585556,0.014947312884032726,0.0347411222755909,-0.01654738560318947,-0.09201929718255997,0.07138299196958542,0.06592652946710587,0.03950560837984085,-0.04382159560918808,0.07886100560426712
energy,0.190252885222435,0.21254727244377136,0.21513298153877258,0.2253178209066391,0.16720642149448395,0.20892423391342163,0.26756542921066284,0.1830250471830368,0.2605016231536865,0.14860127866268158
security,0.18331359326839447,0.18171554803848267,0.19867505133152008,0.12018541246652603,0.14057841897010803,0.20416787266731262,0.2683938145637512,0.19872309267520905,0.2605510354042053,0.13810279965400696
.,0.3567904531955719,0.4105546176433563,0.50484299659729,0.22178860008716583,0.2734014391899109,0.37877383828163147,0.5934505462646484,0.3162994682788849,0.2477293759584427,0.4130953550338745
