,what,does,many,workers,willing,to,work,for,a,lot,of,time,competing,for,a,job,that,only,requires,a,few,workers,result,in,?
a,0.3320399522781372,0.38201746344566345,0.2872205972671509,0.25033822655677795,0.29028499126434326,0.45503583550453186,0.266241192817688,0.44038116931915283,1.0,0.2944507300853729,0.5052502155303955,0.3292340338230133,0.18894045054912567,0.44038116931915283,1.0,0.2834402620792389,0.47537946701049805,0.47549712657928467,0.322436660528183,1.0,0.2765968441963196,0.25033822655677795,0.2767398953437805,0.539380669593811,0.23916715383529663
job,0.29268908500671387,0.258744478225708,0.25484973192214966,0.32602551579475403,0.39096277952194214,0.2869062125682831,0.513921320438385,0.3520078659057617,0.2834402620792389,0.3599367141723633,0.2253132164478302,0.30237317085266113,0.19132445752620697,0.3520078659057617,0.2834402620792389,1.0,0.2914779484272003,0.17850977182388306,0.21890920400619507,0.2834402620792389,0.18540124595165253,0.32602551579475403,0.1288304626941681,0.2114088088274002,0.22160480916500092
where,0.4457937180995941,0.2965966761112213,0.4338301420211792,0.17254844307899475,0.26169851422309875,0.47735077142715454,0.2737104296684265,0.38599511981010437,0.40997210144996643,0.2776258885860443,0.38066378235816956,0.3538551926612854,0.26815471053123474,0.38599511981010437,0.40997210144996643,0.2095899134874344,0.4876193106174469,0.46093058586120605,0.22715243697166443,0.40997210144996643,0.30374065041542053,0.17254844307899475,0.2845163941383362,0.5344807505607605,0.24793872237205505
there,0.35085538029670715,0.2930194139480591,0.4993700683116913,0.21683305501937866,0.3014701306819916,0.40669289231300354,0.235924631357193,0.3728419542312622,0.4214206337928772,0.347446084022522,0.44397735595703125,0.3047161102294922,0.23167842626571655,0.3728419542312622,0.4214206337928772,0.19662681221961975,0.6006520986557007,0.5042840242385864,0.32642877101898193,0.4214206337928772,0.4346017837524414,0.21683305501937866,0.2712252736091614,0.5361666083335876,0.29405656456947327
are,0.29724663496017456,0.3126322329044342,0.5655534863471985,0.21967428922653198,0.22297969460487366,0.3504326641559601,0.26678818464279175,0.3895993232727051,0.265255331993103,0.3148811459541321,0.39081433415412903,0.24188680946826935,0.27214378118515015,0.3895993232727051,0.265255331993103,0.17699533700942993,0.45265161991119385,0.4533037543296814,0.32677358388900757,0.265255331993103,0.43078693747520447,0.21967428922653198,0.18835392594337463,0.3841303884983063,0.24591213464736938
many,0.36131182312965393,0.30303922295570374,0.9999999403953552,0.271828830242157,0.2556140422821045,0.40243685245513916,0.3578229546546936,0.40972793102264404,0.2872205972671509,0.5846976041793823,0.37253960967063904,0.3523001968860626,0.3291480243206024,0.40972793102264404,0.2872205972671509,0.25484973192214966,0.5391656160354614,0.4670507609844208,0.19591866433620453,0.2872205972671509,0.5883727073669434,0.271828830242157,0.2120126336812973,0.41474202275276184,0.2124512493610382
workers,0.21390831470489502,0.19339993596076965,0.271828830242157,1.0000001192092896,0.2843675911426544,0.2307046800851822,0.3850453495979309,0.2527289092540741,0.25033822655677795,0.18384063243865967,0.20827822387218475,0.22932037711143494,0.2097894698381424,0.2527289092540741,0.25033822655677795,0.32602551579475403,0.22227567434310913,0.17603616416454315,0.1768641322851181,0.25033822655677795,0.20546524226665497,1.0000001192092896,0.15530286729335785,0.2254374474287033,0.1706571877002716
willing,0.4653003215789795,0.441863089799881,0.2556140422821045,0.2843675911426544,1.0,0.48565617203712463,0.3731563687324524,0.3350007236003876,0.29028499126434326,0.32076796889305115,0.21092340350151062,0.3324756324291229,0.2744743227958679,0.3350007236003876,0.29028499126434326,0.39096277952194214,0.436597615480423,0.3398325741291046,0.34452059864997864,0.29028499126434326,0.36130982637405396,0.2843675911426544,0.22174078226089478,0.21205008029937744,0.4091795086860657
to,0.455847829580307,0.4391997456550598,0.40243685245513916,0.2307046800851822,0.48565617203712463,1.0,0.3482864499092102,0.4451248347759247,0.45503583550453186,0.3356415331363678,0.41548454761505127,0.3679993152618408,0.17591790854930878,0.4451248347759247,0.45503583550453186,0.2869062125682831,0.5436353087425232,0.5096819996833801,0.2967781126499176,0.45503583550453186,0.36415213346481323,0.2307046800851822,0.23653174936771393,0.45010748505592346,0.29463258385658264
work,0.3762225806713104,0.2975199520587921,0.3578229546546936,0.3850453495979309,0.3731563687324524,0.3482864499092102,1.0,0.4087657630443573,0.266241192817688,0.2996436357498169,0.23473061621189117,0.33320653438568115,0.23425987362861633,0.4087657630443573,0.266241192817688,0.513921320438385,0.34257015585899353,0.2709178626537323,0.2508397400379181,0.266241192817688,0.253269761800766,0.3850453495979309,0.10479757934808731,0.2753349542617798,0.2621155381202698
