,where,did,the,genoese,traders,bring,the,plague,?
the,0.5003893971443176,0.34736719727516174,1.0,0.2571585476398468,0.28994330763816833,0.31620702147483826,1.0,0.2537761330604553,0.22068053483963013
genoese,0.17587263882160187,0.17019321024417877,0.2571585476398468,1.0000001192092896,0.45978692173957825,0.20013637840747833,0.2571585476398468,0.3038872182369232,0.09456944465637207
traders,0.2594403326511383,0.1945924609899521,0.28994330763816833,0.45978692173957825,1.0,0.17145641148090363,0.28994330763816833,0.2806728184223175,0.12585791945457458
fled,0.2494370937347412,0.3007028102874756,0.27857163548469543,0.2869166135787964,0.2913607954978943,0.24951308965682983,0.27857163548469543,0.2816923260688782,0.13968057930469513
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2244051694869995,0.2036922574043274,0.2407366931438446,0.4933079481124878,0.2630122900009155,0.31091248989105225
taking,0.27472391724586487,0.22738158702850342,0.32714390754699707,0.1557033360004425,0.23707333207130432,0.3334992229938507,0.32714390754699707,0.17518727481365204,0.19960761070251465
the,0.5003893971443176,0.34736719727516174,1.0,0.2571585476398468,0.28994330763816833,0.31620702147483826,1.0,0.2537761330604553,0.22068053483963013
plague,0.20278523862361908,0.1901843398809433,0.2537761330604553,0.3038872182369232,0.2806728184223175,0.21065068244934082,0.2537761330604553,0.9999999403953552,0.11872942000627518
by,0.2641284465789795,0.18574509024620056,0.4408751428127289,0.2310621589422226,0.211083322763443,0.13699065148830414,0.4408751428127289,0.22066086530685425,0.17966607213020325
ship,0.18190282583236694,0.16892459988594055,0.24414241313934326,0.34013888239860535,0.3239033818244934,0.2587657868862152,0.24414241313934326,0.279753714799881,0.14488010108470917
into,0.335035502910614,0.14888085424900055,0.39493247866630554,0.19306199252605438,0.18656261265277863,0.3036208748817444,0.39493247866630554,0.15895147621631622,0.15662476420402527
sicily,0.20547699928283691,0.11901023238897324,0.19926249980926514,0.46139755845069885,0.19489037990570068,0.20528358221054077,0.19926249980926514,0.30755990743637085,0.18028976023197174
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.2590281069278717,0.21318809688091278,0.33058565855026245,0.5171257257461548,0.2229994833469391,0.20544172823429108
the,0.5003893971443176,0.34736719727516174,1.0,0.2571585476398468,0.28994330763816833,0.31620702147483826,1.0,0.2537761330604553,0.22068053483963013
south,0.2539864182472229,0.1510593444108963,0.3129390776157379,0.1507716029882431,0.24614493548870087,0.12657994031906128,0.3129390776157379,0.16426143050193787,0.12336621433496475
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.21557582914829254,0.16380983591079712,0.300091028213501,0.733189046382904,0.27455615997314453,0.1826142966747284
europe,0.2320680469274521,0.22473940253257751,0.34463706612586975,0.33044373989105225,0.3468233346939087,0.23071716725826263,0.34463706612586975,0.26059749722480774,0.18278923630714417
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2244051694869995,0.2036922574043274,0.2407366931438446,0.4933079481124878,0.2630122900009155,0.31091248989105225
whence,0.4980922341346741,0.2305273860692978,0.4640847444534302,0.24165478348731995,0.2517610788345337,0.35532858967781067,0.4640847444534302,0.24682879447937012,0.24055899679660797
it,0.36972272396087646,0.2993364930152893,0.6251175999641418,0.14657533168792725,0.2098066210746765,0.25424838066101074,0.6251175999641418,0.28122323751449585,0.25732165575027466
spread,0.2061590999364853,0.1917719841003418,0.28994160890579224,0.24667981266975403,0.2766236364841461,0.32092082500457764,0.28994160890579224,0.3459134101867676,0.16482828557491302
north,0.23586879670619965,0.16732536256313324,0.36298373341560364,0.1326887458562851,0.2775842845439911,0.15386824309825897,0.36298373341560364,0.21555925905704498,0.11829731613397598
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.20806343853473663,0.14792589843273163,0.2875753343105316,0.5934505462646484,0.2547653317451477,0.4130953550338745
