,what,is,terra,preta,called,?
terra,0.1928153783082962,0.1469227522611618,0.9999999403953552,0.2600444555282593,0.21106961369514465,0.15037380158901215
preta,0.1996321976184845,0.19209076464176178,0.2600444555282593,0.9999999403953552,0.21750067174434662,0.218936488032341
(,0.2411840260028839,0.35393038392066956,0.170075461268425,0.25439903140068054,0.2546432614326477,0.40561532974243164
black,0.12054000794887543,0.20887219905853271,0.1592433750629425,0.1631876677274704,0.17825715243816376,0.15159966051578522
earth,0.25883176922798157,0.26888176798820496,0.2881033420562744,0.13810843229293823,0.20788531005382538,0.17717236280441284
),0.26259949803352356,0.37732169032096863,0.17383211851119995,0.2648089528083801,0.273923397064209,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.15572185814380646,0.23719525337219238,0.26549121737480164,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.19137586653232574,0.1972780078649521,0.5573342442512512,0.25814583897590637
is,0.28837618231773376,1.0,0.1469227522611618,0.19209076464176178,0.430266410112381,0.22961433231830597
distributed,0.12753748893737793,0.2017366737127304,0.12261348962783813,0.06380631774663925,0.18911543488502502,0.08428370952606201
over,0.28007611632347107,0.2159561663866043,0.12501691281795502,0.13530537486076355,0.2167932093143463,0.25742942094802856
large,0.2017821967601776,0.2971126437187195,0.1759398728609085,0.13179075717926025,0.3623717129230499,0.1355665624141693
areas,0.23739881813526154,0.28282591700553894,0.159788116812706,0.14961206912994385,0.22766299545764923,0.1273590475320816
in,0.30808621644973755,0.5394441485404968,0.1328161656856537,0.19195538759231567,0.40847352147102356,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.19379344582557678,0.19202633202075958,0.489897221326828,0.22068053483963013
amazon,0.16355936229228973,0.15197539329528809,0.27570641040802,0.2181381732225418,0.08685939759016037,0.18144656717777252
forest,0.15328429639339447,0.209678515791893,0.19643142819404602,0.12836989760398865,0.1416817605495453,0.1214437186717987
",",0.3087472915649414,0.4691906273365021,0.15572185814380646,0.23719525337219238,0.26549121737480164,0.31091248989105225
is,0.28837618231773376,1.0,0.1469227522611618,0.19209076464176178,0.430266410112381,0.22961433231830597
now,0.4903225302696228,0.39589470624923706,0.13947580754756927,0.15351437032222748,0.3215823769569397,0.29641881585121155
widely,0.22598060965538025,0.3153131604194641,0.11920732259750366,0.09198971837759018,0.21767912805080414,0.10354958474636078
accepted,0.2928575575351715,0.16579633951187134,0.12565234303474426,0.11261415481567383,0.24861328303813934,0.19665466248989105
as,0.31749409437179565,0.43216490745544434,0.1469549685716629,0.1850145161151886,0.2827680706977844,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.15864808857440948,0.2734670639038086,0.4868806302547455,0.23916715383529663
product,0.2465333193540573,0.2903512120246887,0.14112763106822968,0.1234423965215683,0.23149818181991577,0.19651241600513458
of,0.33290785551071167,0.4854315221309662,0.1871613711118698,0.14621321856975555,0.4222904443740845,0.1826142966747284
indigenous,0.19103914499282837,0.1472627967596054,0.2920810878276825,0.1722460389137268,0.19728116691112518,0.14450161159038544
soil,0.19217993319034576,0.20612452924251556,0.2062738686800003,0.07049031555652618,0.21198499202728271,0.13098852336406708
management,0.180610790848732,0.24706420302391052,0.14253325760364532,0.13765360414981842,0.17152242362499237,0.15866325795650482
.,0.3567904531955719,0.4569662809371948,0.16103804111480713,0.2101481407880783,0.300344854593277,0.4130953550338745
