,peyton,manning,took,how,many,different,teams,to,the,super,bowl,?
peyton,1.0,0.5102329254150391,0.20924805104732513,0.22435155510902405,0.11402659863233566,0.09419369697570801,0.22010014951229095,0.2003074735403061,0.2709864377975464,0.2683632969856262,0.2604644298553467,0.17519715428352356
manning,0.5102329254150391,0.9999998807907104,0.18411393463611603,0.2318497896194458,0.17441397905349731,0.1111261174082756,0.2626858949661255,0.24857525527477264,0.27058160305023193,0.30535250902175903,0.32417115569114685,0.15856626629829407
became,0.17104950547218323,0.1938459426164627,0.4274691343307495,0.10954522341489792,0.25642040371894836,0.1043059453368187,0.16736291348934174,0.20401327311992645,0.36325156688690186,0.15664279460906982,0.1635434478521347,0.11374033987522125
the,0.2709864377975464,0.27058160305023193,0.31657639145851135,0.33890387415885925,0.4335206151008606,0.36412742733955383,0.3164927661418915,0.535392165184021,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
first,0.32774636149406433,0.28783273696899414,0.36460110545158386,0.27731001377105713,0.2931244373321533,0.3025437593460083,0.2436947077512741,0.3792489171028137,0.49448907375335693,0.2717077434062958,0.20817767083644867,0.18701928853988647
quarterback,0.4457186758518219,0.5449647903442383,0.11687327176332474,0.10935026407241821,0.09331715106964111,0.10479070246219635,0.4060954749584198,0.17934949696063995,0.23757418990135193,0.28511252999305725,0.37160974740982056,0.13221268355846405
ever,0.20508287847042084,0.1798992156982422,0.13098309934139252,0.2605767250061035,0.24830207228660583,0.13153129816055298,0.18791036307811737,0.33233755826950073,0.3474041819572449,0.26257312297821045,0.1696997582912445,0.3358461856842041
to,0.2003074735403061,0.24857525527477264,0.24576251208782196,0.44169697165489197,0.40243685245513916,0.3617510497570038,0.2634691894054413,1.0,0.535392165184021,0.17783479392528534,0.16993016004562378,0.29463258385658264
lead,0.22797147929668427,0.20465674996376038,0.24198082089424133,0.18518535792827606,0.2319030612707138,0.18175671994686127,0.13099466264247894,0.23490607738494873,0.21995973587036133,0.13247919082641602,0.1691603809595108,0.14552436769008636
two,0.1428859382867813,0.1973157376050949,0.263596773147583,0.2499001920223236,0.5147606730461121,0.48983854055404663,0.29386359453201294,0.3343428373336792,0.43858039379119873,0.19097526371479034,0.20622028410434723,0.19645625352859497
different,0.09419369697570801,0.1111261174082756,0.19524416327476501,0.411273330450058,0.6061229109764099,1.0,0.2530205547809601,0.3617510497570038,0.36412742733955383,0.15523937344551086,0.1472696214914322,0.24476227164268494
teams,0.22010014951229095,0.2626858949661255,0.21139681339263916,0.11085164546966553,0.1992911547422409,0.2530205547809601,1.0,0.2634691894054413,0.3164927661418915,0.26333683729171753,0.2752957046031952,0.11150168627500534
to,0.2003074735403061,0.24857525527477264,0.24576251208782196,0.44169697165489197,0.40243685245513916,0.3617510497570038,0.2634691894054413,1.0,0.535392165184021,0.17783479392528534,0.16993016004562378,0.29463258385658264
multiple,0.14817865192890167,0.16118492186069489,0.07886551320552826,0.2151651531457901,0.3714943826198578,0.4095596671104431,0.15120524168014526,0.2663446366786957,0.20022359490394592,0.1904134303331375,0.07687632739543915,0.1591399908065796
super,0.2683632969856262,0.30535250902175903,0.111402727663517,0.11920704692602158,0.17302978038787842,0.15523937344551086,0.26333683729171753,0.17783479392528534,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowls,0.26142653822898865,0.4022935628890991,0.18010301887989044,0.15783870220184326,0.19333989918231964,0.19002097845077515,0.3996241092681885,0.15941321849822998,0.17019082605838776,0.3995929956436157,0.73409503698349,0.1849047988653183
.,0.2932659685611725,0.2937074899673462,0.2481018751859665,0.3287222981452942,0.3974229395389557,0.31511759757995605,0.23459066450595856,0.4645031690597534,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
