,who,suffered,a,broken,arm,in,the,nfc,championship,game,?
carolina,0.1409980058670044,0.19834394752979279,0.1979188621044159,0.11695843935012817,0.13746154308319092,0.2380082756280899,0.24749229848384857,0.3309314548969269,0.1809738576412201,0.1679076999425888,0.11847445368766785
suffered,0.18016760051250458,1.0000001192092896,0.2735525667667389,0.2811942398548126,0.1958027482032776,0.277639776468277,0.2558774948120117,0.14072050154209137,0.21612636744976044,0.14093159139156342,0.08963493257761002
a,0.36608949303627014,0.2735525667667389,1.0,0.2553630769252777,0.2200365960597992,0.539380669593811,0.5829201340675354,0.20643295347690582,0.18214380741119385,0.23211604356765747,0.23916715383529663
major,0.17810054123401642,0.22020280361175537,0.22990699112415314,0.1896674484014511,0.19444134831428528,0.3249945342540741,0.31775903701782227,0.2140611857175827,0.15515366196632385,0.12348651885986328,0.19788557291030884
setback,0.21751393377780914,0.439853310585022,0.27779510617256165,0.29351356625556946,0.23176699876785278,0.28636541962623596,0.3215973973274231,0.28003278374671936,0.279744952917099,0.2102450430393219,0.20897552371025085
when,0.48282691836357117,0.20446106791496277,0.44397395849227905,0.28392845392227173,0.22793443500995636,0.4431333839893341,0.5091903209686279,0.20492814481258392,0.20474274456501007,0.22596776485443115,0.22841128706932068
thomas,0.26103657484054565,0.17204545438289642,0.19268037378787994,0.11344966292381287,0.09396518021821976,0.21133768558502197,0.23505409061908722,0.16319149732589722,0.1911715567111969,0.15256451070308685,0.16133050620555878
davis,0.2547153830528259,0.14957281947135925,0.19002141058444977,0.1776810586452484,0.11847760528326035,0.20000724494457245,0.25552070140838623,0.21527732908725739,0.19010725617408752,0.14556019008159637,0.17094263434410095
",",0.3365725874900818,0.24693666398525238,0.427140474319458,0.2498844563961029,0.1692921221256256,0.5201468467712402,0.4933079481124878,0.28086528182029724,0.256124883890152,0.2653886377811432,0.31091248989105225
an,0.2848317325115204,0.1359340250492096,0.44552403688430786,0.19161412119865417,0.17661161720752716,0.2605783939361572,0.4207492768764496,0.11881481856107712,0.12924516201019287,0.16604416072368622,0.19793890416622162
