,in,what,century,did,the,history,of,the,steam,engine,begin,?
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.33215048909187317,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.34293439984321594,0.22068053483963013
history,0.29215577244758606,0.28630873560905457,0.28982728719711304,0.24950987100601196,0.33215048909187317,1.0000001192092896,0.31014925241470337,0.33215048909187317,0.18076759576797485,0.14479626715183258,0.18897293508052826,0.2501974403858185
of,0.5696388483047485,0.33290785551071167,0.2826060354709625,0.2513895630836487,0.733189046382904,0.31014925241470337,1.0,0.733189046382904,0.20239725708961487,0.17095594108104706,0.24830074608325958,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.33215048909187317,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.34293439984321594,0.22068053483963013
steam,0.19852672517299652,0.15672586858272552,0.2347051203250885,0.19902050495147705,0.23105813562870026,0.18076759576797485,0.20239725708961487,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.18357565999031067,0.113324373960495
engine,0.18885408341884613,0.18463268876075745,0.11477544158697128,0.1357124000787735,0.21651263535022736,0.14479626715183258,0.17095594108104706,0.21651263535022736,0.4921848475933075,1.0,0.12720495462417603,0.17739196121692657
stretches,0.3391994535923004,0.22388526797294617,0.180752232670784,0.11608349531888962,0.35279056429862976,0.20002678036689758,0.34327811002731323,0.35279056429862976,0.14739829301834106,0.12668952345848083,0.22197401523590088,0.10829897224903107
back,0.25397348403930664,0.2965294420719147,0.20802177488803864,0.2601068317890167,0.3612101674079895,0.23530350625514984,0.23051875829696655,0.3612101674079895,0.18132834136486053,0.18680642545223236,0.2536363899707794,0.2397768795490265
as,0.3887844979763031,0.31749409437179565,0.24608509242534637,0.3596470057964325,0.48381632566452026,0.2152104675769806,0.3886612355709076,0.48381632566452026,0.20776431262493134,0.15144379436969757,0.20308734476566315,0.27043893933296204
far,0.2599720060825348,0.34794166684150696,0.1994284838438034,0.2696933448314667,0.38564538955688477,0.26052096486091614,0.3005201518535614,0.38564538955688477,0.17746984958648682,0.11796192824840546,0.205281600356102,0.2170870453119278
as,0.3887844979763031,0.31749409437179565,0.24608509242534637,0.3596470057964325,0.48381632566452026,0.2152104675769806,0.3886612355709076,0.48381632566452026,0.20776431262493134,0.15144379436969757,0.20308734476566315,0.27043893933296204
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.33215048909187317,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.34293439984321594,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.32110705971717834,0.33691170811653137,0.49448907375335693,0.3202230632305145,0.3536086082458496,0.49448907375335693,0.2210129350423813,0.16088122129440308,0.2771400213241577,0.18701928853988647
century,0.3174034655094147,0.20422613620758057,1.0,0.2333737462759018,0.3617299497127533,0.28982728719711304,0.2826060354709625,0.3617299497127533,0.2347051203250885,0.11477544158697128,0.17297205328941345,0.1026201918721199
ad,0.1957923024892807,0.27659884095191956,0.3573480248451233,0.13482767343521118,0.24233382940292358,0.07973027974367142,0.1761893332004547,0.24233382940292358,0.12458226084709167,0.14276787638664246,0.14273357391357422,0.20824462175369263
;,0.092739537358284,0.10986888408660889,0.05666763335466385,0.10727239400148392,0.09152708947658539,0.16595458984375,0.054534342139959335,0.09152708947658539,-0.0341496504843235,0.0016585135599598289,-0.0234913881868124,0.10349778085947037
