,who,performed,the,funeral,for,martin,luther,?
the,0.3733934462070465,0.239950031042099,1.0,0.20578792691230774,0.4739971458911896,0.22029393911361694,0.1759674996137619,0.22068053483963013
funeral,0.22876310348510742,0.2820718288421631,0.20578792691230774,0.9999999403953552,0.2095528542995453,0.18017196655273438,0.21362143754959106,0.16502951085567474
was,0.3318818509578705,0.30916687846183777,0.48711544275283813,0.2682800590991974,0.3863949179649353,0.2089129239320755,0.19185513257980347,0.18412111699581146
held,0.21375896036624908,0.3210843801498413,0.32185450196266174,0.3055821359157562,0.2495253086090088,0.11113183200359344,0.14459224045276642,0.14103956520557404
by,0.39727845788002014,0.2603633403778076,0.4408751428127289,0.241570845246315,0.3248702883720398,0.21707400679588318,0.15382802486419678,0.17966607213020325
his,0.44966956973075867,0.27903127670288086,0.4394008219242096,0.33179768919944763,0.39312878251075745,0.23498685657978058,0.27093374729156494,0.18075084686279297
friends,0.41548532247543335,0.1785435825586319,0.2185121476650238,0.26582664251327515,0.2669185996055603,0.21050503849983215,0.14277362823486328,0.12953145802021027
johannes,0.20548845827579498,0.16224931180477142,0.14987294375896454,0.2229374498128891,0.1099286898970604,0.26143860816955566,0.31875139474868774,0.11330793052911758
bugenhagen,0.21926476061344147,0.20915287733078003,0.3107275068759918,0.187552347779274,0.17213527858257294,0.25659725069999695,0.2773219048976898,0.18383605778217316
and,0.41279885172843933,0.27259883284568787,0.5171257257461548,0.19936677813529968,0.5064792633056641,0.2544763386249542,0.20796556770801544,0.20544172823429108
philipp,0.26279953122138977,0.22794942557811737,0.15171875059604645,0.12844374775886536,0.14885272085666656,0.2808747887611389,0.30913978815078735,0.14114081859588623
melanchthon,0.23809321224689484,0.17848694324493408,0.17877939343452454,0.17767037451267242,0.1190187856554985,0.2630719840526581,0.30344337224960327,0.14275860786437988
.,0.3541337847709656,0.2417089343070984,0.5934505462646484,0.2139163613319397,0.4726039469242096,0.25235527753829956,0.24907569587230682,0.4130953550338745
