,what,plans,of,the,british,did,this,attach,on,oneida,carry,set,back,?
they,0.4431931674480438,0.305618017911911,0.3426007330417633,0.49925389885902405,0.22308164834976196,0.4879390597343445,0.4273154139518738,0.3252868950366974,0.31295230984687805,0.19880905747413635,0.34770864248275757,0.22562575340270996,0.3456249535083771,0.2753053903579712
set,0.28954121470451355,0.24349728226661682,0.20671486854553223,0.2927955985069275,0.2141321748495102,0.19107604026794434,0.2594413459300995,0.1277214139699936,0.23748746514320374,0.1280149519443512,0.22775956988334656,1.0000001192092896,0.22253470122814178,0.1698019951581955
back,0.2965294420719147,0.2195536196231842,0.23051875829696655,0.3612101674079895,0.17140227556228638,0.2601068317890167,0.3335767388343811,0.2794727683067322,0.3159608244895935,0.16538752615451813,0.1993768960237503,0.22253470122814178,0.9999999403953552,0.2397768795490265
any,0.43670421838760376,0.2475108802318573,0.3769088089466095,0.4525727927684784,0.15945293009281158,0.37563082575798035,0.5327546000480652,0.3058962821960449,0.2894362509250641,0.23500221967697144,0.2971760332584381,0.2833866775035858,0.2853800356388092,0.4113408327102661
british,0.19255435466766357,0.15759733319282532,0.23701532185077667,0.28973397612571716,1.0,0.2039594054222107,0.20870694518089294,0.089257150888443,0.19917237758636475,0.17451055347919464,0.16837196052074432,0.2141321748495102,0.17140227556228638,0.09711728990077972
hopes,0.20497237145900726,0.3836725652217865,0.2155483216047287,0.29385989904403687,0.1847144514322281,0.3188827335834503,0.25721126794815063,0.0628991648554802,0.2708193361759186,0.18868549168109894,0.14193111658096313,0.1945892572402954,0.27308881282806396,0.1416345238685608
for,0.3017193675041199,0.2815955877304077,0.4185989499092102,0.4739971458911896,0.1970057189464569,0.318512886762619,0.5082864165306091,0.19270187616348267,0.36199691891670227,0.2111906111240387,0.2858029901981354,0.30194196105003357,0.2631518244743347,0.264628142118454
campaigns,0.20698273181915283,0.32227954268455505,0.26936405897140503,0.27786964178085327,0.16179856657981873,0.19866736233234406,0.2318705916404724,0.02938816137611866,0.2089032381772995,0.2670040726661682,0.18668794631958008,0.07177483290433884,0.0922108069062233,0.13006390631198883
on,0.34226128458976746,0.2303745299577713,0.3966929316520691,0.5107308030128479,0.19917237758636475,0.2670976221561432,0.4193967580795288,0.22330911457538605,0.9999999403953552,0.31095314025878906,0.22389066219329834,0.23748746514320374,0.3159608244895935,0.2714994251728058
lake,0.17778855562210083,0.09826809912919998,0.23993153870105743,0.24325428903102875,0.14902335405349731,0.14357861876487732,0.1804429590702057,0.05551733821630478,0.18818998336791992,0.24255143105983734,0.12769155204296112,0.14605464041233063,0.1386062502861023,0.07226386666297913
