,what,is,something,that,is,often,torn,up,and,included,in,sedimentary,rock,?
for,0.3017193675041199,0.43268078565597534,0.296322762966156,0.4137635827064514,0.43268078565597534,0.37495917081832886,0.15433599054813385,0.342966228723526,0.5064792633056641,0.3889397978782654,0.4322226941585541,0.18431241810321808,0.20388811826705933,0.264628142118454
example,0.3456268310546875,0.36737263202667236,0.486561119556427,0.429897665977478,0.36737263202667236,0.48267167806625366,0.08929857611656189,0.2705221474170685,0.35305824875831604,0.26775863766670227,0.30483278632164,0.19768935441970825,0.17376592755317688,0.30374911427497864
",",0.3087472915649414,0.4691906273365021,0.24105922877788544,0.4137537479400635,0.4691906273365021,0.24139221012592316,0.22414912283420563,0.34193792939186096,0.6633074283599854,0.3679811954498291,0.5201468467712402,0.23855918645858765,0.2775712311267853,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.2275991588830948,0.435920387506485,0.5394441485404968,0.3380797803401947,0.24918708205223083,0.3120773434638977,0.4954058527946472,0.32433560490608215,1.0,0.23285479843616486,0.19663549959659576,0.20430970191955566
sedimentary,0.2219204604625702,0.2035568505525589,0.18081802129745483,0.27547886967658997,0.2035568505525589,0.24176600575447083,0.24271155893802643,0.22980748116970062,0.30291467905044556,0.16044263541698456,0.23285479843616486,1.0,0.4918837249279022,0.1575118452310562
rocks,0.24802041053771973,0.23288390040397644,0.22471661865711212,0.2636556923389435,0.23288390040397644,0.3141797184944153,0.1991407871246338,0.3400709629058838,0.29739323258399963,0.16620248556137085,0.23642492294311523,0.6644880771636963,0.5946089029312134,0.17394492030143738
",",0.3087472915649414,0.4691906273365021,0.24105922877788544,0.4137537479400635,0.4691906273365021,0.24139221012592316,0.22414912283420563,0.34193792939186096,0.6633074283599854,0.3679811954498291,0.5201468467712402,0.23855918645858765,0.2775712311267853,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.43879902362823486,0.5921133160591125,0.6328473687171936,0.3385609984397888,0.25914716720581055,0.36426842212677,0.40957894921302795,0.20007821917533875,0.5130809545516968,0.22848910093307495,0.21446439623832703,0.25732165575027466
is,0.28837618231773376,1.0,0.3330649733543396,0.3995479643344879,1.0,0.3856629431247711,0.17463210225105286,0.2853454053401947,0.3859752118587494,0.23363345861434937,0.5394441485404968,0.2035568505525589,0.1981455236673355,0.22961433231830597
common,0.19989867508411407,0.2952355444431305,0.2405126988887787,0.2786630392074585,0.2952355444431305,0.4435911774635315,0.06807385385036469,0.1482699066400528,0.229714497923851,0.212384432554245,0.23149342834949493,0.2096196711063385,0.10777729749679565,0.20434872806072235
for,0.3017193675041199,0.43268078565597534,0.296322762966156,0.4137635827064514,0.43268078565597534,0.37495917081832886,0.15433599054813385,0.342966228723526,0.5064792633056641,0.3889397978782654,0.4322226941585541,0.18431241810321808,0.20388811826705933,0.264628142118454
