,why,have,some,men,avoided,becoming,teachers,?
this,0.5040162205696106,0.4660032093524933,0.5247883796691895,0.22589419782161713,0.3770175576210022,0.31481805443763733,0.19526737928390503,0.3155723512172699
has,0.24175488948822021,0.6353569626808167,0.3587830364704132,0.16893871128559113,0.1329381763935089,0.2730828821659088,0.14576952159404755,0.15994466841220856
led,0.15703928470611572,0.23052383959293365,0.2666991651058197,0.32342037558555603,0.27321353554725647,0.1974208652973175,0.1775604486465454,0.09273858368396759
to,0.4100138247013092,0.4544740617275238,0.4636894166469574,0.24045762419700623,0.2986029088497162,0.3192594647407532,0.2668606638908386,0.29463258385658264
outrage,0.2126184105873108,0.24658925831317902,0.2917537987232208,0.27153587341308594,0.30760306119918823,0.22930511832237244,0.12151776254177094,0.2844541072845459
from,0.2592364251613617,0.30702701210975647,0.35210713744163513,0.15272511541843414,0.19376082718372345,0.25372451543807983,0.2124260663986206,0.19969791173934937
child,0.16238811612129211,0.19710594415664673,0.17962506413459778,0.14222560822963715,0.10130207985639572,0.18273945152759552,0.24505963921546936,0.1979578584432602
protection,0.2665250301361084,0.2756178081035614,0.260689377784729,0.1674206703901291,0.23739732801914215,0.19539862871170044,0.11057330667972565,0.21348094940185547
and,0.27806392312049866,0.4711785912513733,0.5337774157524109,0.30918097496032715,0.25435110926628113,0.33407607674598694,0.28640416264533997,0.20544172823429108
parental,0.2258945256471634,0.29146942496299744,0.2574043273925781,0.10099738091230392,0.16678696870803833,0.15577484667301178,0.24184834957122803,0.2222837209701538
rights,0.17263634502887726,0.23298367857933044,0.23852147161960602,0.19850477576255798,0.10318857431411743,0.21957744657993317,0.16918477416038513,0.21814769506454468
groups,0.15471938252449036,0.3388051986694336,0.38417813181877136,0.19744475185871124,0.13418135046958923,0.14847326278686523,0.24555066227912903,0.14349548518657684
.,0.32909876108169556,0.41614407300949097,0.40663889050483704,0.25083568692207336,0.22245344519615173,0.3426326513290405,0.24628326296806335,0.4130953550338745
