,what,would,be,needed,to,host,a,larger,population,?
she,0.23844075202941895,0.18570272624492645,0.2869488298892975,0.15308375656604767,0.31156328320503235,0.21499614417552948,0.3591071665287018,0.0971740111708641,0.1530904620885849,0.14223381876945496
claimed,0.2667301297187805,0.34602072834968567,0.22778548300266266,0.12412728369235992,0.2575981914997101,0.10175463557243347,0.19752803444862366,0.14567728340625763,0.15570791065692902,0.2083493024110794
that,0.6297725439071655,0.5895259380340576,0.6036020517349243,0.45214173197746277,0.5436353087425232,0.18125994503498077,0.47537946701049805,0.3079192042350769,0.20048558712005615,0.32716336846351624
a,0.3320399522781372,0.398599237203598,0.39883795380592346,0.2915569543838501,0.45503583550453186,0.1733594834804535,1.0,0.2846074104309082,0.2345738559961319,0.23916715383529663
population,0.2000674307346344,0.13726437091827393,0.15517795085906982,0.12131422013044357,0.19776633381843567,0.15825818479061127,0.2345738559961319,0.30479922890663147,1.0,0.14449454843997955
density,0.1728270947933197,0.16385072469711304,0.2019825428724289,0.19689665734767914,0.19789865612983704,0.052001215517520905,0.20387759804725647,0.26356765627861023,0.5703029632568359,0.1457761973142624
of,0.33290785551071167,0.3353942930698395,0.33904364705085754,0.27215874195098877,0.41548454761505127,0.1709926575422287,0.5052502155303955,0.32469573616981506,0.3060894012451172,0.1826142966747284
0.2,0.10819359123706818,0.05395348370075226,0.03186294808983803,0.04799504578113556,0.04285411536693573,-0.0064003136940300465,-0.06299185007810593,0.007906867191195488,-0.08085795491933823,0.04143255949020386
inhabitants,0.14762155711650848,0.12182953953742981,0.15452127158641815,0.1278042197227478,0.17665912210941315,0.09924036264419556,0.2153775542974472,0.27093279361724854,0.6283577680587769,0.1312350630760193
per,0.21384303271770477,0.23669259250164032,0.2702259421348572,0.3030288815498352,0.2519395351409912,0.1513657569885254,0.21615441143512726,0.13712480664253235,0.2134084403514862,0.22323818504810333
square,0.12660330533981323,0.1625063270330429,0.1619751900434494,0.15126578509807587,0.17897218465805054,0.10557588189840317,0.22548454999923706,0.2082177996635437,0.36520883440971375,0.1201515942811966
kilometre,0.19908200204372406,0.1792866438627243,0.2089005559682846,0.12539245188236237,0.2469184547662735,0.07232563197612762,0.27119186520576477,0.25350794196128845,0.3375193178653717,0.10934783518314362
(,0.2411840260028839,0.21630488336086273,0.2349044382572174,0.2666884958744049,0.30882009863853455,0.20768411457538605,0.3206180930137634,0.09953869879245758,0.14130665361881256,0.40561532974243164
0.52/sq,0.250240296125412,0.2171703279018402,0.22223889827728271,0.24375198781490326,0.23516963422298431,0.06541024148464203,0.2122437208890915,0.2624918818473816,0.42759793996810913,0.2610994279384613
mi,0.14169800281524658,0.11504970490932465,0.10840633511543274,0.060059286653995514,0.14668497443199158,0.025647222995758057,0.14334195852279663,0.14192205667495728,0.18675191700458527,0.10264865309000015
),0.26259949803352356,0.2093871831893921,0.24578070640563965,0.2814560532569885,0.31236231327056885,0.19537198543548584,0.3640355169773102,0.11167450249195099,0.1573704034090042,0.42300865054130554
is,0.28837618231773376,0.33626067638397217,0.4819129705429077,0.21605761349201202,0.42745086550712585,0.18300022184848785,0.658733606338501,0.24218857288360596,0.2727566361427307,0.22961433231830597
the,0.42745697498321533,0.4133751392364502,0.4248143136501312,0.3064746856689453,0.535392165184021,0.26909032464027405,0.5829201340675354,0.378620445728302,0.32044094800949097,0.22068053483963013
maximum,0.19255907833576202,0.25846344232559204,0.24469514191150665,0.2787155210971832,0.27501562237739563,0.126259908080101,0.24441662430763245,0.2316386103630066,0.26572099328041077,0.10959649085998535
that,0.6297725439071655,0.5895259380340576,0.6036020517349243,0.45214173197746277,0.5436353087425232,0.18125994503498077,0.47537946701049805,0.3079192042350769,0.20048558712005615,0.32716336846351624
can,0.34502777457237244,0.5638198852539062,0.5791122913360596,0.49063631892204285,0.4979398250579834,0.1460023820400238,0.3915780484676361,0.31163960695266724,0.11169198900461197,0.3226337134838104
be,0.3929833769798279,0.5202695727348328,1.0,0.44150373339653015,0.4972836375236511,0.15821070969104767,0.39883795380592346,0.319801926612854,0.15517795085906982,0.3324260413646698
sustained,0.19234944880008698,0.2696083188056946,0.20863908529281616,0.2559053301811218,0.22967864573001862,0.08021870255470276,0.30035990476608276,0.1500551998615265,0.24135997891426086,0.16435115039348602
in,0.30808621644973755,0.30461156368255615,0.3481820821762085,0.21117523312568665,0.45010748505592346,0.21661671996116638,0.539380669593811,0.26689091324806213,0.3268454372882843,0.20430970191955566
the,0.42745697498321533,0.4133751392364502,0.4248143136501312,0.3064746856689453,0.535392165184021,0.26909032464027405,0.5829201340675354,0.378620445728302,0.32044094800949097,0.22068053483963013
rainforest,0.22127854824066162,0.15196748077869415,0.16418099403381348,0.17154435813426971,0.23412610590457916,0.15306136012077332,0.2497720569372177,0.19642405211925507,0.28754767775535583,0.1917492002248764
through,0.23167094588279724,0.25157630443573,0.290402352809906,0.25302475690841675,0.4062686562538147,0.15113236010074615,0.3399752974510193,0.19670377671718597,0.15261656045913696,0.16913433372974396
hunting,0.21647632122039795,0.18077419698238373,0.17332623898983002,0.1927260011434555,0.26126816868782043,0.11899236589670181,0.2730202376842499,0.24742110073566437,0.16212451457977295,0.1138605922460556
",",0.3087472915649414,0.32586824893951416,0.39254459738731384,0.29017356038093567,0.44245919585227966,0.26840344071388245,0.427140474319458,0.2491181194782257,0.2967977225780487,0.31091248989105225
with,0.2464839518070221,0.38372042775154114,0.36101722717285156,0.33687737584114075,0.4239959120750427,0.14191342890262604,0.3783375024795532,0.2506849765777588,0.15404780209064484,0.2433311939239502
agriculture,0.18790777027606964,0.14989906549453735,0.185055673122406,0.23570585250854492,0.2176959365606308,0.1140403300523758,0.24947041273117065,0.1565919667482376,0.3885701894760132,0.11401621997356415
needed,0.3631289601325989,0.5094520449638367,0.44150373339653015,1.0,0.45002421736717224,0.14179232716560364,0.2915569543838501,0.2751254141330719,0.12131422013044357,0.2863257825374603
to,0.455847829580307,0.5965728163719177,0.4972836375236511,0.45002421736717224,1.0,0.18300798535346985,0.45503583550453186,0.27928784489631653,0.19776633381843567,0.29463258385658264
host,0.12779991328716278,0.16156220436096191,0.15821070969104767,0.14179232716560364,0.18300798535346985,1.0000001192092896,0.1733594834804535,0.15270110964775085,0.15825818479061127,0.1021634042263031
a,0.3320399522781372,0.398599237203598,0.39883795380592346,0.2915569543838501,0.45503583550453186,0.1733594834804535,1.0,0.2846074104309082,0.2345738559961319,0.23916715383529663
larger,0.23663538694381714,0.2998374104499817,0.319801926612854,0.2751254141330719,0.27928784489631653,0.15270110964775085,0.2846074104309082,1.0000001192092896,0.30479922890663147,0.1602165699005127
population,0.2000674307346344,0.13726437091827393,0.15517795085906982,0.12131422013044357,0.19776633381843567,0.15825818479061127,0.2345738559961319,0.30479922890663147,1.0,0.14449454843997955
.,0.3567904531955719,0.35067233443260193,0.4383580684661865,0.31272366642951965,0.4645031690597534,0.20596550405025482,0.50484299659729,0.25803330540657043,0.26950228214263916,0.4130953550338745
