,what,strategy,did,jebe,'s,army,use,against,kuchlug,and,his,supporters,?
with,0.2464839518070221,0.19335609674453735,0.25472134351730347,0.16478006541728973,-0.04624466598033905,0.14974439144134521,0.3356984257698059,0.317049115896225,0.17760692536830902,0.5477725267410278,0.33836179971694946,0.26497119665145874,0.2433311939239502
such,0.23989605903625488,0.17337670922279358,0.24497397243976593,0.269121915102005,0.05073437839746475,0.09177877753973007,0.3957899212837219,0.20227466523647308,0.16051748394966125,0.44540345668792725,0.1748584806919098,0.15744827687740326,0.17851735651493073
a,0.3320399522781372,0.2418394386768341,0.2552328109741211,0.29146814346313477,0.04866964742541313,0.20244213938713074,0.30793872475624084,0.2227657586336136,0.19818972051143646,0.3739250600337982,0.3497250974178314,0.22582685947418213,0.23916715383529663
small,0.2504110634326935,0.12594062089920044,0.20443524420261383,0.23843425512313843,0.08369652181863785,0.1819477379322052,0.26399457454681396,0.1395503133535385,0.19361917674541473,0.35207539796829224,0.16595736145973206,0.11427848786115646,0.13914890587329865
force,0.16915984451770782,0.23460443317890167,0.1680130809545517,0.2133609503507614,0.020782919600605965,0.4740924537181854,0.20234666764736176,0.2726375162601471,0.14749711751937866,0.24372100830078125,0.1886657476425171,0.21254003047943115,0.1650998443365097
",",0.3087472915649414,0.20894098281860352,0.3015086054801941,0.30109918117523193,-0.0016132977325469255,0.230897456407547,0.3276674151420593,0.31168749928474426,0.32690468430519104,0.6633074283599854,0.3378419280052185,0.2024371325969696,0.31091248989105225
the,0.42745697498321533,0.2895500361919403,0.34736719727516174,0.272458553314209,-0.01540423184633255,0.31011611223220825,0.34342584013938904,0.3090755045413971,0.25412410497665405,0.5171257257461548,0.4394008219242096,0.24381227791309357,0.22068053483963013
invading,0.29477816820144653,0.24077585339546204,0.21909230947494507,0.11328470706939697,-0.06347168236970901,0.4463179111480713,0.19882513582706451,0.40619006752967834,0.1570754051208496,0.3162519335746765,0.23240235447883606,0.18815338611602783,0.17586950957775116
mongols,0.171964630484581,0.14748936891555786,0.21908389031887054,0.2602241337299347,-0.027451662346720695,0.31691253185272217,0.11785151064395905,0.2584691643714905,0.392469197511673,0.2535054385662079,0.2286951243877411,0.26927754282951355,0.11517509818077087
were,0.22298263013362885,0.13518375158309937,0.4162326455116272,0.13379564881324768,0.007088581565767527,0.2540908753871918,0.26967236399650574,0.2829659581184387,0.1729961484670639,0.42175528407096863,0.3142043352127075,0.3011181056499481,0.17890112102031708
forced,0.2257918417453766,0.12261133641004562,0.36753809452056885,0.1322474479675293,0.02559546008706093,0.29651734232902527,0.16223466396331787,0.26952821016311646,0.14307349920272827,0.28385210037231445,0.3238677382469177,0.3256815969944,0.17547516524791718
to,0.455847829580307,0.27855414152145386,0.4452643394470215,0.16959594190120697,0.03782717138528824,0.22938482463359833,0.47261837124824524,0.310872346162796,0.12251677364110947,0.48971283435821533,0.3715193271636963,0.22487446665763855,0.29463258385658264
change,0.3690716028213501,0.20130956172943115,0.2806394100189209,0.23373347520828247,-0.030620932579040527,0.10699014365673065,0.41062748432159424,0.17659561336040497,0.21011492609977722,0.2438346892595291,0.14866608381271362,0.17267034947872162,0.24115969240665436
strategies,0.23100894689559937,0.7157897353172302,0.22299209237098694,0.1385919451713562,0.08777379989624023,0.2603505253791809,0.2889057993888855,0.3269088566303253,0.13200251758098602,0.33555570244789124,0.2195475846529007,0.2785097360610962,0.19405396282672882
and,0.31309178471565247,0.2313271015882492,0.34479495882987976,0.2566799223423004,0.06895173341035843,0.25581875443458557,0.34145063161849976,0.3292689621448517,0.23151640594005585,1.0,0.4234102666378021,0.26639652252197266,0.20544172823429108
resort,0.16167303919792175,0.1555505245923996,0.13888807594776154,0.3012501001358032,0.022206300869584084,0.12963782250881195,0.19699016213417053,0.1340227872133255,0.22603973746299744,0.24595408141613007,0.14288872480392456,0.042209871113300323,0.12942275404930115
