,when,was,the,last,use,by,bach,of,luther,'s,work,?
johann,0.1687304675579071,0.22661232948303223,0.1716882735490799,0.1061108261346817,0.07982659339904785,0.23808029294013977,0.5590640902519226,0.19805940985679626,0.3837730586528778,0.04714272543787956,0.21292203664779663,0.1194499209523201
sebastian,0.1530826836824417,0.2073497772216797,0.16679102182388306,0.17394261062145233,0.09670886397361755,0.18851639330387115,0.5161586999893188,0.1807924062013626,0.24701139330863953,-0.016168957576155663,0.16401927173137665,0.12673193216323853
bach,0.15095925331115723,0.2364252805709839,0.2113773226737976,0.24784138798713684,0.17234018445014954,0.19254085421562195,0.9999999403953552,0.20581215620040894,0.34631797671318054,0.09476292133331299,0.2385331392288208,0.23872415721416473
included,0.16109678149223328,0.3148443400859833,0.3825419843196869,0.23506630957126617,0.292701780796051,0.2987801134586334,0.17237111926078796,0.4391688108444214,0.14399166405200958,-0.041006240993738174,0.2312437742948532,0.14385655522346497
several,0.306964635848999,0.25396689772605896,0.40559855103492737,0.21413584053516388,0.245026096701622,0.3275541365146637,0.23716099560260773,0.3271615505218506,0.2095126509666443,-0.012985157780349255,0.28781697154045105,0.15595775842666626
verses,0.13875466585159302,0.17018629610538483,0.19831201434135437,0.2005571722984314,0.1669730395078659,0.25207197666168213,0.23460879921913147,0.20518551766872406,0.20480051636695862,-0.0035981095861643553,0.23619093000888824,0.21770696341991425
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.2661714553833008,0.3453201949596405,0.3815547823905945,0.23173552751541138,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.32418152689933777,0.27043893933296204
chorales,0.217345729470253,0.252657949924469,0.24560964107513428,0.21645952761173248,0.13504666090011597,0.169438436627388,0.5027369856834412,0.2253328263759613,0.30232128500938416,-0.040676016360521317,0.255952924489975,0.20826344192028046
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.2715643048286438,0.370934396982193,0.19327521324157715,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.2753349542617798,0.20430970191955566
his,0.37120407819747925,0.4405253231525421,0.4394008219242096,0.2789236307144165,0.19605936110019684,0.3107621967792511,0.2507949471473694,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.36648666858673096,0.18075084686279297
cantatas,0.2292032092809677,0.23434562981128693,0.24224889278411865,0.22986724972724915,0.23939767479896545,0.20604726672172546,0.5977134108543396,0.25364917516708374,0.24660377204418182,0.050748053938150406,0.3813549876213074,0.23913320899009705
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.34145063161849976,0.4289871156215668,0.21089112758636475,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.37551814317703247,0.20544172823429108
based,0.16572482883930206,0.2870393395423889,0.29860720038414,0.14949660003185272,0.2660672068595886,0.3462308943271637,0.13364368677139282,0.3033197224140167,0.11297188699245453,0.06600074470043182,0.20533612370491028,0.134929820895195
chorale,0.1977119743824005,0.2027086764574051,0.21937794983386993,0.20297260582447052,0.1609296202659607,0.14839030802249908,0.5248245000839233,0.20981094241142273,0.2823675572872162,-0.008237731643021107,0.315818190574646,0.1843545287847519
cantatas,0.2292032092809677,0.23434562981128693,0.24224889278411865,0.22986724972724915,0.23939767479896545,0.20604726672172546,0.5977134108543396,0.25364917516708374,0.24660377204418182,0.050748053938150406,0.3813549876213074,0.23913320899009705
entirely,0.33049649000167847,0.2490214705467224,0.33318132162094116,0.21063682436943054,0.27429836988449097,0.34868818521499634,0.17215336859226227,0.2849496901035309,0.13761961460113525,0.08845775574445724,0.259199857711792,0.19651781022548676
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.2517152428627014,0.2776605486869812,0.33887791633605957,0.19077323377132416,0.3966929316520691,0.19090485572814941,0.0026888418942689896,0.26663315296173096,0.2714994251728058
them,0.4773717522621155,0.23709723353385925,0.4788833558559418,0.26444244384765625,0.43374505639076233,0.35830166935920715,0.23708978295326233,0.34503093361854553,0.1940135955810547,0.025712676346302032,0.4014419913291931,0.35435691475868225
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.3276674151420593,0.3680937886238098,0.23254862427711487,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.3283594250679016,0.31091248989105225
